time,input,output,experiment
0,1,0,step
0.01,1,4.9625e-05,step
0.02,1,0.00019726108375,step
0.03,1,0.000441443407462962,step
0.04,1,0.000780718157656626,step
0.05,1,0.00121364254804509,step
0.06,1,0.00173878481526332,step
0.07,1,0.00235472421344239,step
0.08,1,0.00306005100765289,step
0.09,1,0.00385336646623412,step
0.1,1,0.00473328285202623,step
0.11,1,0.00569842341252261,step
0.12,1,0.00674742236895948,step
0.13,1,0.00787892490435963,step
0.14,1,0.00909158715054708,step
0.15,1,0.0103840761741493,step
0.16,1,0.0117550699616036,step
0.17,1,0.0132032574031835,step
0.18,1,0.0147273382760624,step
0.19,1,0.0163260232264299,step
0.2,1,0.0179980337506761,step
0.21,1,0.0197421021756613,step
0.22,1,0.0215569716380859,step
0.23,1,0.0234413960629756,step
0.24,1,0.0253941401412986,step
0.25,1,0.0274139793067284,step
0.26,1,0.0294996997115695,step
0.27,1,0.0316500982018587,step
0.28,1,0.0338639822916592,step
0.29,1,0.0361401701365604,step
0.3,1,0.0384774905063989,step
0.31,1,0.0408747827572155,step
0.32,1,0.0433308968024617,step
0.33,1,0.0458446930834709,step
0.34,1,0.0484150425392076,step
0.35,1,0.0510408265753092,step
0.36,1,0.0537209370324339,step
0.37,1,0.0564542761539288,step
0.38,1,0.059239756552831,step
0.39,1,0.0620763011782167,step
0.4,1,0.0649628432809095,step
0.41,1,0.0678983263785636,step
0.42,1,0.0708817042201328,step
0.43,1,0.0739119407497394,step
0.44,1,0.0769880100699559,step
0.45,1,0.0801088964045118,step
0.46,1,0.0832735940604386,step
0.47,1,0.0864811073896641,step
0.48,1,0.0897304507500708,step
0.49,1,0.0930206484660282,step
0.5,1,0.0963507347884124,step
0.51,1,0.0997197538541251,step
0.52,1,0.103126759645123,step
0.53,1,0.106570815946968,step
0.54,1,0.110050996306918,step
0.55,1,0.113566383991555,step
0.56,1,0.117116071943973,step
0.57,1,0.120699162740541,step
0.58,1,0.124314768547234,step
0.59,1,0.127962011075564,step
0.6,1,0.131640021538106,step
0.61,1,0.135347940603644,step
0.62,1,0.139084918351926,step
0.63,1,0.14285011422807,step
0.64,1,0.146642696996599,step
0.65,1,0.15046184469514,step
0.66,1,0.15430674458778,step
0.67,1,0.158176593118102,step
0.68,1,0.162070595861903,step
0.69,1,0.165987967479606,step
0.7,1,0.169927931668376,step
0.71,1,0.173889721113953,step
0.72,1,0.177872577442202,step
0.73,1,0.1818757511704,step
0.74,1,0.185898501658267,step
0.75,1,0.189940097058741,step
0.76,1,0.193999814268519,step
0.77,1,0.198076938878368,step
0.78,1,0.202170765123206,step
0.79,1,0.206280595831982,step
0.8,1,0.21040574237734,step
0.81,1,0.214545524625097,step
0.82,1,0.218699270883523,step
0.83,1,0.222866317852452,step
0.84,1,0.227046010572217,step
0.85,1,0.231237702372421,step
0.86,1,0.235440754820556,step
0.87,1,0.239654537670478,step
0.88,1,0.243878428810734,step
0.89,1,0.248111814212768,step
0.9,1,0.252354087878997,step
0.91,1,0.256604651790772,step
0.92,1,0.260862915856234,step
0.93,1,0.265128297858064,step
0.94,1,0.269400223401143,step
0.95,1,0.273678125860121,step
0.96,1,0.277961446326911,step
0.97,1,0.282249633558105,step
0.98,1,0.286542143922332,step
0.99,1,0.290838441347543,step
1,1,0.295137997268262,step
1.01,1,0.299440290572772,step
1.02,1,0.303744807550279,step
1.03,1,0.308051041838028,step
1.04,1,0.312358494368402,step
1.05,1,0.316666673315997,step
1.06,1,0.320975094044681,step
1.07,1,0.325283279054651,step
1.08,1,0.329590757929477,step
1.09,1,0.33389706728316,step
1.1,1,0.338201750707196,step
1.11,1,0.342504358717646,step
1.12,1,0.346804448702243,step
1.13,1,0.35110158486751,step
1.14,1,0.355395338185919,step
1.15,1,0.359685286343081,step
1.16,1,0.363971013684983,step
1.17,1,0.368252111165267,step
1.18,1,0.372528176292563,step
1.19,1,0.376798813077886,step
1.2,1,0.381063631982083,step
1.21,1,0.385322249863358,step
1.22,1,0.389574289924863,step
1.23,1,0.393819381662367,step
1.24,1,0.398057160812008,step
1.25,1,0.402287269298128,step
1.26,1,0.4065093551812,step
1.27,1,0.41072307260585,step
1.28,1,0.414928081748977,step
1.29,1,0.419124048767977,step
1.3,1,0.423310645749071,step
1.31,1,0.427487550655752,step
1.32,1,0.43165444727734,step
1.33,1,0.435811025177661,step
1.34,1,0.439956979643846,step
1.35,1,0.444092011635259,step
1.36,1,0.448215827732559,step
1.37,1,0.452328140086891,step
1.38,1,0.456428666369216,step
1.39,1,0.460517129719788,step
1.4,1,0.464593258697769,step
1.41,1,0.468656787230998,step
1.42,1,0.472707454565911,step
1.43,1,0.476745005217612,step
1.44,1,0.480769188920107,step
1.45,1,0.484779760576698,step
1.46,1,0.488776480210541,step
1.47,1,0.492759112915372,step
1.48,1,0.496727428806406,step
1.49,1,0.500681202971401,step
1.5,1,0.504620215421911,step
1.51,1,0.508544251044705,step
1.52,1,0.51245309955338,step
1.53,1,0.516346555440146,step
1.54,1,0.520224417927806,step
1.55,1,0.524086490921927,step
1.56,1,0.527932582963194,step
1.57,1,0.531762507179964,step
1.58,1,0.535576081241021,step
1.59,1,0.539373127308519,step
1.6,1,0.543153471991135,step
1.61,1,0.546916946297423,step
1.62,1,0.550663385589372,step
1.63,1,0.554392629536171,step
1.64,1,0.558104522068187,step
1.65,1,0.561798911331152,step
1.66,1,0.565475649640564,step
1.67,1,0.569134593436302,step
1.68,1,0.572775603237462,step
1.69,1,0.576398543597404,step
1.7,1,0.58000328305903,step
1.71,1,0.583589694110278,step
1.72,1,0.587157653139835,step
1.73,1,0.590707040393091,step
1.74,1,0.5942377399283,step
1.75,1,0.597749639572986,step
1.76,1,0.601242630880571,step
1.77,1,0.604716609087233,step
1.78,1,0.608171473069001,step
1.79,1,0.611607125299081,step
1.8,1,0.615023471805418,step
1.81,1,0.618420422128492,step
1.82,1,0.621797889279357,step
1.83,1,0.625155789697911,step
1.84,1,0.628494043211412,step
1.85,1,0.63181257299323,step
1.86,1,0.635111305521844,step
1.87,1,0.638390170540077,step
1.88,1,0.641649101014581,step
1.89,1,0.644888033095561,step
1.9,1,0.648106906076743,step
1.91,1,0.651305662355595,step
1.92,1,0.654484247393786,step
1.93,1,0.6576426096779,step
1.94,1,0.660780700680389,step
1.95,1,0.663898474820787,step
1.96,1,0.66699588942716,step
1.97,1,0.670072904697814,step
1.98,1,0.67312948366325,step
1.99,1,0.676165592148375,step
2,1,0.679181198734953,step
2.01,1,0.68217627472432,step
2.02,1,0.685150794100345,step
2.03,1,0.688104733492641,step
2.04,1,0.691038072140034,step
