controller,ISE,ITAE,overshoot,rise_time,ss_error,stable
PID,0.4059058308392519,1.118465011210953,5.0922584059309495,0.85,4.034352895798676e-05,True
LQR,20.0,199.9,0.0,,1.0,True
LQG,20.0,199.9,0.0,,1.0,True
SMC,0.3957717152017067,4.508520004948267,9.069948536566553,0.52,0.021792966815285864,True
ADRC,0.5332803282718878,15.935921101669333,0.0,1.1400000000000001,0.07974625568226268,True
LeadLag,3.712168911373891,83.68365274097201,0.0,,0.4190647807574561,True
