time,reference,output,control,error
0.000000000,1.000000000,0.000000000,9.818181818,1.000000000
0.010000000,1.000000000,0.000487227,9.213347107,0.999512773
0.020000000,1.000000000,0.001906730,8.660077321,0.998093270
0.030000000,1.000000000,0.004187405,8.149174983,0.995812595
0.040000000,1.000000000,0.007263740,7.677217711,0.992736260
0.050000000,1.000000000,0.011075118,7.241058533,0.988924882
0.060000000,1.000000000,0.015565427,6.837806186,0.984434573
0.070000000,1.000000000,0.020682700,6.464804375,0.979317300
0.080000000,1.000000000,0.026378787,6.119612720,0.973621213
0.090000000,1.000000000,0.032609054,5.799989249,0.967390946
0.100000000,1.000000000,0.039332101,5.503874298,0.960667899
0.110000000,1.000000000,0.046509509,5.229375732,0.953490491
0.120000000,1.000000000,0.054105604,4.974755347,0.945894396
0.130000000,1.000000000,0.062087243,4.738416385,0.937912757
0.140000000,1.000000000,0.070423612,4.518892059,0.929576388
0.150000000,1.000000000,0.079086049,4.314835001,0.920913951
0.160000000,1.000000000,0.088047869,4.125007575,0.911952131
0.170000000,1.000000000,0.097284217,3.948272967,0.902715783
0.180000000,1.000000000,0.106771926,3.783586999,0.893228074
0.190000000,1.000000000,0.116489380,3.629990611,0.883510620
0.200000000,1.000000000,0.126416404,3.486602944,0.873583596
0.210000000,1.000000000,0.136534146,3.352614993,0.863465854
0.220000000,1.000000000,0.146824983,3.227283766,0.853175017
0.230000000,1.000000000,0.157272421,3.109926919,0.842727579
0.240000000,1.000000000,0.167861017,2.999917830,0.832138983
0.250000000,1.000000000,0.178576294,2.896681066,0.821423706
0.260000000,1.000000000,0.189404675,2.799688223,0.810595325
0.270000000,1.000000000,0.200333412,2.708454097,0.799666588
0.280000000,1.000000000,0.211350527,2.622533171,0.788649473
0.290000000,1.000000000,0.222444757,2.541516386,0.777555243
0.300000000,1.000000000,0.233605500,2.465028169,0.766394500
0.310000000,1.000000000,0.244822770,2.392723708,0.755177230
0.320000000,1.000000000,0.256087151,2.324286444,0.743912849
0.330000000,1.000000000,0.267389760,2.259425766,0.732610240
0.340000000,1.000000000,0.278722209,2.197874901,0.721277791
0.350000000,1.000000000,0.290076568,2.139388961,0.709923432
0.360000000,1.000000000,0.301445339,2.083743160,0.698554661
0.370000000,1.000000000,0.312821424,2.030731170,0.687178576
0.380000000,1.000000000,0.324198099,1.980163616,0.675801901
0.390000000,1.000000000,0.335568991,1.931866684,0.664431009
0.400000000,1.000000000,0.346928052,1.885680850,0.653071948
0.410000000,1.000000000,0.358269544,1.841459710,0.641730456
0.420000000,1.000000000,0.369588016,1.799068900,0.630411984
0.430000000,1.000000000,0.380878286,1.758385115,0.619121714
0.440000000,1.000000000,0.392135429,1.719295195,0.607864571
0.450000000,1.000000000,0.403354758,1.681695291,0.596645242
0.460000000,1.000000000,0.414531809,1.645490102,0.585468191
0.470000000,1.000000000,0.425662337,1.610592169,0.574337663
0.480000000,1.000000000,0.436742292,1.576921227,0.563257708
0.490000000,1.000000000,0.447767820,1.544403612,0.552232180
0.500000000,1.000000000,0.458735243,1.512971713,0.541264757
0.510000000,1.000000000,0.469641056,1.482563473,0.530358944
0.520000000,1.000000000,0.480481918,1.453121927,0.519518082
0.530000000,1.000000000,0.491254641,1.424594780,0.508745359
0.540000000,1.000000000,0.501956186,1.396934014,0.498043814
0.550000000,1.000000000,0.512583652,1.370095537,0.487416348
0.560000000,1.000000000,0.523134276,1.344038849,0.476865724
0.570000000,1.000000000,0.533605420,1.318726746,0.466394580
0.580000000,1.000000000,0.543994573,1.294125041,0.456005427
0.590000000,1.000000000,0.554299337,1.270202307,0.445700663
0.600000000,1.000000000,0.564517432,1.246929652,0.435482568
0.610000000,1.000000000,0.574646684,1.224280494,0.425353316
0.620000000,1.000000000,0.584685025,1.202230375,0.415314975
0.630000000,1.000000000,0.594630487,1.180756772,0.405369513
0.640000000,1.000000000,0.604481201,1.159838936,0.395518799
0.650000000,1.000000000,0.614235390,1.139457739,0.385764610
0.660000000,1.000000000,0.623891369,1.119595534,0.376108631
0.670000000,1.000000000,0.633447540,1.100236026,0.366552460
0.680000000,1.000000000,0.642902391,1.081364157,0.357097609
0.690000000,1.000000000,0.652254492,1.062965996,0.347745508
0.700000000,1.000000000,0.661502492,1.045028641,0.338497508
0.710000000,1.000000000,0.670645120,1.027540127,0.329354880
0.720000000,1.000000000,0.679681177,1.010489346,0.320318823
0.730000000,1.000000000,0.688609540,0.993865966,0.311390460
0.740000000,1.000000000,0.697429156,0.977660367,0.302570844
