t,r,x,v,p1_bar,p2_bar,ps_bar,u_cmd,xv1,xv2,F_ext
0.000000,0.050000,0.050000,0.000000,10.000000,20.440000,150.000000,0.007500,0.000000,0.000000,0.000000
0.005000,0.050000,0.049999,-0.000004,10.013376,20.433547,149.996899,0.007498,0.003174,0.003174,0.000000
0.010000,0.050000,0.050002,0.000938,10.008942,20.438509,149.986583,0.007496,0.006552,0.006552,0.000000
0.015000,0.050000,0.050006,0.000427,10.005656,20.444028,149.975504,0.007495,0.007752,0.007752,0.000000
0.020000,0.050000,0.050008,0.000777,10.015705,20.442734,149.967743,0.007493,0.007790,0.007790,0.000000
0.025000,0.050000,0.050012,0.000723,10.007144,20.451253,149.963331,0.007492,0.007603,0.007603,0.000000
0.030000,0.050000,0.050015,0.000464,10.016530,20.450164,149.960988,0.007490,0.007498,0.007498,0.000000
0.035000,0.050000,0.050018,0.000869,10.014901,20.454891,149.959692,0.007489,0.007475,0.007475,0.000000
0.040000,0.050000,0.050022,0.000470,10.014555,20.458933,149.958914,0.007488,0.007481,0.007481,0.000000
0.045000,0.050000,0.050025,0.000728,10.021504,20.459104,149.958427,0.007487,0.007487,0.007487,0.000000
0.050000,0.050000,0.050029,0.000680,10.016369,20.465692,149.958125,0.007486,0.007488,0.007488,0.000000
0.055000,0.050000,0.050031,0.000535,10.023229,20.465910,149.957941,0.007485,0.007487,0.007487,0.000000
0.060000,0.050000,0.050035,0.000793,10.022279,20.470273,149.957833,0.007484,0.007486,0.007486,0.000000
0.065000,0.050000,0.050038,0.000527,10.022926,20.473786,149.957771,0.007483,0.007484,0.007484,0.000000
0.070000,0.050000,0.050041,0.000708,10.027776,20.475066,149.957735,0.007482,0.007483,0.007483,0.000000
0.075000,0.050000,0.050045,0.000661,10.024955,20.480418,149.957716,0.007481,0.007483,0.007483,0.000000
0.080000,0.050000,0.050047,0.000579,10.030109,20.481533,149.957706,0.007480,0.007482,0.007482,0.000000
0.085000,0.050000,0.050051,0.000742,10.029759,20.485569,149.957702,0.007479,0.007481,0.007481,0.000000
0.090000,0.050000,0.050054,0.000566,10.030936,20.488792,149.957702,0.007479,0.007480,0.007480,0.000000
0.095000,0.050000,0.050057,0.000692,10.034470,20.490763,149.957704,0.007478,0.007479,0.007479,0.000000
