t,r,x,v,p1_bar,p2_bar,ps_bar,u_cmd,xv1,xv2,F_ext
0.000000,0.050000,0.050000,0.000000,10.000000,20.440000,150.000000,0.001161,0.000000,0.000000,0.000000
0.005000,0.050000,0.049999,-0.000127,10.010073,20.434753,149.999520,0.000621,0.000491,0.000491,0.000000
0.010000,0.050000,0.050000,0.000325,10.004526,20.438055,149.998146,0.000006,0.000786,0.000786,0.000000
0.015000,0.050000,0.050000,-0.000176,10.003743,20.438814,149.997428,-0.000107,0.000468,0.000468,0.000000
0.020000,0.050000,0.050000,0.000122,10.009104,20.436099,149.997916,0.000044,0.000063,0.000063,0.000000
0.025000,0.050000,0.050001,-0.000005,10.002135,20.439917,149.998654,-0.000158,-0.000054,-0.000054,0.000000
0.030000,0.050000,0.050000,-0.000105,10.008701,20.436710,149.999031,0.000062,-0.000096,-0.000096,0.000000
0.035000,0.050000,0.050000,0.000147,10.005145,20.438938,149.999234,-0.000052,-0.000050,-0.000050,0.000000
0.040000,0.050000,0.050000,-0.000142,10.005349,20.438932,149.999484,-0.000035,-0.000017,-0.000017,0.000000
0.045000,0.050000,0.050000,0.000085,10.008201,20.437505,149.999640,0.000047,-0.000027,-0.000027,0.000000
0.050000,0.050000,0.050000,-0.000012,10.003854,20.439882,149.999747,-0.000086,0.000001,0.000001,0.000000
0.055000,0.050000,0.050000,-0.000055,10.008055,20.437670,149.999831,0.000046,-0.000021,-0.000021,0.000000
0.060000,0.050000,0.050000,0.000090,10.005455,20.439144,149.999849,-0.000040,-0.000011,-0.000011,0.000000
0.065000,0.050000,0.050000,-0.000092,10.005916,20.438920,149.999897,-0.000020,-0.000009,-0.000009,0.000000
0.070000,0.050000,0.050000,0.000060,10.007462,20.438162,149.999903,0.000023,-0.000020,-0.000020,0.000000
0.075000,0.050000,0.050000,-0.000015,10.004828,20.439620,149.999911,-0.000057,-0.000004,-0.000004,0.000000
0.080000,0.050000,0.050000,-0.000029,10.007549,20.438200,149.999931,0.000028,-0.000018,-0.000018,0.000000
0.085000,0.050000,0.050000,0.000054,10.005733,20.439238,149.999920,-0.000032,-0.000010,-0.000010,0.000000
0.090000,0.050000,0.050000,-0.000059,10.006244,20.438991,149.999938,-0.000013,-0.000009,-0.000009,0.000000
0.095000,0.050000,0.050000,0.000041,10.007052,20.438616,149.999933,0.000009,-0.000016,-0.000016,0.000000
0.100000,0.050000,0.050000,-0.000014,10.005472,20.439502,149.999935,-0.000038,-0.000006,-0.000006,0.000000
0.105000,0.050000,0.050000,-0.000015,10.007222,20.438602,149.999944,0.000016,-0.000014,-0.000014,0.000000
0.110000,0.050000,0.050000,0.000032,10.005974,20.439323,149.999936,-0.000025,-0.000009,-0.000009,0.000000
0.115000,0.050000,0.050000,-0.000038,10.006437,20.439103,149.999947,-0.000009,-0.000009,-0.000009,0.000000
0.120000,0.050000,0.050000,0.000028,10.006837,20.438938,149.999942,0.000002,-0.000013,-0.000013,0.000000
0.125000,0.050000,0.050000,-0.000012,10.005903,20.439473,149.999944,-0.000026,-0.000006,-0.000006,0.000000
0.130000,0.050000,0.050000,-0.000007,10.007018,20.438911,149.999950,0.000008,-0.000012,-0.000012,0.000000
