t,r,x,v,p1_bar,p2_bar,ps_bar,u_cmd,xv1,xv2,F_ext
0.000000,0.050000,0.050000,0.000000,10.000000,20.440000,150.000000,0.000000,0.000000,0.000000,0.000000
0.005000,0.050000,0.049999,-0.000150,10.009469,20.434973,150.000000,0.000004,0.000000,0.000000,0.000000
0.010000,0.050000,0.050000,0.000225,10.004052,20.437849,149.999998,0.000001,0.000002,0.000002,0.000000
0.015000,0.050000,0.050000,-0.000211,10.004189,20.437778,149.999993,0.000001,0.000002,0.000002,0.000000
0.020000,0.050000,0.049999,0.000128,10.008562,20.435457,149.999992,0.000003,0.000002,0.000002,0.000000
0.025000,0.050000,0.050000,-0.000013,10.001872,20.439010,149.999991,-0.000001,0.000002,0.000002,0.000000
0.030000,0.050000,0.049999,-0.000088,10.008234,20.435633,149.999991,0.000003,0.000001,0.000001,0.000000
0.035000,0.050000,0.050000,0.000144,10.004327,20.437708,149.999992,0.000000,0.000001,0.000001,0.000000
0.040000,0.050000,0.050000,-0.000142,10.004822,20.437446,149.999993,0.000001,0.000001,0.000001,0.000000
0.045000,0.050000,0.049999,0.000091,10.007382,20.436087,149.999994,0.000002,0.000001,0.000001,0.000000
0.050000,0.050000,0.050000,-0.000018,10.003115,20.438353,149.999994,-0.000000,0.000001,0.000001,0.000000
0.055000,0.050000,0.049999,-0.000051,10.007366,20.436096,149.999994,0.000002,0.000001,0.000001,0.000000
0.060000,0.050000,0.050000,0.000091,10.004584,20.437574,149.999995,0.000000,0.000001,0.000001,0.000000
0.065000,0.050000,0.049999,-0.000094,10.005173,20.437261,149.999995,0.000001,0.000001,0.000001,0.000000
0.070000,0.050000,0.049999,0.000065,10.006641,20.436483,149.999996,0.000001,0.000001,0.000001,0.000000
0.075000,0.050000,0.050000,-0.000017,10.003937,20.437918,149.999996,-0.000000,0.000001,0.000001,0.000000
0.080000,0.050000,0.049999,-0.000028,10.006761,20.436419,149.999996,0.000001,0.000001,0.000001,0.000000
0.085000,0.050000,0.050000,0.000058,10.004801,20.437460,149.999996,0.000000,0.000001,0.000001,0.000000
0.090000,0.050000,0.049999,-0.000062,10.005360,20.437164,149.999996,0.000001,0.000001,0.000001,0.000000
0.095000,0.050000,0.049999,0.000045,10.006178,20.436730,149.999997,0.000001,0.000001,0.000001,0.000000
0.100000,0.050000,0.050000,-0.000015,10.004476,20.437634,149.999997,0.000000,0.000001,0.000001,0.000000
0.105000,0.050000,0.049999,-0.000015,10.006343,20.436643,149.999997,0.000001,0.000001,0.000001,0.000000
0.110000,0.050000,0.050000,0.000036,10.004976,20.437369,149.999997,0.000000,0.000001,0.000001,0.000000
0.115000,0.050000,0.049999,-0.000041,10.005454,20.437116,149.999997,0.000001,0.000001,0.000001,0.000000
0.120000,0.050000,0.049999,0.000031,10.005892,20.436883,149.999997,0.000001,0.000001,0.000001,0.000000
0.125000,0.050000,0.050000,-0.000012,10.004829,20.437448,149.999997,0.000000,0.000001,0.000001,0.000000
0.130000,0.050000,0.049999,-0.000008,10.006057,20.436796,149.999997,0.000001,0.000001,0.000001,0.000000
0.135000,0.050000,0.049999,0.000022,10.005110,20.437299,149.999997,0.000000,0.000001,0.000001,0.000000
0.140000,0.050000,0.049999,-0.000027,10.005496,20.437095,149.999997,0.000001,0.000001,0.000001,0.000000
0.145000,0.050000,0.049999,0.000022,10.005717,20.436978,149.999997,0.000001,0.000001,0.000001,0.000000
0.150000,0.050000,0.049999,-0.000010,10.005059,20.437327,149.999997,0.000000,0.000001,0.000001,0.000000
0.155000,0.050000,0.049999,-0.000004,10.005862,20.436901,149.999997,0.000001,0.000001,0.000001,0.000000
0.160000,0.050000,0.049999,0.000014,10.005211,20.437247,149.999997,0.000000,0.000001,0.000001,0.000000
0.165000,0.050000,0.049999,-0.000017,10.005510,20.437089,149.999997,0.000001,0.000001,0.000001,0.000000
0.170000,0.050000,0.049999,0.000015,10.005611,20.437035,149.999997,0.000001,0.000001,0.000001,0.000000
0.175000,0.050000,0.049999,-0.000007,10.005207,20.437250,149.999997,0.000000,0.000001,0.000001,0.000000
