t,r,x,v,p1_bar,p2_bar,ps_bar,u_cmd,xv1,xv2,F_ext
0.245000,0.050000,0.050000,0.000005,10.005626,20.437394,149.999942,0.000010,0.000010,0.000010,0.000000
0.250000,0.050000,0.050000,-0.000002,10.005554,20.437437,149.999943,0.000009,0.000010,0.000010,0.000000
0.255000,0.050000,0.050000,0.000001,10.005681,20.437374,149.999944,0.000010,0.000009,0.000009,0.000000
0.260000,0.050000,0.050000,0.000002,10.005557,20.437445,149.999945,0.000009,0.000009,0.000009,0.000000
0.265000,0.050000,0.050000,-0.000002,10.005643,20.437404,149.999946,0.000009,0.000009,0.000009,0.000000
0.270000,0.050000,0.050000,0.000004,10.005625,20.437418,149.999947,0.000009,0.000009,0.000009,0.000000
0.275000,0.050000,0.050000,-0.000001,10.005586,20.437444,149.999948,0.000008,0.000009,0.000009,0.000000
0.280000,0.050000,0.050000,0.000001,10.005666,20.437406,149.999949,0.000009,0.000009,0.000009,0.000000
0.285000,0.050000,0.050000,0.000002,10.005584,20.437454,149.999950,0.000008,0.000009,0.000009,0.000000
0.290000,0.050000,0.050000,-0.000001,10.005645,20.437426,149.999951,0.000008,0.000008,0.000008,0.000000
0.295000,0.050000,0.050000,0.000003,10.005628,20.437439,149.999952,0.000008,0.000008,0.000008,0.000000
0.300000,0.050000,0.050000,-0.000001,10.005608,20.437454,149.999953,0.000008,0.000008,0.000008,0.000000
0.305000,0.050000,0.050000,0.000001,10.005658,20.437432,149.999953,0.000008,0.000008,0.000008,0.000000
0.310000,0.050000,0.050000,0.000001,10.005605,20.437464,149.999954,0.000007,0.000008,0.000008,0.000000
0.315000,0.050000,0.050000,-0.000000,10.005647,20.437445,149.999955,0.000008,0.000008,0.000008,0.000000
0.320000,0.050000,0.050000,0.000002,10.005634,20.437457,149.999956,0.000007,0.000008,0.000008,0.000000
0.325000,0.050000,0.050000,-0.000000,10.005624,20.437466,149.999957,0.000007,0.000007,0.000007,0.000000
0.330000,0.050000,0.050000,0.000001,10.005655,20.437453,149.999957,0.000007,0.000007,0.000007,0.000000
0.335000,0.050000,0.050000,0.000001,10.005621,20.437475,149.999958,0.000007,0.000007,0.000007,0.000000
0.340000,0.050000,0.050000,-0.000000,10.005650,20.437463,149.999959,0.000007,0.000007,0.000007,0.000000
0.345000,0.050000,0.050000,0.000001,10.005640,20.437472,149.999960,0.000007,0.000007,0.000007,0.000000
0.350000,0.050000,0.050000,-0.000000,10.005636,20.437478,149.999960,0.000007,0.000007,0.000007,0.000000
0.355000,0.050000,0.050000,0.000001,10.005655,20.437471,149.999961,0.000007,0.000007,0.000007,0.000000
0.360000,0.050000,0.050000,0.000001,10.005634,20.437486,149.999962,0.000006,0.000007,0.000007,0.000000
0.365000,0.050000,0.050000,0.000000,10.005654,20.437478,149.999962,0.000006,0.000006,0.000006,0.000000
0.370000,0.050000,0.050000,0.000001,10.005646,20.437486,149.999963,0.000006,0.000006,0.000006,0.000000
0.375000,0.050000,0.050000,0.000000,10.005645,20.437489,149.999964,0.000006,0.000006,0.000006,0.000000
0.380000,0.050000,0.050000,0.000001,10.005657,20.437486,149.999964,0.000006,0.000006,0.000006,0.000000
0.385000,0.050000,0.050000,0.000001,10.005644,20.437496,149.999965,0.000006,0.000006,0.000006,0.000000
0.390000,0.050000,0.050000,0.000000,10.005658,20.437492,149.999966,0.000006,0.000006,0.000006,0.000000
0.395000,0.050000,0.050000,0.000001,10.005652,20.437498,149.999966,0.000006,0.000006,0.000006,0.000000
0.400000,0.050000,0.050000,0.000000,10.005653,20.437501,149.999967,0.000006,0.000006,0.000006,0.000000
0.405000,0.050000,0.050000,0.000001,10.005661,20.437499,149.999967,0.000005,0.000006,0.000006,0.000000
0.410000,0.050000,0.050000,0.000000,10.005652,20.437507,149.999968,0.000005,0.000005,0.000005,0.000000
0.415000,0.050000,0.050000,0.000000,10.005662,20.437504,149.999968,0.000005,0.000005,0.000005,0.000000
0.420000,0.050000,0.050000,0.000001,10.005658,20.437509,149.999969,0.000005,0.000005,0.000005,0.000000
0.425000,0.050000,0.050000,0.000000,10.005659,20.437511,149.999970,0.000005,0.000005,0.000005,0.000000
0.430000,0.050000,0.050000,0.000001,10.005664,20.437511,149.999970,0.000005,0.000005,0.000005,0.000000
0.435000,0.050000,0.050000,0.000000,10.005659,20.437517,149.999971,0.000005,0.000005,0.000005,0.000000
0.440000,0.050000,0.050000,0.000000,10.005666,20.437516,149.999971,0.000005,0.000005,0.000005,0.000000
0.445000,0.050000,0.050000,0.000001,10.005663,20.437520,149.999972,0.000005,0.000005,0.000005,0.000000
0.450000,0.050000,0.050000,0.000000,10.005665,20.437521,149.999972,0.000005,0.000005,0.000005,0.000000
0.455000,0.050000,0.050000,0.000000,10.005668,20.437522,149.999973,0.000005,0.000005,0.000005,0.000000
0.460000,0.050000,0.050000,0.000000,10.005665,20.437526,149.999973,0.000004,0.000005,0.000005,0.000000
0.465000,0.050000,0.050000,0.000000,10.005670,20.437526,149.999974,0.000004,0.000005,0.000005,0.000000
0.470000,0.050000,0.050000,0.000000,10.005668,20.437529,149.999974,0.000004,0.000004,0.000004,0.000000
0.475000,0.050000,0.050000,0.000000,10.005670,20.437530,149.999975,0.000004,0.000004,0.000004,0.000000
0.480000,0.050000,0.050000,0.000000,10.005672,20.437532,149.999975,0.000004,0.000004,0.000004,0.000000
0.485000,0.050000,0.050000,0.000000,10.005670,20.437534,149.999975,0.000004,0.000004,0.000004,0.000000
