t,r,x,v,p1_bar,p2_bar,ps_bar,u_cmd,xv1,xv2,F_ext
0.000000,0.100000,0.100000,0.000000,10.000000,20.440000,150.000000,0.000000,0.000000,0.000000,0.000000
0.005000,0.100000,0.099999,-0.000182,10.008593,20.434192,150.000000,0.003754,0.000000,0.000000,0.000000
0.010000,0.100000,0.099999,0.000317,10.006600,20.435893,149.998448,-0.001309,0.001589,0.001589,0.000000
0.015000,0.100000,0.100001,0.000074,10.002927,20.439327,149.995377,-0.003695,0.001137,0.001137,0.000000
0.020000,0.100000,0.100000,-0.000127,10.006059,20.439241,149.995611,0.000403,-0.001552,-0.001552,0.000000
0.025000,0.100000,0.100000,-0.000127,10.009526,20.445377,149.993193,0.001670,-0.001683,-0.001683,0.000000
0.030000,0.100000,0.099999,-0.000008,10.012321,20.446950,149.994328,0.001829,0.000196,0.000196,0.000000
0.035000,0.100000,0.100000,0.000183,10.011874,20.447797,149.994295,-0.001163,0.001552,0.001552,0.000000
0.040000,0.100000,0.100001,0.000105,10.009650,20.450046,149.993692,-0.002873,0.000700,0.000700,0.000000
0.045000,0.100000,0.100001,-0.000140,10.010782,20.451356,149.994813,-0.000126,-0.001390,-0.001390,0.000000
0.050000,0.100000,0.100000,-0.000124,10.015690,20.455483,149.993208,0.002242,-0.001558,-0.001558,0.000000
0.055000,0.100000,0.100000,0.000029,10.016937,20.457850,149.994400,0.001036,0.000353,0.000353,0.000000
0.060000,0.100000,0.100000,0.000153,10.016905,20.458456,149.994206,-0.001137,0.001408,0.001408,0.000000
0.065000,0.100000,0.100001,0.000083,10.014824,20.460459,149.994239,-0.002567,0.000427,0.000427,0.000000
0.070000,0.100000,0.100001,-0.000144,10.016218,20.461841,149.995143,0.000144,-0.001371,-0.001371,0.000000
0.075000,0.100000,0.100000,-0.000099,10.020762,20.465569,149.993743,0.002085,-0.001316,-0.001316,0.000000
0.080000,0.100000,0.100000,0.000039,10.021432,20.467551,149.995010,0.000670,0.000471,0.000471,0.000000
0.085000,0.100000,0.100000,0.000139,10.021412,20.468134,149.994661,-0.001197,0.001236,0.001236,0.000000
0.090000,0.100000,0.100001,0.000055,10.019454,20.469927,149.995016,-0.002259,0.000207,0.000207,0.000000
0.095000,0.100000,0.100000,-0.000140,10.021298,20.471280,149.995549,0.000437,-0.001339,-0.001339,0.000000
0.100000,0.100000,0.100000,-0.000075,10.025188,20.474770,149.994341,0.001813,-0.001067,-0.001067,0.000000
0.105000,0.100000,0.100000,0.000044,10.025552,20.476252,149.995615,0.000417,0.000547,0.000547,0.000000
0.110000,0.100000,0.100000,0.000126,10.025439,20.476863,149.995187,-0.001243,0.001063,0.001063,0.000000
0.115000,0.100000,0.100001,0.000029,10.023667,20.478418,149.995774,-0.001934,0.000026,0.000026,0.000000
0.120000,0.100000,0.100000,-0.000131,10.025866,20.479786,149.995923,0.000653,-0.001275,-0.001275,0.000000
0.125000,0.100000,0.100000,-0.000055,10.029086,20.483005,149.994935,0.001531,-0.000836,-0.000836,0.000000
0.130000,0.100000,0.100000,0.000046,10.029278,20.484061,149.996133,0.000225,0.000586,0.000586,0.000000
0.135000,0.100000,0.100000,0.000112,10.029043,20.484709,149.995696,-0.001259,0.000896,0.000896,0.000000
0.140000,0.100000,0.100001,0.000007,10.027513,20.486023,149.996441,-0.001608,-0.000118,-0.000118,0.000000
0.145000,0.100000,0.100000,-0.000119,10.029924,20.487421,149.996265,0.000791,-0.001187,-0.001187,0.000000
0.150000,0.100000,0.100000,-0.000039,10.032523,20.490329,149.995510,0.001265,-0.000631,-0.000631,0.000000
0.155000,0.100000,0.100000,0.000047,10.032613,20.491038,149.996591,0.000076,0.000596,0.000596,0.000000
0.160000,0.100000,0.100000,0.000099,10.032261,20.491716,149.996185,-0.001244,0.000742,0.000742,0.000000
0.165000,0.100000,0.100001,-0.000010,10.031034,20.492837,149.996957,-0.001297,-0.000227,-0.000227,0.000000
0.170000,0.100000,0.100000,-0.000105,10.033501,20.494251,149.996571,0.000859,-0.001082,-0.001082,0.000000
0.175000,0.100000,0.100000,-0.000026,10.035556,20.496820,149.996047,0.001029,-0.000458,-0.000458,0.000000
0.180000,0.100000,0.100000,0.000047,10.035604,20.497289,149.996965,-0.000037,0.000584,0.000584,0.000000
0.185000,0.100000,0.100000,0.000085,10.035147,20.497986,149.996627,-0.001203,0.000603,0.000603,0.000000
0.190000,0.100000,0.100001,-0.000023,10.034233,20.498930,149.997377,-0.001010,-0.000306,-0.000306,0.000000
0.195000,0.100000,0.100000,-0.000091,10.036641,20.500338,149.996866,0.000874,-0.000968,-0.000968,0.000000
0.200000,0.100000,0.100000,-0.000016,10.038231,20.502556,149.996553,0.000824,-0.000312,-0.000312,0.000000
0.205000,0.100000,0.100000,0.000046,10.038258,20.502851,149.997304,-0.000123,0.000556,0.000556,0.000000
0.210000,0.100000,0.100000,0.000072,10.037726,20.503549,149.997041,-0.001139,0.000480,0.000480,0.000000
0.215000,0.100000,0.100000,-0.000032,10.037118,20.504355,149.997711,-0.000757,-0.000358,-0.000358,0.000000
0.220000,0.100000,0.100000,-0.000077,10.039382,20.505735,149.997146,0.000849,-0.000851,-0.000851,0.000000
0.225000,0.100000,0.100000,-0.000008,10.040587,20.507609,149.997018,0.000651,-0.000195,-0.000195,0.000000
0.230000,0.100000,0.100000,0.000045,10.040614,20.507808,149.997589,-0.000188,0.000518,0.000518,0.000000
0.235000,0.100000,0.100000,0.000059,10.040034,20.508490,149.997411,-0.001058,0.000373,0.000373,0.000000
0.240000,0.100000,0.100000,-0.000037,10.039702,20.509172,149.997994,-0.000535,-0.000387,-0.000387,0.000000
0.245000,0.100000,0.100000,-0.000064,10.041772,20.510504,149.997418,0.000799,-0.000736,-0.000736,0.000000
0.250000,0.100000,0.100000,-0.000002,10.042658,20.512047,149.997447,0.000505,-0.000100,-0.000100,0.000000
0.255000,0.100000,0.100000,0.000043,10.042686,20.512188,149.997855,-0.000234,0.000474,0.000474,0.000000
0.260000,0.100000,0.100000,0.000047,10.042086,20.512838,149.997754,-0.000965,0.000280,0.000280,0.000000
0.265000,0.100000,0.100000,-0.000040,10.041993,20.513421,149.998235,-0.000348,-0.000399,-0.000399,0.000000
0.270000,0.100000,0.100000,-0.000052,10.043840,20.514686,149.997682,0.000732,-0.000625,-0.000625,0.000000
0.275000,0.100000,0.100000,0.000002,10.044469,20.515924,149.997837,0.000384,-0.000026,-0.000026,0.000000
0.280000,0.100000,0.100000,0.000041,10.044501,20.516047,149.998090,-0.000268,0.000426,0.000426,0.000000
0.285000,0.100000,0.100000,0.000037,10.043905,20.516652,149.998062,-0.000864,0.000201,0.000201,0.000000
0.290000,0.100000,0.100000,-0.000041,10.044013,20.517155,149.998440,-0.000193,-0.000397,-0.000397,0.000000
0.295000,0.100000,0.100000,-0.000042,10.045625,20.518339,149.997933,0.000656,-0.000522,-0.000522,0.000000
0.300000,0.100000,0.100000,0.000005,10.046052,20.519302,149.998183,0.000285,0.000031,0.000031,0.000000
0.305000,0.100000,0.100000,0.000038,10.046082,20.519423,149.998307,-0.000289,0.000378,0.000378,0.000000
0.310000,0.100000,0.100000,0.000027,10.045509,20.519976,149.998341,-0.000761,0.000134,0.000134,0.000000
0.315000,0.100000,0.100000,-0.000040,10.045777,20.520414,149.998622,-0.000068,-0.000385,-0.000385,0.000000
0.320000,0.100000,0.100000,-0.000033,10.047157,20.521506,149.998172,0.000578,-0.000427,-0.000427,0.000000
0.325000,0.100000,0.100000,0.000007,10.047430,20.522235,149.998477,0.000204,0.000074,0.000074,0.000000
