t,F_ref,F,x_p,v_p,P_A_bar,P_B_bar,u_v,phase_error_deg,iae_cumulative
0.00000,0.00,0.00,0.0000,0.0000,30.000,50.000,0.00000,0.000,0.00
0.00050,78.22,4.88,0.0000,0.0114,30.014,49.983,1.00000,43.156,0.04
0.00100,154.51,115.27,0.0000,0.2050,30.403,49.711,1.00000,14.249,0.06
0.00150,227.00,416.93,0.0004,1.3353,31.474,48.982,1.00000,-39.920,0.15
0.00200,293.89,847.89,0.0016,3.9815,33.008,47.947,1.00000,-62.054,0.43
0.00250,353.55,1359.43,0.0047,8.5989,34.835,46.729,1.00000,-70.634,0.93
0.00300,404.51,1912.66,0.0106,15.6633,36.819,45.426,1.00000,-74.986,1.69
0.00350,445.50,2475.90,0.0208,25.3773,38.849,44.116,1.00000,-77.624,2.70
0.00400,475.53,3023.58,0.0364,37.6687,40.836,42.864,1.00000,-79.429,3.97
0.00450,493.84,3535.35,0.0588,52.3119,42.708,41.719,1.00000,-80.777,5.50
0.00500,500.00,3995.37,0.0891,68.9733,44.409,40.721,1.00000,-81.859,7.24
0.00550,493.84,4391.69,0.1281,87.2351,45.897,39.897,1.00000,-82.779,9.19
0.00600,475.53,4715.92,0.1765,106.6179,47.140,39.267,1.00000,-83.601,11.31
0.00650,445.50,4962.93,0.2348,126.6007,48.120,38.842,1.00000,-84.368,13.57
0.00700,404.51,5130.57,0.3031,146.6407,48.828,38.625,1.00000,-85.108,15.93
0.00750,353.55,5219.52,0.3814,166.1921,49.264,38.612,1.00000,-85.844,18.37
0.00800,293.89,5232.98,0.4691,184.7233,49.440,38.791,1.00000,-86.595,20.84
0.00850,227.00,5176.50,0.5658,201.7330,49.372,39.148,1.00000,-87.374,23.31
0.00900,154.51,5057.65,0.6705,216.7650,49.085,39.661,1.00000,-88.195,25.76
0.00950,78.22,4885.75,0.7822,229.4208,48.611,40.305,1.00000,-89.068,28.17
0.01000,0.00,4671.54,0.8995,239.3707,47.987,41.049,-0.29722,0.000,30.50
0.01050,-78.22,4280.00,1.0210,246.1107,46.725,42.208,-1.00000,-88.972,32.68
0.01100,-154.51,3555.56,1.1449,248.2347,44.265,44.145,-1.00000,-87.615,34.54
0.01150,-227.00,2553.11,1.2682,244.1107,40.844,46.798,-1.00000,-85.332,35.93
0.01200,-293.89,1401.62,1.3878,232.7576,37.135,50.212,-1.00000,-80.166,36.77
0.01250,-353.55,183.91,1.4997,213.7281,33.396,54.128,-1.00000,-56.662,37.04
0.01300,-404.51,-1023.48,1.6002,187.0434,29.836,58.255,-1.00000,56.835,37.35
0.01350,-445.50,-2158.89,1.6855,153.1260,26.626,62.367,-1.00000,75.425,38.21
0.01400,-475.53,-3173.45,1.7523,112.7273,23.905,66.286,-1.00000,80.004,39.56
0.01450,-493.84,-4029.59,1.7974,66.8611,21.780,69.880,-1.00000,82.049,41.33
0.01500,-500.00,-4699.94,1.8184,16.7429,20.330,73.050,-1.00000,83.211,43.43
0.01550,-493.84,-5168.44,1.8139,-34.9092,19.596,75.731,-1.00000,83.969,45.76
0.01600,-475.53,-5431.24,1.7833,-87.4148,19.581,77.896,-1.00000,84.519,48.24
0.01650,-445.50,-5486.73,1.7264,-139.9809,20.283,79.528,-1.00000,84.950,50.76
0.01700,-404.51,-5339.62,1.6436,-191.1876,21.679,80.628,-1.00000,85.314,53.23
0.01750,-353.55,-5000.62,1.5357,-239.6663,23.726,81.215,-1.00000,85.649,55.55
0.01800,-293.89,-4485.75,1.4046,-284.1378,26.367,81.327,-1.00000,85.990,57.65
0.01850,-227.00,-3815.65,1.2524,-323.4466,29.530,81.013,-1.00000,86.381,59.44
0.01900,-154.51,-3014.84,1.0821,-356.5907,33.127,80.335,-1.00000,86.908,60.87
0.01950,-78.22,-2111.07,0.8970,-382.7467,37.064,79.366,-1.00000,87.797,61.89
0.02000,-0.00,-1134.54,0.7007,-401.2895,41.237,78.183,0.15305,0.000,62.46
0.02050,78.22,-3.58,0.4971,-411.6137,45.789,76.344,1.00000,46.281,62.50
0.02100,154.51,1407.83,0.2906,-412.5228,50.974,73.225,1.00000,-82.972,63.12
0.02150,227.00,3061.61,0.0864,-402.6254,56.704,68.994,1.00000,-85.422,64.54
0.02200,293.89,4857.00,-0.1101,-381.0890,62.864,64.299,1.00000,-86.315,66.82
0.02250,353.55,6692.68,-0.2927,-347.6189,69.147,59.472,1.00000,-86.808,69.99
0.02300,404.51,8467.27,-0.4558,-302.5441,75.215,54.797,1.00000,-87.128,74.02
0.02350,445.50,10098.60,-0.5935,-246.7375,80.793,50.500,1.00000,-87.358,78.85
0.02400,475.53,11521.26,-0.7009,-181.5181,85.660,46.756,1.00000,-87.535,84.37
0.02450,493.84,12684.92,-0.7737,-108.5623,89.644,43.698,1.00000,-87.680,90.47
0.02500,500.00,13553.12,-0.8085,-29.8178,92.618,41.421,1.00000,-87.806,97.00
0.02550,493.84,14103.99,-0.8031,51.3062,94.506,39.977,1.00000,-87.922,103.80
0.02600,475.53,14331.88,-0.7570,133.1453,95.284,39.375,1.00000,-88.034,110.73
0.02650,445.50,14236.88,-0.6701,214.1941,94.950,39.609,1.00000,-88.150,117.62
0.02700,404.51,13828.77,-0.5433,292.2549,93.533,40.649,1.00000,-88.274,124.34
0.02750,353.55,13126.63,-0.3787,365.2280,91.095,42.437,1.00000,-88.414,130.72
0.02800,293.89,12157.86,-0.1793,431.1716,87.729,44.899,1.00000,-88.581,136.66
0.02850,227.00,10957.09,0.0510,488.3547,83.550,47.941,1.00000,-88.788,142.02
0.02900,154.51,9564.99,0.3074,535.3031,78.698,51.454,1.00000,-89.059,146.73
0.02950,78.22,8027.05,0.5844,570.8370,73.328,55.321,-1.00000,-89.436,150.70
0.03000,0.00,6166.36,0.8761,593.7151,66.856,60.040,-1.00000,0.000,153.78
0.03050,-78.22,3886.61,1.1756,601.7078,58.975,65.903,-1.00000,-88.870,155.77
0.03100,-154.51,1381.33,1.4750,593.1583,50.423,72.527,-1.00000,-84.255,156.53
0.03150,-227.00,-1210.69,1.7659,567.3961,41.768,79.703,-1.00000,77.006,157.03
0.03200,-293.89,-3756.68,2.0396,524.5444,33.417,87.001,-1.00000,85.149,158.76
0.03250,-353.55,-6143.83,2.2877,465.4698,25.721,94.066,-1.00000,86.506,161.65
0.03300,-404.51,-8278.72,2.5026,391.6729,18.975,100.615,-1.00000,87.059,165.59
0.03350,-445.50,-10086.09,2.6773,305.1837,13.423,106.422,-1.00000,87.354,170.41
0.03400,-475.53,-11508.46,2.8061,208.4552,9.248,111.316,-1.00000,87.532,175.93
0.03450,-493.84,-12506.63,2.8845,104.2553,6.573,115.178,-1.00000,87.646,181.93
0.03500,-500.00,-13060.51,2.9096,-4.3690,5.455,117.930,-1.00000,87.720,188.21
0.03550,-493.84,-13173.11,2.8803,-112.5505,5.865,119.552,-1.00000,87.770,194.55
0.03600,-475.53,-12861.38,2.7973,-219.2091,7.728,120.058,-1.00000,87.801,200.74
0.03650,-445.50,-12148.06,2.6619,-321.4956,10.954,119.490,-1.00000,87.820,206.60
0.03700,-404.51,-11063.50,2.4770,-416.7180,15.434,117.918,-1.00000,87.827,211.93
0.03750,-353.55,-9645.83,2.2467,-502.4118,21.036,115.443,-1.00000,87.821,216.57
0.03800,-293.89,-7940.75,1.9765,-576.3974,27.607,112.185,-1.00000,87.799,220.40
0.03850,-227.00,-6000.90,1.6726,-636.8320,34.968,108.287,-1.00000,87.749,223.28
0.03900,-154.51,-3884.65,1.3422,-682.2546,42.920,103.905,-1.00000,87.628,225.15
0.03950,-78.22,-1654.62,0.9930,-711.6217,51.251,99.207,-1.00000,87.159,225.94
0.04000,-0.00,623.92,0.6333,-724.3314,59.739,94.366,-0.64690,0.000,226.25
0.04050,78.22,2921.78,0.2715,-720.1738,68.252,89.405,0.87301,-88.424,227.67
0.04100,154.51,5364.87,-0.0840,-698.8907,77.063,83.732,1.00000,-88.301,230.27
0.04150,227.00,8001.27,-0.4244,-659.6705,86.261,77.091,1.00000,-88.328,234.16
0.04200,293.89,10661.26,-0.7406,-602.2780,95.402,70.159,1.00000,-88.376,239.35
0.04250,353.55,13216.06,-1.0237,-527.3827,104.125,63.407,1.00000,-88.426,245.78
0.04300,404.51,15536.00,-1.2653,-436.4317,112.007,57.211,1.00000,-88.469,253.34
0.04350,445.50,17519.00,-1.4579,-331.5690,118.711,51.860,1.00000,-88.505,261.88
0.04400,475.53,19088.27,-1.5950,-215.4848,123.984,47.570,-0.56118,-88.536,271.19
0.04450,493.84,20049.76,-1.6720,-91.5161,127.202,44.922,-1.00000,-88.553,280.96
0.04500,500.00,20256.26,-1.6860,35.3139,127.892,44.351,-1.00000,-88.550,290.84
0.04550,493.84,19734.54,-1.6372,159.4614,126.180,45.845,-1.00000,-88.530,300.46
0.04600,475.53,18501.02,-1.5275,277.8060,122.170,49.441,-1.00000,-88.489,309.47
0.04650,445.50,16657.93,-1.3610,386.1684,116.168,54.797,-1.00000,-88.426,317.58
0.04700,404.51,14307.46,-1.1436,480.9639,108.491,61.589,-1.00000,-88.333,324.53
0.04750,353.55,11551.71,-0.8828,559.2243,99.465,69.511,-1.00000,-88.192,330.13
0.04800,293.89,8493.31,-0.5875,618.6205,89.427,78.267,-1.00000,-87.947,334.23
0.04850,227.00,5235.27,-0.2676,657.4821,78.718,87.569,1.00000,-87.405,336.74
0.04900,154.51,2093.50,0.0664,675.1775,68.240,96.288,1.00000,-85.444,337.70
0.04950,78.22,-737.94,0.4042,672.9072,58.555,103.742,1.00000,84.526,338.11
0.05000,-0.00,-3288.48,0.7362,652.1394,49.699,110.236,1.00000,0.000,339.76
0.05050,-78.22,-5500.65,1.0536,614.6248,41.921,115.707,1.00000,89.174,342.47
0.05100,-154.51,-7363.55,1.3484,562.3842,35.280,120.163,1.00000,88.772,346.07
0.05150,-227.00,-8863.17,1.6139,497.6092,29.843,123.598,1.00000,88.494,350.39
0.05200,-293.89,-9985.59,1.8443,422.6531,25.671,125.998,1.00000,88.263,355.24
0.05250,-353.55,-10719.71,2.0352,340.0054,22.813,127.353,1.00000,88.047,360.42
0.05300,-404.51,-11059.38,2.1835,252.2532,21.300,127.661,1.00000,87.826,365.75
0.05350,-445.50,-11005.00,2.2871,162.0329,21.136,126.935,0.33837,87.584,371.03
0.05400,-475.53,-10659.49,2.3455,71.8121,22.009,125.510,-1.00000,87.327,376.12
0.05450,-493.84,-10284.27,2.3592,-16.4719,23.113,124.224,-1.00000,87.112,381.01
0.05500,-500.00,-9952.65,2.3297,-101.2235,24.221,123.307,-1.00000,86.972,385.74
0.05550,-493.84,-9458.29,2.2584,-183.0815,26.050,122.236,-1.00000,86.847,390.22
0.05600,-475.53,-8758.19,2.1473,-260.4687,28.731,120.870,-1.00000,86.714,394.36
0.05650,-445.50,-7848.16,1.9990,-331.7676,32.233,119.123,-1.00000,86.556,398.07
0.05700,-404.51,-6738.74,1.8168,-395.4261,36.488,116.970,-1.00000,86.346,401.23
