t,F_ref,F,x_p,v_p,P_A_bar,P_B_bar,u_v,phase_error_deg,iae_cumulative
0.00000,0.00,0.00,0.0000,0.0000,30.000,50.000,-0.00000,0.000,0.00
0.00050,12.57,4.88,0.0000,0.0114,30.014,49.983,0.00705,31.451,0.00
0.00100,25.13,9.67,0.0000,0.0426,30.028,49.965,0.01723,31.609,0.01
0.00150,37.70,14.28,0.0000,0.0891,30.041,49.949,0.03062,31.844,0.02
0.00200,50.26,18.68,0.0001,0.1469,30.053,49.932,0.04731,32.141,0.04
0.00250,62.82,23.22,0.0002,0.2127,30.066,49.916,0.06706,32.228,0.06
0.00300,75.38,34.75,0.0003,0.2988,30.103,49.883,0.08356,28.328,0.08
0.00350,87.94,56.44,0.0005,0.4430,30.177,49.825,0.09116,19.707,0.09
0.00400,100.49,87.66,0.0008,0.6794,30.285,49.745,0.08649,7.274,0.10
0.00450,113.04,125.30,0.0012,1.0269,30.416,49.649,0.06867,-6.191,0.11
0.00500,125.58,164.04,0.0018,1.4827,30.551,49.552,0.04004,-17.029,0.13
0.00550,138.12,197.31,0.0027,2.0182,30.667,49.468,0.00617,-23.197,0.16
0.00600,150.65,218.64,0.0038,2.5822,30.741,49.413,-0.02495,-24.288,0.19
0.00650,163.18,223.38,0.0053,3.1073,30.756,49.398,-0.04447,-20.248,0.22
0.00700,175.70,214.93,0.0069,3.5266,30.724,49.415,-0.04904,-12.584,0.24
0.00750,188.22,204.55,0.0088,3.8253,30.685,49.438,-0.04370,-4.959,0.25
0.00800,200.72,193.20,0.0107,4.0120,30.644,49.463,-0.02861,2.145,0.25
0.00850,213.22,180.71,0.0128,4.0943,30.599,49.492,-0.00328,8.669,0.27
0.00900,225.71,168.49,0.0148,4.0792,30.554,49.520,0.03142,14.226,0.30
0.00950,238.19,156.76,0.0168,3.9805,30.511,49.545,0.07513,18.875,0.34
0.01000,250.67,145.59,0.0188,3.8101,30.470,49.570,0.12755,22.743,0.39
0.01050,263.13,147.65,0.0206,3.6015,30.475,49.562,0.17716,23.695,0.45
0.01100,275.58,177.59,0.0224,3.4668,30.580,49.487,0.20586,19.574,0.50
0.01150,288.02,235.94,0.0241,3.5334,30.786,49.344,0.20253,10.250,0.52
0.01200,300.45,316.25,0.0260,3.8979,31.071,49.149,0.16213,-3.010,0.53
0.01250,312.87,405.36,0.0281,4.6024,31.387,48.933,0.08804,-16.468,0.58
0.01300,325.27,485.41,0.0306,5.6214,31.671,48.740,-0.00720,-26.211,0.66
0.01350,337.67,537.38,0.0338,6.8564,31.856,48.616,-0.10327,-30.603,0.76
0.01400,350.05,545.60,0.0375,8.1354,31.886,48.597,-0.17567,-29.191,0.85
0.01450,362.41,515.90,0.0419,9.2470,31.782,48.670,-0.21296,-22.954,0.93
0.01500,374.76,459.84,0.0467,10.0650,31.618,48.865,-0.21102,-12.791,0.97
0.01550,387.10,371.68,0.0519,10.4324,31.391,49.220,-0.15502,2.281,0.98
0.01600,399.42,267.78,0.0570,10.2322,31.133,49.657,-0.04734,18.241,1.05
0.01650,411.73,170.45,0.0620,9.4499,30.891,50.065,0.09824,30.371,1.17
0.01700,424.01,104.20,0.0664,8.1985,30.715,50.323,0.25771,37.025,1.33
0.01750,436.29,78.44,0.0701,6.7045,30.627,50.391,0.41106,39.359,1.51
0.01800,448.54,120.10,0.0731,5.2495,30.774,50.289,0.51968,36.213,1.67
0.01850,460.78,252.38,0.0755,4.2863,31.242,49.967,0.53829,24.336,1.78
0.01900,473.00,461.56,0.0776,4.2083,31.984,49.460,0.44516,1.385,1.78
0.01950,485.20,712.35,0.0799,5.2210,32.875,48.855,0.24249,-25.087,1.89
0.02000,497.38,952.91,0.0830,7.3293,33.731,48.278,-0.04002,-42.485,2.12
0.02050,509.54,1124.49,0.0873,10.3359,34.344,47.869,-0.34755,-50.355,2.43
0.02100,521.68,1174.22,0.0934,13.7884,34.525,47.756,-0.60876,-51.359,2.76
0.02150,533.80,1095.85,0.1011,17.0345,34.287,48.012,-0.77311,-46.476,3.04
0.02200,545.90,888.74,0.1103,19.4405,33.776,48.888,-0.79289,-32.130,3.21
0.02250,557.98,570.77,0.1203,20.3696,33.043,50.315,-0.63631,-1.313,3.22
0.02300,570.04,194.20,0.1303,19.3840,32.199,52.047,-0.30779,33.398,3.40
0.02350,582.07,-168.75,0.1393,16.3766,31.397,53.735,0.15185,52.216,3.78
0.02400,594.08,-438.44,0.1464,11.6450,30.800,54.987,0.66908,60.085,4.29
0.02450,606.07,-542.80,0.1508,5.9339,30.552,55.443,0.93696,62.187,4.87
0.02500,618.03,-455.59,0.1524,0.5365,30.854,55.220,0.95364,60.073,5.41
0.02550,629.97,-162.11,0.1517,-3.0884,31.878,54.480,0.96030,51.503,5.80
0.02600,641.89,277.01,0.1497,-4.4476,33.413,53.380,0.95516,29.615,5.98
0.02650,653.78,810.92,0.1476,-3.3083,35.285,52.051,0.70579,-13.515,6.06
0.02700,665.64,1369.28,0.1468,0.2630,37.248,50.670,0.18652,-46.590,6.41
0.02750,677.48,1843.36,0.1482,5.6624,38.920,49.505,-0.45975,-59.840,7.00
0.02800,689.29,2113.93,0.1527,12.4670,39.877,48.846,-0.89491,-64.181,7.71
0.02850,701.07,2116.60,0.1607,19.7838,39.894,48.852,-0.92255,-63.652,8.42
0.02900,712.82,1907.74,0.1723,26.3965,39.338,49.666,-0.94020,-59.182,9.02
0.02950,724.55,1533.04,0.1869,31.3222,38.415,51.249,-0.94510,-48.134,9.42
0.03000,736.25,1042.31,0.2033,33.8260,37.238,53.378,-0.93558,-22.573,9.57
