t,F_ref,F,x_p,v_p,P_A_bar,P_B_bar,u_v,phase_error_deg,iae_cumulative
0.00000,0.00,0.00,0.0000,0.0000,30.000,50.000,-0.00000,0.000,0.00
0.00050,0.00,4.88,0.0000,0.0114,30.014,49.983,-0.00449,0.000,0.00
0.00100,0.00,9.67,0.0000,0.0426,30.028,49.965,-0.01083,0.000,0.01
0.00150,0.00,14.28,0.0000,0.0891,30.041,49.949,-0.01893,0.000,0.01
0.00200,0.00,18.68,0.0001,0.1469,30.053,49.932,-0.02868,0.000,0.02
0.00250,0.00,22.82,0.0002,0.2124,30.064,49.917,-0.03994,0.000,0.04
0.00300,0.00,26.58,0.0003,0.2827,30.075,49.903,-0.05250,0.000,0.05
0.00350,0.00,26.24,0.0005,0.3476,30.077,49.909,-0.06280,0.000,0.06
0.00400,0.00,19.82,0.0007,0.3826,30.067,49.947,-0.06737,0.000,0.07
0.00450,0.00,7.82,0.0009,0.3662,30.047,50.013,-0.06426,0.000,0.08
0.00500,0.00,-8.02,0.0010,0.2860,30.020,50.100,-0.05283,0.000,0.08
0.00550,0.00,-24.90,0.0011,0.1432,29.992,50.194,-0.03412,0.000,0.09
0.00600,0.00,-39.36,0.0012,-0.0467,29.970,50.277,-0.01090,0.000,0.11
0.00650,0.00,-47.87,0.0011,-0.2544,29.960,50.332,0.01263,0.000,0.14
0.00700,0.00,-47.60,0.0009,-0.4415,29.967,50.342,0.03148,0.000,0.16
0.00750,0.00,-40.68,0.0006,-0.5716,29.989,50.320,0.04412,0.000,0.18
0.00800,0.00,-33.23,0.0003,-0.6414,30.011,50.296,0.05351,0.000,0.20
0.00850,0.00,-25.59,0.0000,-0.6600,30.035,50.271,0.05976,0.000,0.21
0.00900,0.00,-12.97,-0.0003,-0.6278,30.076,50.234,0.05837,0.000,0.22
0.00950,0.00,6.92,-0.0006,-0.5217,30.143,50.180,0.04528,0.000,0.22
0.01000,0.00,29.84,-0.0008,-0.3321,30.221,50.119,0.02146,0.000,0.23
0.01050,0.00,50.12,-0.0009,-0.0748,30.289,50.064,-0.00908,0.000,0.26
0.01100,0.00,61.75,-0.0009,0.2098,30.327,50.031,-0.03977,0.000,0.29
0.01150,0.00,65.30,-0.0007,0.4712,30.337,50.017,-0.06767,0.000,0.32
0.01200,0.00,67.74,-0.0004,0.6953,30.342,50.006,-0.09598,0.000,0.36
0.01250,0.00,64.16,-0.0000,0.8765,30.335,50.024,-0.11972,0.000,0.39
0.01300,0.00,45.35,0.0004,0.9680,30.299,50.120,-0.12805,0.000,0.41
0.01350,0.00,12.95,0.0009,0.9181,30.237,50.286,-0.11638,0.000,0.42
0.01400,0.00,-28.12,0.0013,0.7011,30.159,50.500,-0.08381,0.000,0.43
0.01450,0.00,-70.35,0.0016,0.3262,30.082,50.723,-0.03379,0.000,0.47
0.01500,0.00,-104.79,0.0016,-0.1592,30.022,50.910,0.02593,0.000,0.52
0.01550,0.00,-122.75,0.0014,-0.6757,29.996,51.016,0.08426,0.000,0.58
0.01600,0.00,-118.92,0.0010,-1.1249,30.014,51.014,0.12973,0.000,0.64
0.01650,0.00,-107.12,0.0003,-1.4476,30.052,50.979,0.16634,0.000,0.69
0.01700,0.00,-70.47,-0.0005,-1.6024,30.178,50.883,0.17542,0.000,0.73
0.01750,0.00,-6.12,-0.0012,-1.4847,30.402,50.720,0.14442,0.000,0.73
0.01800,0.00,73.96,-0.0019,-1.0408,30.682,50.520,0.07327,0.000,0.77
0.01850,0.00,151.61,-0.0022,-0.3022,30.954,50.326,-0.02759,0.000,0.84
0.01900,0.00,205.86,-0.0022,0.6094,31.143,50.189,-0.13794,0.000,0.95
0.01950,0.00,219.12,-0.0016,1.5073,31.187,50.153,-0.23228,0.000,1.06
0.02000,0.00,207.38,-0.0007,2.2415,31.158,50.201,-0.30894,0.000,1.16
0.02050,0.00,151.11,0.0006,2.6932,31.040,50.474,-0.34001,0.000,1.24
0.02100,0.00,52.06,0.0019,2.6954,30.840,50.966,-0.30930,0.000,1.26
0.02150,0.00,-75.24,0.0032,2.1462,30.589,51.609,-0.21311,0.000,1.30
0.02200,0.00,-207.87,0.0040,1.0622,30.334,52.289,-0.06122,0.000,1.40
0.02250,0.00,-318.29,0.0042,-0.4007,30.129,52.868,0.12319,0.000,1.56
0.02300,0.00,-379.39,0.0036,-1.9945,30.027,53.207,0.30636,0.000,1.75
0.02350,0.00,-375.54,0.0022,-3.4477,30.058,53.226,0.45424,0.000,1.94
0.02400,0.00,-299.18,0.0002,-4.5246,30.322,53.030,0.53395,0.000,2.09
0.02450,0.00,-125.11,-0.0022,-4.8597,30.930,52.593,0.49340,0.000,2.15
0.02500,0.00,119.07,-0.0045,-4.1147,31.786,51.985,0.31897,0.000,2.21
0.02550,0.00,382.16,-0.0061,-2.2050,32.711,51.334,0.02970,0.000,2.40
0.02600,0.00,598.72,-0.0066,0.5473,33.473,50.799,-0.32180,0.000,2.70
0.02650,0.00,703.40,-0.0055,3.5703,33.841,50.540,-0.65693,0.000,3.05
0.02700,0.00,672.18,-0.0030,6.3638,33.763,50.671,-0.90896,0.000,3.39
0.02750,0.00,496.68,0.0007,8.4548,33.381,51.496,-1.00000,0.000,3.64
0.02800,0.00,183.74,0.0052,9.2031,32.725,53.011,-0.91866,0.000,3.73
0.02850,0.00,-220.02,0.0096,8.0710,31.898,54.996,-0.62100,0.000,3.84
0.02900,0.00,-641.87,0.0129,4.8653,31.052,57.103,-0.14558,0.000,4.16
0.02950,0.00,-993.88,0.0142,0.0744,30.369,58.897,0.43404,0.000,4.66
0.03000,0.00,-1191.73,0.0129,-5.2317,30.014,59.954,1.00000,0.000,5.25
0.03050,0.00,-1177.07,0.0090,-10.4978,30.118,60.006,1.00000,0.000,5.84
0.03100,0.00,-927.65,0.0026,-14.9370,30.976,59.358,1.00000,0.000,6.31
0.03150,0.00,-488.50,-0.0056,-17.4993,32.493,58.225,1.00000,0.000,6.55
