t,F_ref,F,x_p,v_p,P_A_bar,P_B_bar,u_v,phase_error_deg,iae_cumulative
0.00000,0.00,0.00,0.0000,0.0000,30.000,50.000,-1.00000,0.000,0.00
0.00050,0.00,-79.54,-0.0000,-0.1184,29.857,50.424,1.00000,0.000,0.04
0.00100,0.00,-124.70,-0.0002,-0.6419,29.788,50.686,1.00000,0.000,0.10
0.00150,0.00,44.40,-0.0006,-0.7692,30.384,50.271,-1.00000,0.000,0.12
0.00200,0.00,152.62,-0.0008,-0.0553,30.766,50.005,-1.00000,0.000,0.20
0.00250,0.00,50.22,-0.0007,0.4842,30.576,50.542,-1.00000,0.000,0.23
0.00300,0.00,-202.22,-0.0005,0.0866,30.105,51.859,1.00000,0.000,0.33
0.00350,0.00,-363.12,-0.0008,-1.3212,29.812,52.712,1.00000,0.000,0.51
0.00400,0.00,-290.02,-0.0018,-2.6391,30.071,52.535,1.00000,0.000,0.65
0.00450,0.00,-10.02,-0.0032,-2.9003,31.055,51.841,1.00000,0.000,0.66
0.00500,0.00,417.25,-0.0044,-1.4376,32.561,50.792,-1.00000,0.000,0.87
0.00550,0.00,698.60,-0.0044,1.5776,33.554,50.102,-1.00000,0.000,1.22
0.00600,0.00,679.39,-0.0028,4.6136,33.530,50.222,-1.00000,0.000,1.56
0.00650,0.00,474.87,0.0001,6.7637,33.103,51.215,-1.00000,0.000,1.79
0.00700,0.00,135.70,0.0037,7.4024,32.409,52.885,-1.00000,0.000,1.86
0.00750,0.00,-291.45,0.0071,6.0686,31.551,55.014,1.00000,0.000,2.01
0.00800,0.00,-577.68,0.0094,2.9140,30.980,56.447,1.00000,0.000,2.30
0.00850,0.00,-592.84,0.0100,-0.4737,30.974,56.564,1.00000,0.000,2.59
0.00900,0.00,-382.62,0.0091,-2.8094,31.704,56.028,1.00000,0.000,2.78
0.00950,0.00,4.77,0.0075,-3.3626,33.052,55.047,-1.00000,0.000,2.79
0.01000,0.00,266.77,0.0061,-2.1175,33.965,54.385,-1.00000,0.000,2.92
0.01050,0.00,248.76,0.0054,-0.5777,33.957,54.522,-1.00000,0.000,3.04
0.01100,0.00,55.84,0.0054,0.1862,33.584,55.509,-1.00000,0.000,3.07
0.01150,0.00,-261.60,0.0054,-0.3735,32.969,57.128,1.00000,0.000,3.20
0.01200,0.00,-466.70,0.0048,-2.1602,32.582,58.192,1.00000,0.000,3.44
0.01250,0.00,-422.28,0.0032,-3.9788,32.751,58.104,1.00000,0.000,3.65
0.01300,0.00,-162.61,0.0010,-4.8291,33.648,57.435,1.00000,0.000,3.73
0.01350,0.00,256.99,-0.0013,-3.9177,35.101,56.360,-1.00000,0.000,3.86
0.01400,0.00,537.41,-0.0026,-1.2595,36.073,55.643,-1.00000,0.000,4.13
0.01450,0.00,523.05,-0.0025,1.4833,36.069,55.756,-1.00000,0.000,4.39
0.01500,0.00,325.74,-0.0013,3.2438,35.664,56.725,-1.00000,0.000,4.55
0.01550,0.00,-3.24,0.0004,3.4905,34.992,58.346,1.00000,0.000,4.55
0.01600,0.00,-223.25,0.0019,2.2489,34.541,59.429,1.00000,0.000,4.66
0.01650,0.00,-194.97,0.0027,0.7911,34.652,59.379,1.00000,0.000,4.76
0.01700,0.00,47.14,0.0029,0.2210,35.484,58.748,-1.00000,0.000,4.78
0.01750,0.00,203.23,0.0031,0.8447,36.020,58.340,-1.00000,0.000,4.89
0.01800,0.00,126.15,0.0037,1.4592,35.863,58.720,-1.00000,0.000,4.95
0.01850,0.00,-111.50,0.0044,1.2096,35.382,59.900,1.00000,0.000,5.00
