t,F_ref,F,x_p,v_p,P_A_bar,P_B_bar,u_v,phase_error_deg,iae_cumulative
0.00000,0.00,0.00,0.0000,0.0000,30.000,50.000,-0.00000,0.000,0.00
0.00050,78.22,4.88,0.0000,0.0114,30.014,49.983,1.00000,43.156,0.04
0.00100,154.51,115.27,0.0000,0.2050,30.403,49.711,1.00000,14.249,0.06
0.00150,227.00,416.93,0.0004,1.3353,31.474,48.982,1.00000,-39.920,0.15
0.00200,293.89,847.89,0.0016,3.9815,33.008,47.947,1.00000,-62.054,0.43
0.00250,353.55,1359.43,0.0047,8.5989,34.835,46.729,1.00000,-70.634,0.93
0.00300,404.51,1912.66,0.0106,15.6633,36.819,45.426,1.00000,-74.986,1.69
0.00350,445.50,2475.90,0.0208,25.3773,38.849,44.116,1.00000,-77.624,2.70
0.00400,475.53,3023.58,0.0364,37.6687,40.836,42.864,1.00000,-79.429,3.97
0.00450,493.84,3535.35,0.0588,52.3119,42.708,41.719,1.00000,-80.777,5.50
0.00500,500.00,3995.37,0.0891,68.9733,44.409,40.721,1.00000,-81.859,7.24
0.00550,493.84,4391.69,0.1281,87.2351,45.897,39.897,1.00000,-82.779,9.19
0.00600,475.53,4715.92,0.1765,106.6179,47.140,39.267,1.00000,-83.601,11.31
0.00650,445.50,4962.93,0.2348,126.6007,48.120,38.842,1.00000,-84.368,13.57
0.00700,404.51,5130.57,0.3031,146.6407,48.828,38.625,1.00000,-85.108,15.93
0.00750,353.55,5219.52,0.3814,166.1921,49.264,38.612,1.00000,-85.844,18.37
0.00800,293.89,5232.98,0.4691,184.7233,49.440,38.791,1.00000,-86.595,20.84
0.00850,227.00,5176.50,0.5658,201.7330,49.372,39.148,1.00000,-87.374,23.31
0.00900,154.51,5057.65,0.6705,216.7650,49.085,39.661,1.00000,-88.195,25.76
0.00950,78.22,4885.75,0.7822,229.4208,48.611,40.305,1.00000,-89.068,28.17
0.01000,0.00,4671.54,0.8995,239.3707,47.987,41.049,1.00000,0.000,30.50
0.01050,-78.22,4426.87,1.0211,246.3621,47.253,41.864,1.00000,-89.005,32.75
0.01100,-154.51,4164.29,1.1454,250.2262,46.452,42.717,1.00000,-87.951,34.91
0.01150,-227.00,3896.73,1.2708,250.8814,45.628,43.573,1.00000,-86.849,36.98
0.01200,-293.89,3637.11,1.3957,248.3351,44.826,44.400,1.00000,-85.724,38.94
0.01250,-353.55,3397.98,1.5186,242.6824,44.090,45.167,1.00000,-84.616,40.82
0.01300,-404.51,3191.19,1.6379,234.1026,43.461,45.842,1.00000,-83.581,42.62
0.01350,-445.50,3027.56,1.7522,222.8533,42.977,46.399,-1.00000,-82.690,44.35
0.01400,-475.53,2683.67,1.8603,208.8638,41.845,47.377,-1.00000,-81.440,45.93
0.01450,-493.84,2029.02,1.9604,190.7802,39.601,49.093,-1.00000,-78.925,47.19
0.01500,-500.00,1228.57,2.0502,167.5986,36.946,51.339,-1.00000,-73.867,48.06
0.01550,-493.84,372.27,2.1271,139.0291,34.338,54.128,-1.00000,-60.309,48.49
0.01600,-475.53,-467.15,2.1884,105.2006,31.961,57.162,-1.00000,-1.009,48.49
0.01650,-445.50,-1232.72,2.2315,66.6074,29.962,60.210,-1.00000,60.493,48.89
0.01700,-404.51,-1881.95,2.2543,24.0262,28.450,63.100,-1.00000,74.688,49.63
0.01750,-353.55,-2385.54,2.2552,-20.6261,27.499,65.712,-1.00000,80.130,50.64
0.01800,-293.89,-2729.61,2.2335,-66.1116,27.136,67.974,-1.00000,83.120,51.86
0.01850,-227.00,-2904.28,2.1889,-112.3316,27.381,69.837,-1.00000,85.154,53.20
0.01900,-154.51,-2906.16,2.1213,-158.0817,28.233,71.273,-1.00000,86.786,54.57
0.01950,-78.22,-2738.58,2.0311,-202.1627,29.673,72.276,-1.00000,88.316,55.91
0.02000,-0.00,-2410.68,1.9196,-243.4216,31.663,72.860,-1.00000,0.000,57.11
0.02050,78.22,-1936.65,1.7884,-280.7864,34.150,73.056,-1.00000,87.777,58.12
0.02100,154.51,-1334.96,1.6396,-313.2981,37.068,72.905,-1.00000,84.078,58.86
0.02150,227.00,-627.60,1.4760,-340.1365,40.340,72.463,-1.00000,75.125,59.29
0.02200,293.89,160.62,1.3005,-360.6425,43.879,71.793,-1.00000,24.393,59.36
0.02250,353.55,1002.87,1.1165,-374.3346,47.592,70.962,-1.00000,-61.432,59.68
0.02300,404.51,1871.05,0.9274,-380.9205,51.382,70.045,1.00000,-74.580,60.41
0.02350,445.50,2946.34,0.7368,-379.9452,55.635,68.173,1.00000,-79.899,61.66
0.02400,475.53,4332.95,0.5489,-369.9225,60.573,64.846,1.00000,-82.972,63.59
0.02450,493.84,5883.27,0.3686,-349.7642,65.908,60.819,1.00000,-84.764,66.29
0.02500,500.00,7512.44,0.2009,-319.0344,71.495,56.555,1.00000,-85.922,69.79
0.02550,493.84,9117.21,0.0513,-277.8483,76.992,52.344,1.00000,-86.722,74.11
0.02600,475.53,10613.22,-0.0753,-226.8704,82.117,48.418,1.00000,-87.314,79.17
0.02650,445.50,11933.71,-0.1741,-167.2138,86.643,44.957,1.00000,-87.779,84.92
0.02700,404.51,13027.40,-0.2413,-100.3490,90.397,42.099,1.00000,-88.165,91.23
0.02750,353.55,13856.97,-0.2736,-28.0186,93.249,39.940,1.00000,-88.500,97.98
0.02800,293.89,14399.42,-0.2689,46.5931,95.118,38.535,1.00000,-88.806,105.04
0.02850,227.00,14647.72,-0.2268,121.9729,95.978,37.898,1.00000,-89.098,112.25
0.02900,154.51,14600.16,-0.1470,196.8261,95.818,38.029,1.00000,-89.387,119.47
0.02950,78.22,14264.20,-0.0304,269.1302,94.662,38.901,1.00000,-89.684,126.56
0.03000,0.00,13656.15,0.1214,336.9448,92.561,40.467,1.00000,0.000,133.39
0.03050,-78.22,12800.21,0.3055,398.4675,89.596,42.659,1.00000,-89.652,139.83
0.03100,-154.51,11727.43,0.5185,452.0841,85.873,45.393,1.00000,-89.255,145.77
0.03150,-227.00,10474.60,0.7560,496.4118,81.515,48.571,1.00000,-88.785,151.12
0.03200,-293.89,9083.10,1.0132,530.3353,76.666,52.084,1.00000,-88.205,155.81
0.03250,-353.55,7597.69,1.2845,553.0343,71.478,55.817,1.00000,-87.454,159.78
0.03300,-404.51,6065.25,1.5643,564.0031,66.115,59.647,-1.00000,-86.422,163.02
0.03350,-445.50,4300.93,1.8465,562.6648,59.966,64.103,-1.00000,-84.638,165.39
0.03400,-475.53,2202.30,2.1246,547.4020,52.707,69.492,-1.00000,-79.930,166.73
0.03450,-493.84,-32.75,2.3914,517.1620,45.086,75.416,-1.00000,-43.035,166.96
0.03500,-500.00,-2266.82,2.6393,471.8846,37.668,81.671,-1.00000,74.199,167.85
0.03550,-493.84,-4380.81,2.8609,412.2406,30.812,87.860,-1.00000,82.759,169.79
0.03600,-475.53,-6277.62,3.0493,339.5495,24.812,93.668,-1.00000,85.315,172.69
0.03650,-445.50,-7881.17,3.1985,255.6581,19.904,98.849,-1.00000,86.571,176.41
0.03700,-404.51,-9134.95,3.3035,162.8247,16.259,103.223,-1.00000,87.347,180.77
0.03750,-353.55,-10000.91,3.3603,63.6071,13.993,106.662,-1.00000,87.901,185.60
0.03800,-293.89,-10459.20,3.3666,-38.4861,13.157,109.088,-1.00000,88.344,190.68
0.03850,-227.00,-10511.10,3.3219,-140.1724,13.732,110.480,-1.00000,88.736,195.82
0.03900,-154.51,-10167.00,3.2267,-239.9204,15.672,110.846,-1.00000,89.116,200.83
0.03950,-78.22,-9446.88,3.0827,-335.0546,18.899,110.222,-1.00000,89.522,205.51
0.04000,-0.00,-8380.14,2.8928,-423.0614,23.306,108.678,-1.00000,0.000,209.70
0.04050,78.22,-7004.53,2.6612,-501.6528,28.762,106.308,-1.00000,89.367,213.24
0.04100,154.51,-5365.15,2.3931,-568.8216,35.111,103.228,-1.00000,88.397,216.00
0.04150,227.00,-3513.42,2.0946,-622.8911,42.177,99.573,-1.00000,86.527,217.87
0.04200,293.89,-1505.84,1.7726,-662.5547,49.768,95.495,-1.00000,80.726,218.77
0.04250,353.55,597.44,1.4346,-686.9079,57.677,91.150,-1.00000,-34.598,218.90
0.04300,404.51,2734.19,1.0883,-695.4682,65.693,86.704,1.00000,-80.150,220.06
0.04350,445.50,5059.34,0.7418,-687.8145,74.156,81.432,1.00000,-84.485,222.37
0.04400,475.53,7658.29,0.4034,-662.6602,83.247,74.925,1.00000,-86.212,225.96
0.04450,493.84,10344.62,0.0822,-619.3145,92.486,67.939,1.00000,-87.130,230.88
0.04500,500.00,12986.15,-0.2129,-558.0355,101.521,60.984,1.00000,-87.707,237.13
0.04550,493.84,15449.23,-0.4730,-479.8746,109.914,54.446,1.00000,-88.109,244.60
0.04600,475.53,17625.48,-0.6902,-386.6147,117.307,48.632,1.00000,-88.412,253.18
0.04650,445.50,19430.69,-0.8575,-280.6288,123.419,43.776,1.00000,-88.656,262.67
0.04700,404.51,20802.74,-0.9692,-164.7466,128.041,40.045,1.00000,-88.864,272.87
0.04750,353.55,21700.10,-1.0211,-42.1256,131.031,37.551,1.00000,-89.051,283.54
0.04800,293.89,22102.35,-1.0110,82.4997,132.318,36.343,1.00000,-89.228,294.45
0.04850,227.00,22010.54,-0.9387,206.4698,131.901,36.414,1.00000,-89.403,305.34
0.04900,154.51,21436.30,-0.8051,327.0367,129.817,37.726,1.00000,-89.584,315.98
0.04950,78.22,20405.26,-0.6128,440.9521,126.150,40.206,1.00000,-89.780,326.14
0.05000,-0.00,18955.76,-0.3658,545.1828,121.028,43.749,1.00000,0.000,335.62
0.05050,-78.22,17137.19,-0.0697,636.9921,114.620,48.223,1.00000,-89.740,344.23
0.05100,-154.51,15008.33,0.2688,714.0116,107.125,53.473,1.00000,-89.416,351.81
0.05150,-227.00,12635.58,0.6416,774.3002,98.772,59.324,1.00000,-88.989,358.24
0.05200,-293.89,10091.14,1.0400,816.3920,89.810,65.590,1.00000,-88.379,363.44
0.05250,-353.55,7451.09,1.4548,839.3305,80.500,72.074,1.00000,-87.406,367.34
0.05300,-404.51,4793.37,1.8761,842.6896,71.113,78.576,-1.00000,-85.550,369.94
0.05350,-445.50,1952.57,2.2941,826.1658,61.151,85.647,-1.00000,-79.476,371.14
0.05400,-475.53,-1158.72,2.6987,788.5409,50.367,93.601,-1.00000,55.161,371.48
0.05450,-493.84,-4302.81,3.0791,729.3443,39.595,101.848,-1.00000,82.613,373.38
0.05500,-500.00,-7296.56,3.4246,649.3872,29.512,109.992,-1.00000,85.793,376.78
0.05550,-493.84,-9997.27,3.7253,550.4162,20.570,117.594,-1.00000,87.025,381.53
0.05600,-475.53,-12290.17,3.9723,434.9626,13.135,124.309,-1.00000,87.695,387.44
0.05650,-445.50,-14087.59,4.1580,306.1818,7.489,129.878,-1.00000,88.130,394.26
0.05700,-404.51,-15328.17,4.2768,167.6967,3.831,134.120,-1.00000,88.447,401.72
0.05750,-353.55,-15978.87,4.3248,23.4346,2.260,136.924,-1.00000,88.704,409.53
