t,z_s,dz_s,z_u,dz_u,z_r,F_act,body_acc,susp_defl,tyre_defl
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.005000,0.000000,0.000000,0.000000,0.000000,0.000408,0.000000,0.000000,0.000000,-0.000408
0.010000,0.000000,0.000089,0.000021,0.008315,0.000816,8.851734,0.071889,-0.000021,-0.000794
0.015000,0.000002,0.000599,0.000098,0.021840,0.001222,22.904150,0.188609,-0.000097,-0.001124
0.020000,0.000007,0.001726,0.000250,0.037768,0.001626,38.859212,0.325238,-0.000242,-0.001377
0.025000,0.000020,0.003545,0.000482,0.053801,0.002028,54.044452,0.461150,-0.000461,-0.001546
0.030000,0.000044,0.006035,0.000791,0.068261,0.002426,66.537741,0.581091,-0.000746,-0.001635
0.035000,0.000082,0.009102,0.001166,0.080090,0.002820,75.173525,0.675344,-0.001084,-0.001654
0.040000,0.000136,0.012612,0.001593,0.088790,0.003209,79.464147,0.739250,-0.001456,-0.001617
0.045000,0.000209,0.016410,0.002055,0.094314,0.003593,79.469410,0.772315,-0.001846,-0.001538
0.050000,0.000301,0.020343,0.002538,0.096941,0.003971,75.643524,0.777111,-0.002237,-0.001434
0.055000,0.000412,0.024274,0.003028,0.097158,0.004343,68.682630,0.758168,-0.002616,-0.001315
0.060000,0.000543,0.028087,0.003514,0.095543,0.004707,59.389323,0.720967,-0.002971,-0.001193
0.065000,0.000692,0.031699,0.003989,0.092679,0.005063,48.563990,0.671112,-0.003296,-0.001075
0.070000,0.000859,0.035049,0.004447,0.089093,0.005411,36.927031,0.613738,-0.003588,-0.000964
0.075000,0.001042,0.038107,0.004887,0.085211,0.005750,25.071523,0.553121,-0.003845,-0.000863
0.080000,0.001240,0.040858,0.005307,0.081349,0.006079,13.442683,0.492507,-0.004067,-0.000772
0.085000,0.001450,0.043305,0.005708,0.077707,0.006398,2.338647,0.434088,-0.004258,-0.000690
0.090000,0.001672,0.045461,0.006092,0.074382,0.006707,-8.073640,0.379101,-0.004420,-0.000615
0.095000,0.001904,0.047343,0.006459,0.071392,0.007004,-17.733499,0.328000,-0.004555,-0.000545
0.100000,0.002145,0.048971,0.006813,0.068696,0.007290,-26.657815,0.280659,-0.004668,-0.000477
0.105000,0.002393,0.050362,0.007153,0.066214,0.007563,-34.912756,0.236576,-0.004760,-0.000410
0.110000,0.002648,0.051534,0.007481,0.063855,0.007824,-42.588801,0.195060,-0.004833,-0.000343
0.115000,0.002908,0.052496,0.007797,0.061523,0.008072,-49.780821,0.155381,-0.004889,-0.000274
0.120000,0.003172,0.053259,0.008101,0.059136,0.008306,-56.573854,0.116874,-0.004929,-0.000204
0.125000,0.003440,0.053826,0.008393,0.056628,0.008526,-63.034468,0.079013,-0.004953,-0.000133
0.130000,0.003710,0.054202,0.008672,0.053957,0.008733,-69.206978,0.041438,-0.004962,-0.000060
0.135000,0.003982,0.054386,0.008937,0.051099,0.008924,-75.113512,0.003962,-0.004955,0.000013
0.140000,0.004254,0.054380,0.009187,0.048048,0.009101,-80.756773,-0.033451,-0.004933,0.000086
0.145000,0.004525,0.054184,0.009421,0.044813,0.009263,-86.124387,-0.070714,-0.004896,0.000159
0.150000,0.004795,0.053799,0.009639,0.041414,0.009409,-91.193895,-0.107652,-0.004843,0.000230
0.155000,0.005063,0.053225,0.009838,0.037875,0.009539,-95.937622,-0.144044,-0.004776,0.000299
0.160000,0.005327,0.052468,0.010020,0.034226,0.009654,-100.326929,-0.179649,-0.004693,0.000366
0.165000,0.005587,0.051530,0.010183,0.030492,0.009752,-104.335521,-0.214236,-0.004596,0.000431
0.170000,0.005842,0.050418,0.010327,0.026698,0.009834,-107.941730,-0.247599,-0.004485,0.000493
0.175000,0.006091,0.049137,0.010452,0.022867,0.009900,-111.129791,-0.279573,-0.004361,0.000552
0.180000,0.006333,0.047695,0.010557,0.019015,0.009950,-113.890249,-0.310030,-0.004224,0.000608
0.185000,0.006568,0.046099,0.010643,0.015155,0.009982,-116.219697,-0.338887,-0.004076,0.000661
0.190000,0.006794,0.044358,0.010710,0.011297,0.009998,-118.120038,-0.366097,-0.003916,0.000712
0.195000,0.007011,0.042480,0.010757,0.007447,0.009998,-119.597500,-0.391642,-0.003746,0.000759
0.200000,0.007218,0.040473,0.010784,0.003612,0.009980,-120.661544,-0.415528,-0.003566,0.000804
0.205000,0.007415,0.038346,0.010793,-0.000206,0.009946,-121.323822,-0.437775,-0.003377,0.000846
0.210000,0.007602,0.036107,0.010782,-0.004003,0.009896,-121.597272,-0.458413,-0.003180,0.000886
0.215000,0.007776,0.033764,0.010752,-0.007776,0.009829,-121.495387,-0.477476,-0.002976,0.000923
0.220000,0.007939,0.031325,0.010703,-0.011522,0.009745,-121.031699,-0.494997,-0.002764,0.000958
0.225000,0.008089,0.028798,0.010635,-0.015237,0.009646,-120.219445,-0.511006,-0.002546,0.000990
0.230000,0.008227,0.026190,0.010549,-0.018917,0.009530,-119.071403,-0.525530,-0.002322,0.001019
0.235000,0.008351,0.023510,0.010444,-0.022556,0.009398,-117.599863,-0.538593,-0.002093,0.001046
0.240000,0.008462,0.020763,0.010321,-0.026150,0.009251,-115.816681,-0.550213,-0.001859,0.001070
0.245000,0.008559,0.017959,0.010179,-0.029691,0.009088,-113.733386,-0.560408,-0.001621,0.001091
0.250000,0.008641,0.015103,0.010021,-0.033175,0.008910,-111.361320,-0.569193,-0.001379,0.001111
0.255000,0.008710,0.012203,0.009844,-0.036595,0.008717,-108.711760,-0.576583,-0.001135,0.001127
0.260000,0.008763,0.009266,0.009651,-0.039945,0.008510,-105.796030,-0.582595,-0.000888,0.001141
0.265000,0.008802,0.006300,0.009441,-0.043219,0.008288,-102.625585,-0.587244,-0.000638,0.001152
0.270000,0.008826,0.003310,0.009214,-0.046413,0.008053,-99.212055,-0.590549,-0.000388,0.001161
0.275000,0.008836,0.000304,0.008972,-0.049519,0.007804,-95.567265,-0.592532,-0.000137,0.001168
0.280000,0.008830,-0.002711,0.008714,-0.052534,0.007543,-91.703230,-0.593214,0.000115,0.001172
0.285000,0.008808,-0.005729,0.008442,-0.055453,0.007268,-87.632125,-0.592620,0.000367,0.001174
0.290000,0.008772,-0.008744,0.008155,-0.058271,0.006982,-83.366248,-0.590776,0.000618,0.001173
0.295000,0.008721,-0.011749,0.007854,-0.060984,0.006684,-78.917972,-0.587711,0.000868,0.001170
0.300000,0.008655,-0.014738,0.007539,-0.063588,0.006374,-74.299703,-0.583452,0.001116,0.001165
0.305000,0.008574,-0.017704,0.007212,-0.066079,0.006054,-69.523830,-0.578030,0.001362,0.001157
0.310000,0.008478,-0.020643,0.006872,-0.068454,0.005724,-64.602694,-0.571475,0.001606,0.001148
0.315000,0.008368,-0.023548,0.006521,-0.070709,0.005385,-59.548558,-0.563818,0.001847,0.001136
0.320000,0.008243,-0.026414,0.006158,-0.072840,0.005036,-54.373580,-0.555091,0.002084,0.001122
0.325000,0.008104,-0.029235,0.005786,-0.074846,0.004679,-49.089801,-0.545326,0.002318,0.001106
0.330000,0.007951,-0.032005,0.005403,-0.076722,0.004315,-43.709135,-0.534554,0.002548,0.001088
0.335000,0.007784,-0.034721,0.005011,-0.078466,0.003943,-38.243363,-0.522808,0.002773,0.001069
0.340000,0.007604,-0.037377,0.004611,-0.080076,0.003564,-32.704133,-0.510120,0.002992,0.001047
0.345000,0.007410,-0.039968,0.004203,-0.081550,0.003180,-27.102958,-0.496523,0.003207,0.001023
0.350000,0.007204,-0.042490,0.003788,-0.082884,0.002790,-21.451216,-0.482051,0.003416,0.000998
0.355000,0.006985,-0.044937,0.003367,-0.084077,0.002396,-15.760150,-0.466738,0.003619,0.000971
0.360000,0.006755,-0.047307,0.002940,-0.085128,0.001997,-10.040869,-0.450617,0.003815,0.000943
0.365000,0.006513,-0.049594,0.002508,-0.086034,0.001595,-4.304344,-0.433724,0.004005,0.000912
0.370000,0.006259,-0.051796,0.002072,-0.086795,0.001191,1.438596,-0.416094,0.004188,0.000881
0.375000,0.005995,-0.053907,0.001632,-0.087410,0.000785,7.177264,-0.397761,0.004363,0.000847
0.380000,0.005720,-0.055925,0.001190,-0.087877,0.000377,12.901128,-0.378764,0.004531,0.000813
0.385000,0.005436,-0.057846,0.000745,-0.088196,-0.000031,18.599808,-0.359137,0.004691,0.000777
0.390000,0.005142,-0.059668,0.000300,-0.088367,-0.000440,24.263094,-0.338918,0.004842,0.000739
0.395000,0.004840,-0.061386,-0.000146,-0.088390,-0.000847,29.880944,-0.318146,0.004986,0.000701
0.400000,0.004529,-0.062998,-0.000592,-0.088264,-0.001253,35.443498,-0.296857,0.005121,0.000661
0.405000,0.004210,-0.064502,-0.001037,-0.087990,-0.001657,40.941081,-0.275089,0.005247,0.000621
0.410000,0.003884,-0.065896,-0.001480,-0.087569,-0.002059,46.364216,-0.252883,0.005363,0.000579
0.415000,0.003551,-0.067176,-0.001920,-0.087002,-0.002456,51.703628,-0.230276,0.005471,0.000536
0.420000,0.003212,-0.068341,-0.002357,-0.086289,-0.002850,56.950255,-0.207308,0.005570,0.000493
0.425000,0.002868,-0.069389,-0.002791,-0.085432,-0.003239,62.095252,-0.184018,0.005659,0.000449
0.430000,0.002519,-0.070319,-0.003219,-0.084432,-0.003623,67.130003,-0.160447,0.005738,0.000404
0.435000,0.002165,-0.071129,-0.003642,-0.083292,-0.004000,72.046125,-0.136633,0.005807,0.000358
0.440000,0.001808,-0.071817,-0.004059,-0.082012,-0.004371,76.835478,-0.112617,0.005867,0.000312
0.445000,0.001447,-0.072384,-0.004469,-0.080596,-0.004735,81.490170,-0.088440,0.005917,0.000265
0.450000,0.001084,-0.072827,-0.004872,-0.079045,-0.005090,86.002570,-0.064141,0.005956,0.000218
0.455000,0.000719,-0.073147,-0.005267,-0.077363,-0.005438,90.365310,-0.039761,0.005986,0.000171
0.460000,0.000353,-0.073343,-0.005652,-0.075552,-0.005776,94.571295,-0.015341,0.006006,0.000123
0.465000,-0.000014,-0.073415,-0.006029,-0.073615,-0.006104,98.613711,0.009081,0.006015,0.000075
0.470000,-0.000381,-0.073362,-0.006395,-0.071556,-0.006423,102.486033,0.033463,0.006014,0.000028
0.475000,-0.000747,-0.073185,-0.006750,-0.069377,-0.006730,106.182031,0.057766,0.006003,-0.000020
0.480000,-0.001112,-0.072885,-0.007095,-0.067083,-0.007026,109.695778,0.081949,0.005982,-0.000068
0.485000,-0.001476,-0.072462,-0.007427,-0.064678,-0.007311,113.021658,0.105974,0.005951,-0.000116
0.490000,-0.001837,-0.071917,-0.007747,-0.062164,-0.007584,116.154371,0.129801,0.005910,-0.000163
0.495000,-0.002195,-0.071250,-0.008054,-0.059548,-0.007843,119.088941,0.153392,0.005859,-0.000210
0.500000,-0.002549,-0.070464,-0.008347,-0.056832,-0.008090,121.820725,0.176708,0.005798,-0.000257
0.505000,-0.002899,-0.069559,-0.008627,-0.054022,-0.008323,124.345412,0.199710,0.005728,-0.000303
0.510000,-0.003244,-0.068537,-0.008892,-0.051123,-0.008543,126.659037,0.222363,0.005647,-0.000349
0.515000,-0.003584,-0.067401,-0.009142,-0.048138,-0.008748,128.757981,0.244628,0.005558,-0.000394
0.520000,-0.003918,-0.066151,-0.009377,-0.045073,-0.008938,130.638976,0.266470,0.005459,-0.000439
0.525000,-0.004246,-0.064790,-0.009596,-0.041934,-0.009114,132.299114,0.287853,0.005351,-0.000482
0.530000,-0.004566,-0.063320,-0.009800,-0.038725,-0.009274,133.735845,0.308742,0.005234,-0.000525
0.535000,-0.004879,-0.061744,-0.009987,-0.035451,-0.009419,134.946987,0.329105,0.005108,-0.000567
0.540000,-0.005183,-0.060065,-0.010157,-0.032119,-0.009549,135.930723,0.348906,0.004974,-0.000608
0.545000,-0.005479,-0.058285,-0.010310,-0.028733,-0.009662,136.685609,0.368115,0.004831,-0.000648
0.550000,-0.005766,-0.056408,-0.010446,-0.025300,-0.009759,137.210570,0.386701,0.004681,-0.000687
0.555000,-0.006043,-0.054436,-0.010565,-0.021824,-0.009840,137.504910,0.404632,0.004522,-0.000725
0.560000,-0.006310,-0.052373,-0.010666,-0.018313,-0.009905,137.568305,0.421879,0.004356,-0.000761
0.565000,-0.006567,-0.050223,-0.010749,-0.014771,-0.009953,137.400808,0.438416,0.004183,-0.000797
0.570000,-0.006812,-0.047989,-0.010815,-0.011205,-0.009984,137.002847,0.454215,0.004002,-0.000831
0.575000,-0.007046,-0.045675,-0.010862,-0.007620,-0.009999,136.375227,0.469249,0.003816,-0.000863
0.580000,-0.007269,-0.043284,-0.010891,-0.004023,-0.009997,135.519125,0.483496,0.003622,-0.000894
0.585000,-0.007479,-0.040821,-0.010902,-0.000419,-0.009978,134.436091,0.496931,0.003423,-0.000924
0.590000,-0.007677,-0.038290,-0.010895,0.003185,-0.009943,133.128045,0.509532,0.003218,-0.000952
0.595000,-0.007862,-0.035695,-0.010869,0.006784,-0.009891,131.597274,0.521280,0.003007,-0.000978
0.600000,-0.008034,-0.033040,-0.010826,0.010371,-0.009823,129.846430,0.532155,0.002792,-0.001003
0.605000,-0.008192,-0.030331,-0.010764,0.013941,-0.009738,127.878520,0.542139,0.002572,-0.001026
0.610000,-0.008337,-0.027571,-0.010685,0.017488,-0.009637,125.696910,0.551216,0.002348,-0.001047
0.615000,-0.008468,-0.024765,-0.010587,0.021005,-0.009520,123.305313,0.559372,0.002119,-0.001067
0.620000,-0.008585,-0.021917,-0.010472,0.024487,-0.009387,120.707787,0.566592,0.001888,-0.001085
0.625000,-0.008687,-0.019033,-0.010340,0.027928,-0.009239,117.908726,0.572867,0.001653,-0.001101
0.630000,-0.008775,-0.016118,-0.010190,0.031323,-0.009075,114.912854,0.578184,0.001415,-0.001115
0.635000,-0.008848,-0.013175,-0.010023,0.034665,-0.008896,111.725218,0.582536,0.001175,-0.001127
0.640000,-0.008907,-0.010211,-0.009840,0.037950,-0.008702,108.351180,0.585915,0.000933,-0.001138
0.645000,-0.008950,-0.007230,-0.009640,0.041171,-0.008493,104.796406,0.588317,0.000690,-0.001146
0.650000,-0.008979,-0.004237,-0.009424,0.044323,-0.008271,101.066861,0.589737,0.000445,-0.001153
0.655000,-0.008993,-0.001237,-0.009192,0.047401,-0.008034,97.168796,0.590174,0.000200,-0.001158
0.660000,-0.008991,0.001765,-0.008945,0.050401,-0.007785,93.108740,0.589625,-0.000046,-0.001161
0.665000,-0.008975,0.004764,-0.008683,0.053316,-0.007522,88.893487,0.588094,-0.000292,-0.001162
0.670000,-0.008944,0.007755,-0.008407,0.056142,-0.007247,84.530086,0.585582,-0.000537,-0.001160
0.675000,-0.008898,0.010733,-0.008117,0.058875,-0.006959,80.025833,0.582094,-0.000781,-0.001157
0.680000,-0.008837,0.013693,-0.007813,0.061509,-0.006660,75.388253,0.577635,-0.001024,-0.001152
0.685000,-0.008761,0.016630,-0.007496,0.064041,-0.006350,70.625092,0.572213,-0.001265,-0.001146
0.690000,-0.008670,0.019540,-0.007166,0.066466,-0.006029,65.744302,0.565837,-0.001504,-0.001137
0.695000,-0.008566,0.022416,-0.006825,0.068780,-0.005699,60.754030,0.558518,-0.001741,-0.001126
0.700000,-0.008446,0.025255,-0.006472,0.070979,-0.005358,55.662605,0.550269,-0.001975,-0.001114
0.705000,-0.008313,0.028052,-0.006108,0.073060,-0.005009,50.478519,0.541102,-0.002205,-0.001099
0.710000,-0.008166,0.030802,-0.005735,0.075019,-0.004652,45.210421,0.531033,-0.002432,-0.001083
0.715000,-0.008005,0.033501,-0.005351,0.076853,-0.004286,39.867097,0.520080,-0.002654,-0.001065
0.720000,-0.007831,0.036144,-0.004959,0.078559,-0.003914,34.457456,0.508260,-0.002872,-0.001045
0.725000,-0.007644,0.038726,-0.004558,0.080134,-0.003535,28.990519,0.495593,-0.003086,-0.001024
0.730000,-0.007444,0.041244,-0.004150,0.081575,-0.003150,23.475401,0.482100,-0.003294,-0.001000
0.735000,-0.007232,0.043693,-0.003735,0.082880,-0.002760,17.921295,0.467803,-0.003497,-0.000975
0.740000,-0.007008,0.046068,-0.003314,0.084047,-0.002365,12.337460,0.452727,-0.003694,-0.000949
0.745000,-0.006771,0.048368,-0.002887,0.085074,-0.001966,6.733203,0.436897,-0.003884,-0.000921
0.750000,-0.006524,0.050586,-0.002455,0.085959,-0.001564,1.117866,0.420339,-0.004069,-0.000891
0.755000,-0.006266,0.052720,-0.002020,0.086700,-0.001160,-4.499193,0.403080,-0.004246,-0.000860
0.760000,-0.005997,0.054766,-0.001581,0.087297,-0.000753,-10.108612,0.385150,-0.004416,-0.000827
0.765000,-0.005718,0.056720,-0.001139,0.087749,-0.000346,-15.701042,0.366578,-0.004580,-0.000793
0.770000,-0.005430,0.058580,-0.000695,0.088054,0.000063,-21.267162,0.347395,-0.004735,-0.000758
0.775000,-0.005133,0.060343,-0.000250,0.088212,0.000471,-26.797696,0.327634,-0.004882,-0.000722
0.780000,-0.004827,0.062004,0.000195,0.088223,0.000879,-32.283428,0.307326,-0.005022,-0.000684
0.785000,-0.004513,0.063562,0.000640,0.088087,0.001284,-37.715214,0.286506,-0.005153,-0.000645
0.790000,-0.004192,0.065014,0.001083,0.087804,0.001688,-43.084003,0.265209,-0.005275,-0.000605
0.795000,-0.003863,0.066358,0.001525,0.087375,0.002089,-48.380847,0.243471,-0.005389,-0.000564
0.800000,-0.003528,0.067591,0.001965,0.086800,0.002487,-53.596918,0.221326,-0.005493,-0.000522
0.805000,-0.003188,0.068711,0.002401,0.086080,0.002880,-58.723524,0.198813,-0.005589,-0.000479
0.810000,-0.002842,0.069717,0.002833,0.085216,0.003269,-63.752120,0.175969,-0.005675,-0.000436
0.815000,-0.002491,0.070606,0.003261,0.084211,0.003652,-68.674326,0.152831,-0.005751,-0.000391
0.820000,-0.002136,0.071378,0.003683,0.083065,0.004029,-73.481937,0.129439,-0.005818,-0.000346
0.825000,-0.001777,0.072030,0.004099,0.081781,0.004399,-78.166943,0.105831,-0.005876,-0.000301
0.830000,-0.001416,0.072563,0.004508,0.080360,0.004762,-82.721533,0.082048,-0.005923,-0.000255
0.835000,-0.001052,0.072974,0.004909,0.078805,0.005117,-87.138117,0.058127,-0.005961,-0.000208
0.840000,-0.000686,0.073264,0.005302,0.077119,0.005464,-91.409334,0.034110,-0.005989,-0.000162
