t,DeltaT_ref,DeltaT,T_max,T_min,T_avg,flow_pattern,phi_b_kWm3,soc,n_switches,iae_cumulative
60.0,0.000,0.1591,300.0120,299.8529,299.9570,J,51.16,0.9167,0,3.38
61.0,0.000,0.1640,300.0318,299.8678,299.9751,J,51.16,0.9153,0,3.54
62.0,0.000,0.1690,300.0516,299.8826,299.9931,J,51.16,0.9139,0,3.71
63.0,0.000,0.1740,300.0713,299.8974,300.0111,J,51.16,0.9125,0,3.88
64.0,0.000,0.1790,300.0910,299.9120,300.0290,J,51.16,0.9111,0,4.06
65.0,0.000,0.1840,300.1106,299.9266,300.0469,J,51.16,0.9097,0,4.25
66.0,0.000,0.1891,300.1302,299.9411,300.0646,J,51.16,0.9083,0,4.43
67.0,0.000,0.1942,300.1497,299.9555,300.0823,J,51.16,0.9069,0,4.63
68.0,0.000,0.1994,300.1692,299.9698,300.1000,J,51.16,0.9056,0,4.83
69.0,0.000,0.2045,300.1886,299.9841,300.1176,J,51.16,0.9042,0,5.03
70.0,0.000,0.2097,300.2080,299.9983,300.1351,J,51.16,0.9028,0,5.24
71.0,0.000,0.2150,300.2273,300.0123,300.1525,J,51.16,0.9014,0,5.46
72.0,0.000,0.2202,300.2466,300.0263,300.1699,J,51.16,0.9000,0,5.68
73.0,0.000,0.2255,300.2658,300.0403,300.1873,J,51.16,0.8986,0,5.90
74.0,0.000,0.2308,300.2849,300.0541,300.2045,J,51.16,0.8972,0,6.13
75.0,0.000,0.2362,300.3040,300.0679,300.2217,J,51.16,0.8958,0,6.37
76.0,0.000,0.2415,300.3231,300.0816,300.2389,J,51.16,0.8944,0,6.61
77.0,0.000,0.2469,300.3421,300.0952,300.2559,J,51.16,0.8931,0,6.86
78.0,0.000,0.2524,300.3611,300.1087,300.2729,J,51.16,0.8917,0,7.11
79.0,0.000,0.2578,300.3800,300.1221,300.2899,J,51.16,0.8903,0,7.37
80.0,0.000,0.2633,300.3988,300.1355,300.3068,J,51.16,0.8889,0,7.63
81.0,0.000,0.2688,300.4176,300.1488,300.3236,J,51.16,0.8875,0,7.90
