t,DeltaT_ref,DeltaT,T_max,T_min,T_avg,flow_pattern,phi_b_kWm3,soc,n_switches,iae_cumulative
0.0,0.000,0.0000,298.1500,298.1500,298.1500,J,69.26,1.0000,0,0.00
1.0,0.000,0.0000,298.1836,298.1836,298.1836,J,69.22,0.9986,0,0.00
2.0,0.000,0.0001,298.2170,298.2169,298.2170,J,69.18,0.9972,0,0.00
3.0,0.000,0.0003,298.2504,298.2501,298.2503,J,69.14,0.9958,0,0.00
4.0,0.000,0.0006,298.2837,298.2830,298.2834,J,69.10,0.9944,0,0.00
5.0,0.000,0.0011,298.3168,298.3157,298.3164,J,69.06,0.9931,0,0.00
6.0,0.000,0.0016,298.3498,298.3482,298.3493,J,69.02,0.9917,0,0.00
7.0,0.000,0.0022,298.3828,298.3806,298.3820,J,68.98,0.9903,0,0.01
8.0,0.000,0.0029,298.4156,298.4126,298.4146,J,68.95,0.9889,0,0.01
9.0,0.000,0.0038,298.4483,298.4445,298.4470,J,68.91,0.9875,0,0.01
10.0,0.000,0.0047,298.4809,298.4762,298.4793,J,68.87,0.9861,0,0.02
11.0,0.000,0.0057,298.5134,298.5077,298.5115,J,68.83,0.9847,0,0.02
12.0,0.000,0.0068,298.5458,298.5390,298.5435,J,68.80,0.9833,0,0.03
13.0,0.000,0.0080,298.5781,298.5701,298.5754,J,68.76,0.9819,0,0.04
14.0,0.000,0.0093,298.6103,298.6010,298.6071,J,68.72,0.9806,0,0.05
15.0,0.000,0.0108,298.6424,298.6316,298.6388,J,68.69,0.9792,0,0.06
16.0,0.000,0.0122,298.6744,298.6621,298.6702,J,68.65,0.9778,0,0.07
17.0,0.000,0.0138,298.7063,298.6924,298.7016,J,68.62,0.9764,0,0.08
18.0,0.000,0.0155,298.7380,298.7225,298.7328,J,68.58,0.9750,0,0.10
19.0,0.000,0.0173,298.7697,298.7524,298.7639,J,68.55,0.9736,0,0.12
20.0,0.000,0.0191,298.8013,298.7822,298.7948,J,68.51,0.9722,0,0.14
