t,theta_ts,theta_dot_ts,u_ts,theta_base,u_base,w1,w2
0.32000,-1.62499,-12.21521,0.08950,-1.65024,15.00000,0.00000,0.00597
0.32500,-1.68595,-12.19040,0.00307,-1.68142,15.00000,0.00000,0.00020
0.33000,-1.74678,-12.16593,0.00009,-1.69778,15.00000,0.00000,0.00001
0.33500,-1.80748,-12.14085,0.00000,-1.69946,15.00000,0.00000,0.00000
0.34000,-1.86805,-12.11481,0.00000,-1.68661,15.00000,0.00000,0.00000
0.34500,-1.92849,-12.08746,0.00000,-1.65937,15.00000,0.00000,0.00000
0.35000,-1.98878,-12.05847,0.00000,-1.61790,15.00000,0.00000,0.00000
0.35500,-2.04892,-12.02754,0.00000,-1.56233,15.00000,0.00000,0.00000
0.36000,-2.10889,-11.99437,0.00000,-1.49280,15.00000,0.00000,0.00000
0.36500,-2.16869,-11.95866,0.00000,-1.40947,15.00000,0.00000,0.00000
0.37000,-2.22829,-11.92015,0.00000,-1.31244,15.00000,0.00000,0.00000
0.37500,-2.28768,-11.87860,0.00000,-1.20187,15.00000,0.00000,0.00000
0.38000,-2.34685,-11.83377,0.00000,-1.07785,15.00000,0.00000,0.00000
0.38500,-2.40578,-11.78544,0.00000,-0.94051,15.00000,0.00000,0.00000
0.39000,-2.46444,-11.73343,0.00000,-0.78994,15.00000,0.00000,0.00000
0.39500,-2.52283,-11.67757,0.00000,-0.62622,15.00000,0.00000,0.00000
0.40000,-2.58092,-11.61769,0.00000,-0.44943,15.00000,0.00000,0.00000
0.40500,-2.63869,-11.55368,0.00000,-0.25962,15.00000,0.00000,0.00000
0.41000,-2.69612,-11.48542,0.00000,-0.05683,15.00000,0.00000,0.00000
0.41500,-2.75318,-11.41284,0.00000,0.15891,15.00000,0.00000,0.00000
0.42000,-2.80986,-11.33586,0.00000,0.38756,15.00000,0.00000,0.00000
0.42500,-2.86613,-11.25445,0.00000,0.62819,14.07651,0.00000,0.00000
0.43000,-2.92197,-11.16859,0.00000,0.85170,-15.00000,0.00000,0.00000
0.43500,-2.97737,-11.07828,0.00000,1.05834,-15.00000,0.00000,0.00000
0.44000,-3.03228,-10.98353,0.00000,1.24835,-15.00000,0.00000,0.00000
0.44500,-3.08671,-10.88440,0.00000,1.42192,-15.00000,0.00000,0.00000
0.45000,-3.14061,-10.78094,0.00000,1.57924,-15.00000,0.00000,0.00000
0.45500,-3.19398,-10.67323,0.00000,1.72047,-15.00000,0.00000,0.00000
0.46000,-3.24678,-10.56136,0.00000,1.84578,-15.00000,0.00000,0.00000
0.46500,-3.29901,-10.44544,0.00000,1.95531,-15.00000,0.00000,0.00000
0.47000,-3.35064,-10.32561,0.00000,2.04920,-15.00000,0.00000,0.00000
0.47500,-3.40165,-10.20199,0.00000,2.12758,-15.00000,0.00000,0.00000
0.48000,-3.45202,-10.07475,0.00000,2.19060,-15.00000,0.00000,0.00000
0.48500,-3.50174,-9.94404,0.00000,2.23839,-15.00000,0.00000,0.00000
0.49000,-3.55079,-9.81002,0.00000,2.27108,-15.00000,0.00000,0.00000
0.49500,-3.59916,-9.67289,0.00000,2.28882,-15.00000,0.00000,0.00000
0.50000,-3.64682,-9.53283,0.00000,2.29175,-15.00000,0.00000,0.00000
0.50500,-3.69377,-9.39002,0.00000,2.28003,-15.00000,0.00000,0.00000
0.51000,-3.73999,-9.24466,0.00000,2.25379,-15.00000,0.00000,0.00000
0.51500,-3.78548,-9.09695,0.00000,2.21319,-15.00000,0.00000,0.00000
0.52000,-3.83021,-8.94709,0.00000,2.15840,-15.00000,0.00000,0.00000
0.52500,-3.87419,-8.79528,0.00000,2.08956,-15.00000,0.00000,0.00000
0.53000,-3.91740,-8.64172,0.00000,2.00683,-15.00000,0.00000,0.00000
0.53500,-3.95983,-8.48660,0.00000,1.91038,-15.00000,0.00000,0.00000
0.54000,-4.00148,-8.33013,0.00000,1.80035,-15.00000,0.00000,0.00000
0.54500,-4.04235,-8.17249,0.00000,1.67690,-15.00000,0.00000,0.00000
0.55000,-4.08242,-8.01387,0.00000,1.54018,-15.00000,0.00000,0.00000
0.55500,-4.12169,-7.85447,0.00000,1.39031,-15.00000,0.00000,0.00000
0.56000,-4.16016,-7.69444,0.00000,1.22742,-15.00000,0.00000,0.00000
0.56500,-4.19783,-7.53398,0.00000,1.05162,-15.00000,0.00000,0.00000
0.57000,-4.23470,-7.37325,0.00000,0.86301,-15.00000,0.00000,0.00000
0.57500,-4.27076,-7.21239,0.00000,0.66165,-15.00000,0.00000,0.00000
0.58000,-4.30602,-7.05158,0.00000,0.44761,-15.00000,0.00000,0.00000
0.58500,-4.34047,-6.89096,0.00000,0.22093,-15.00000,0.00000,0.00000
0.59000,-4.37412,-6.73065,0.00000,-0.01838,-15.00000,0.00000,0.00000
0.59500,-4.40698,-6.57081,0.00000,-0.27031,-15.00000,0.00000,0.00000
0.60000,-4.43904,-6.41154,0.00000,-0.53485,-15.00000,0.00000,0.00000
0.60500,-4.47030,-6.25296,0.00000,-0.79757,-0.57331,0.00000,0.00000
0.61000,-4.50078,-6.09520,0.00000,-1.04301,15.00000,0.00000,0.00000
0.61500,-4.53047,-5.93833,0.00000,-1.27142,15.00000,0.00000,0.00000
0.62000,-4.55938,-5.78247,0.00000,-1.48302,15.00000,0.00000,0.00000
0.62500,-4.58752,-5.62769,0.00000,-1.67799,15.00000,0.00000,0.00000
0.63000,-4.61489,-5.47408,0.00000,-1.85650,15.00000,0.00000,0.00000
0.63500,-4.64150,-5.32170,0.00000,-2.01869,15.00000,0.00000,0.00000
0.64000,-4.66735,-5.17063,0.00000,-2.16470,15.00000,0.00000,0.00000
0.64500,-4.69246,-5.02092,0.00000,-2.29466,15.00000,0.00000,0.00000
0.65000,-4.71682,-4.87263,0.00000,-2.40868,15.00000,0.00000,0.00000
0.65500,-4.74045,-4.72581,0.00000,-2.50690,15.00000,0.00000,0.00000
0.66000,-4.76335,-4.58049,0.00000,-2.58942,15.00000,0.00000,0.00000
0.66500,-4.78553,-4.43671,0.00000,-2.65638,15.00000,0.00000,0.00000
0.67000,-4.80701,-4.29451,0.00000,-2.70789,15.00000,0.00000,0.00000
0.67500,-4.82778,-4.15390,0.00000,-2.74410,15.00000,0.00000,0.00000
0.68000,-4.84785,-4.01491,0.00000,-2.76513,15.00000,0.00000,0.00000
0.68500,-4.86724,-3.87756,0.00000,-2.77113,15.00000,0.00000,0.00000
0.69000,-4.88595,-3.74186,0.00000,-2.76225,15.00000,0.00000,0.00000
0.69500,-4.90399,-3.60782,0.00000,-2.73865,15.00000,0.00000,0.00000
0.70000,-4.92136,-3.47543,0.00000,-2.70046,15.00000,0.00000,0.00000
0.70500,-4.93809,-3.34471,0.00000,-2.64788,15.00000,0.00000,0.00000
0.71000,-4.95417,-3.21565,0.00000,-2.58104,15.00000,0.00000,0.00000
0.71500,-4.96961,-3.08825,0.00000,-2.50014,15.00000,0.00000,0.00000
0.72000,-4.98442,-2.96250,0.00000,-2.40534,15.00000,0.00000,0.00000
0.72500,-4.99861,-2.83838,0.00000,-2.29682,15.00000,0.00000,0.00000
0.73000,-5.01219,-2.71589,0.00000,-2.17475,15.00000,0.00000,0.00000
0.73500,-5.02517,-2.59500,0.00000,-2.03931,15.00000,0.00000,0.00000
0.74000,-5.03754,-2.47571,0.00000,-1.89065,15.00000,0.00000,0.00000
0.74500,-5.04933,-2.35799,0.00000,-1.72895,15.00000,0.00000,0.00000
0.75000,-5.06054,-2.24183,0.00000,-1.55435,15.00000,0.00000,0.00000
0.75500,-5.07118,-2.12720,0.00000,-1.36699,15.00000,0.00000,0.00000
0.76000,-5.08125,-2.01407,0.00000,-1.16698,15.00000,0.00000,0.00000
0.76500,-5.09076,-1.90243,0.00000,-0.95442,15.00000,0.00000,0.00000
0.77000,-5.09972,-1.79225,0.00000,-0.72939,15.00000,0.00000,0.00000
0.77500,-5.10814,-1.68349,0.00000,-0.49193,15.00000,0.00000,0.00000
0.78000,-5.11602,-1.57614,0.00000,-0.24209,15.00000,0.00000,0.00000
0.78500,-5.12337,-1.47016,0.00000,0.02015,15.00000,0.00000,0.00000
0.79000,-5.13020,-1.36553,0.00000,0.29477,15.00000,0.00000,0.00000
0.79500,-5.13651,-1.26221,0.00000,0.58179,15.00000,0.00000,0.00000
0.80000,-5.14231,-1.16018,0.00000,0.86828,2.07438,0.00000,0.00000
0.80500,-5.14761,-1.05941,0.00000,1.13728,-15.00000,0.00000,0.00000
0.81000,-5.15241,-0.95986,0.00000,1.38903,-15.00000,0.00000,0.00000
0.81500,-5.15672,-0.86150,0.00000,1.62375,-15.00000,0.00000,0.00000
0.82000,-5.16054,-0.76431,0.00000,1.84161,-15.00000,0.00000,0.00000
0.82500,-5.16388,-0.66826,0.00000,2.04277,-15.00000,0.00000,0.00000
0.83000,-5.16674,-0.57330,0.00000,2.22735,-15.00000,0.00000,0.00000
0.83500,-5.16914,-0.47942,0.00000,2.39548,-15.00000,0.00000,0.00000
0.84000,-5.17107,-0.38659,0.00000,2.54725,-15.00000,0.00000,0.00000
0.84500,-5.17255,-0.29476,0.00000,2.68279,-15.00000,0.00000,0.00000
0.85000,-5.17357,-0.20392,0.00000,2.80218,-15.00000,0.00000,0.00000
0.85500,-5.17414,-0.11403,0.00000,2.90554,-15.00000,0.00000,0.00000
0.86000,-5.17426,-0.02506,0.00000,2.99299,-15.00000,0.00000,0.00000
0.86500,-5.17395,0.06301,0.00000,3.06463,-15.00000,0.00000,0.00000
0.87000,-5.17320,0.15022,0.00000,3.12060,-15.00000,0.00000,0.00000
0.87500,-5.17201,0.23658,0.00000,3.16101,-15.00000,0.00000,0.00000
0.88000,-5.17040,0.32213,0.00000,3.18602,-15.00000,0.00000,0.00000
0.88500,-5.16837,0.40690,0.00000,3.19575,-15.00000,0.00000,0.00000
