t,v_in,v_ref,v_out,i_L,d,mode,error
0.00126000,10.00000000,8.00000000,3.61353788,0.59014973,0.27918157,0,4.38646212
0.00128000,10.00000000,8.00000000,3.59824536,0.26440160,0.28196711,0,4.40175464
0.00130000,10.00000000,8.00000000,3.57952645,0.00000000,0.28479272,0,4.42047355
0.00132000,10.00000000,8.00000000,3.55808786,0.00000000,0.28765346,0,4.44191214
0.00134000,10.00000000,8.00000000,3.53687891,0.00000000,0.29051164,0,4.46312109
0.00136000,10.00000000,8.00000000,3.51589778,0.00000000,0.29338044,0,4.48410222
0.00138000,10.00000000,8.00000000,3.49514293,0.00000000,0.29625972,0,4.50485707
0.00140000,10.00000000,8.00000000,3.47461284,0.00000000,0.29914936,0,4.52538716
0.00142000,10.00000000,8.00000000,3.45430600,0.00000000,0.30204924,0,4.54569400
0.00144000,10.00000000,8.00000000,3.43422090,0.00000000,0.30495923,0,4.56577910
0.00146000,10.00000000,8.00000000,3.41435606,0.00000000,0.30787921,0,4.58564394
0.00148000,10.00000000,8.00000000,3.39470998,0.00000000,0.31080478,0,4.60529002
0.00150000,10.00000000,8.00000000,3.37528109,0.00000000,0.31373864,0,4.62471891
0.00152000,10.00000000,8.00000000,3.35606789,0.00000000,0.31668224,0,4.64393211
0.00154000,10.00000000,8.00000000,3.33706892,0.00000000,0.31963547,0,4.66293108
0.00156000,10.00000000,8.00000000,3.31828274,0.00000000,0.32259821,0,4.68171726
0.00158000,10.00000000,8.00000000,3.29970791,0.00000000,0.32557033,0,4.70029209
0.00160000,10.00000000,8.00000000,3.28134300,0.00000000,0.32855172,0,4.71865700
0.00162000,10.00000000,8.00000000,3.26318658,0.00530631,0.33154227,0,4.73681342
0.00164000,10.00000000,8.00000000,3.24529600,0.02979125,0.33454220,0,4.75470400
0.00166000,10.00000000,8.00000000,3.22788174,0.07334384,0.33755107,0,4.77211826
0.00168000,10.00000000,8.00000000,3.21115144,0.13576771,0.34056194,0,4.78884856
0.00170000,10.00000000,8.00000000,3.19530877,0.21675633,0.34357238,0,4.80469123
0.00172000,10.00000000,8.00000000,3.18055241,0.31591307,0.34657995,0,4.81944759
0.00174000,10.00000000,8.00000000,3.16707501,0.43275315,0.34958211,0,4.83292499
0.00176000,10.00000000,8.00000000,3.15506234,0.56670592,0.35257628,0,4.84493766
0.00178000,10.00000000,8.00000000,3.14469234,0.71711771,0.35555852,0,4.85530766
0.00180000,10.00000000,8.00000000,3.13613423,0.88324955,0.35852422,0,4.86386577
0.00182000,10.00000000,8.00000000,3.12954767,1.06427829,0.36147440,0,4.87045233
0.00184000,10.00000000,8.00000000,3.12508196,1.25932300,0.36440648,0,4.87491804
0.00186000,10.00000000,8.00000000,3.12287543,1.46743489,0.36731790,0,4.87712457
0.00188000,10.00000000,8.00000000,3.12305481,1.68760191,0.37020035,0,4.87694519
