t,v_in,v_ref,v_out,i_L,d,mode,error
0.00126000,10.00000000,8.00000000,3.83717867,0.00000000,0.28594146,0,4.16282133
0.00128000,10.00000000,8.00000000,3.81376788,0.00000000,0.28882308,0,4.18623212
0.00130000,10.00000000,8.00000000,3.79060250,0.00000000,0.29171453,0,4.20939750
0.00132000,10.00000000,8.00000000,3.76768083,0.00000000,0.29461569,0,4.23231917
0.00134000,10.00000000,8.00000000,3.74500121,0.00000000,0.29752645,0,4.25499879
0.00136000,10.00000000,8.00000000,3.72256197,0.00000000,0.30044670,0,4.27743803
0.00138000,10.00000000,8.00000000,3.70036147,0.00000000,0.30337631,0,4.29963853
0.00140000,10.00000000,8.00000000,3.67839805,0.00000000,0.30631518,0,4.32160195
0.00142000,10.00000000,8.00000000,3.65667008,0.00000000,0.30926318,0,4.34332992
0.00144000,10.00000000,8.00000000,3.63517594,0.00000000,0.31222021,0,4.36482406
0.00146000,10.00000000,8.00000000,3.61391402,0.00000000,0.31518615,0,4.38608598
0.00148000,10.00000000,8.00000000,3.59288271,0.00000000,0.31816089,0,4.40711729
0.00150000,10.00000000,8.00000000,3.57208043,0.00000000,0.32114432,0,4.42791957
0.00152000,10.00000000,8.00000000,3.55150558,0.00000000,0.32413633,0,4.44849442
0.00154000,10.00000000,8.00000000,3.53115660,0.00000000,0.32713681,0,4.46884340
0.00156000,10.00000000,8.00000000,3.51103192,0.00000000,0.33014565,0,4.48896808
0.00158000,10.00000000,8.00000000,3.49112999,0.00000000,0.33316275,0,4.50887001
0.00160000,10.00000000,8.00000000,3.47144926,0.00000000,0.33618800,0,4.52855074
0.00162000,10.00000000,8.00000000,3.45198820,0.00000000,0.33922129,0,4.54801180
0.00164000,10.00000000,8.00000000,3.43274529,0.00000000,0.34226251,0,4.56725471
0.00166000,10.00000000,8.00000000,3.41371901,0.00000000,0.34531157,0,4.58628099
0.00168000,10.00000000,8.00000000,3.39490785,0.01953161,0.34836835,0,4.60509215
0.00170000,10.00000000,8.00000000,3.37652657,0.05873604,0.35142910,0,4.62347343
0.00172000,10.00000000,8.00000000,3.35878975,0.11741419,0.35448994,0,4.64121025
0.00174000,10.00000000,8.00000000,3.34190801,0.19526636,0.35754693,0,4.65809199
0.00176000,10.00000000,8.00000000,3.32608693,0.29189379,0.36059607,0,4.67391307
0.00178000,10.00000000,8.00000000,3.31152599,0.40680073,0.36363337,0,4.68847401
0.00180000,10.00000000,8.00000000,3.29841755,0.53939703,0.36665483,0,4.70158245
0.00182000,10.00000000,8.00000000,3.28694586,0.68900116,0.36965645,0,4.71305414
0.00184000,10.00000000,8.00000000,3.27728610,0.85484376,0.37263431,0,4.72271390
0.00186000,10.00000000,8.00000000,3.26960349,1.03607159,0.37558453,0,4.73039651
0.00188000,10.00000000,8.00000000,3.26405243,1.23175200,0.37850332,0,4.73594757
0.00190000,10.00000000,8.00000000,3.26077572,1.44087767,0.38138699,0,4.73922428
0.00192000,10.00000000,8.00000000,3.25990382,1.66237190,0.38423199,0,4.74009618
0.00194000,10.00000000,8.00000000,3.26155416,1.89509413,0.38703489,0,4.73844584
0.00196000,10.00000000,8.00000000,3.26583058,2.13784582,0.38979243,0,4.73416942
0.00198000,10.00000000,8.00000000,3.27282275,2.38937671,0.39250153,0,4.72717725
0.00200000,10.00000000,8.00000000,3.28260576,2.64839121,0.39515929,0,4.71739424
0.00202000,10.00000000,8.00000000,3.29523967,2.91355513,0.39776304,0,4.70476033
0.00204000,10.00000000,8.00000000,3.31076929,3.18350258,0.40031032,0,4.68923071
