t,v_in,v_ref,v_out,i_L,d,mode,error
0.00124000,10.00000000,15.00000000,21.47808112,0.00000000,0.04104889,1,-6.47808112
0.00126000,10.00000000,15.00000000,21.33663878,0.00000000,0.03872370,1,-6.33663878
0.00128000,10.00000000,15.00000000,21.19610866,0.00000000,0.03696909,1,-6.19610866
0.00130000,10.00000000,15.00000000,21.05652505,0.00000000,0.03523846,1,-6.05652505
0.00132000,10.00000000,15.00000000,20.91788419,0.00000000,0.03351307,1,-5.91788419
0.00134000,10.00000000,15.00000000,20.78018103,0.00000000,0.03185260,1,-5.78018103
0.00136000,10.00000000,15.00000000,20.64341456,0.00000000,0.03019392,1,-5.64341456
0.00138000,10.00000000,15.00000000,20.50757946,0.00000000,0.02858305,1,-5.50757946
0.00140000,10.00000000,15.00000000,20.37267347,0.00000000,0.02702226,1,-5.37267347
0.00142000,10.00000000,15.00000000,20.23869443,0.00000000,0.02547815,1,-5.23869443
0.00144000,10.00000000,15.00000000,20.10563793,0.00000000,0.02400088,1,-5.10563793
0.00146000,10.00000000,15.00000000,19.97350281,0.00000000,0.02255121,1,-4.97350281
0.00148000,10.00000000,15.00000000,19.84228530,0.00000000,0.02114456,1,-4.84228530
0.00150000,10.00000000,15.00000000,19.71198258,0.00000000,0.01981693,1,-4.71198258
0.00152000,10.00000000,15.00000000,19.58259407,0.00000000,0.01851264,1,-4.58259407
0.00154000,10.00000000,15.00000000,19.45411556,0.00000000,0.01727039,1,-4.45411556
0.00156000,10.00000000,15.00000000,19.32654527,0.00000000,0.01609283,1,-4.32654527
0.00158000,10.00000000,15.00000000,19.19988149,0.00000000,0.01495595,1,-4.19988149
0.00160000,10.00000000,15.00000000,19.07412092,0.00000000,0.01389224,1,-4.07412092
0.00162000,10.00000000,15.00000000,18.94926225,0.00000000,0.01287554,1,-3.94926225
0.00164000,10.00000000,15.00000000,18.82530245,0.00000000,0.01191646,1,-3.82530245
0.00166000,10.00000000,15.00000000,18.70223908,0.00000000,0.01101823,1,-3.70223908
0.00168000,10.00000000,15.00000000,18.58006984,0.00000000,0.01015408,1,-3.58006984
0.00170000,10.00000000,15.00000000,18.45879075,0.00000000,0.00934391,1,-3.45879075
0.00172000,10.00000000,15.00000000,18.33839898,0.00000000,0.00859535,1,-3.33839898
0.00174000,10.00000000,15.00000000,18.21889208,0.00000000,0.00790409,1,-3.21889208
0.00176000,10.00000000,15.00000000,18.10026729,0.00000000,0.00726843,1,-3.10026729
0.00178000,10.00000000,15.00000000,17.98252166,0.00000000,0.00669436,1,-2.98252166
0.00180000,10.00000000,15.00000000,17.86565254,0.00000000,0.00618421,1,-2.86565254
0.00182000,10.00000000,15.00000000,17.74965733,0.00000000,0.00573095,1,-2.74965733
0.00184000,10.00000000,15.00000000,17.63453296,0.00000000,0.00533959,1,-2.63453296
0.00186000,10.00000000,15.00000000,17.52027659,0.00000000,0.00501752,1,-2.52027659
0.00188000,10.00000000,15.00000000,17.40688569,0.00000000,0.00475077,1,-2.40688569
0.00190000,10.00000000,15.00000000,17.29435690,0.00000000,0.00455134,1,-2.29435690
0.00192000,10.00000000,15.00000000,17.18268745,0.00000000,0.00442338,1,-2.18268745
0.00194000,10.00000000,15.00000000,17.07187472,0.00000000,0.00435007,1,-2.07187472
0.00196000,10.00000000,15.00000000,16.96191510,0.00000000,0.00434371,1,-1.96191510
0.00198000,10.00000000,15.00000000,16.85280560,0.00000000,0.00441278,1,-1.85280560
0.00200000,10.00000000,15.00000000,16.74454356,0.00000000,0.00453810,1,-1.74454356
