t,v_in,v_ref,v_out,i_L,d,mode,error
0.00126000,10.00000000,8.00000000,2.12728642,0.96837412,0.16747761,0,5.87271358
0.00128000,10.00000000,8.00000000,2.12522825,0.78771512,0.16925785,0,5.87477175
0.00130000,10.00000000,8.00000000,2.12122523,0.61539279,0.17105058,0,5.87877477
0.00132000,10.00000000,8.00000000,2.11538503,0.45221374,0.17285573,0,5.88461497
0.00134000,10.00000000,8.00000000,2.10782340,0.29893960,0.17467313,0,5.89217660
0.00136000,10.00000000,8.00000000,2.09866363,0.15628359,0.17650256,0,5.90133637
0.00138000,10.00000000,8.00000000,2.08803594,0.02490723,0.17834370,0,5.91196406
0.00140000,10.00000000,8.00000000,2.07607687,0.00000000,0.18019616,0,5.92392313
0.00142000,10.00000000,8.00000000,2.06397581,0.00000000,0.18205309,0,5.93602419
0.00144000,10.00000000,8.00000000,2.05200976,0.00000000,0.18391284,0,5.94799024
0.00146000,10.00000000,8.00000000,2.04017771,0.00000000,0.18577537,0,5.95982229
0.00148000,10.00000000,8.00000000,2.02847870,0.00000000,0.18764065,0,5.97152130
0.00150000,10.00000000,8.00000000,2.01691176,0.00000000,0.18950865,0,5.98308824
0.00152000,10.00000000,8.00000000,2.00547592,0.00000000,0.19137933,0,5.99452408
0.00154000,10.00000000,8.00000000,1.99417022,0.00000000,0.19325266,0,6.00582978
0.00156000,10.00000000,8.00000000,1.98299371,0.00000000,0.19512860,0,6.01700629
0.00158000,10.00000000,8.00000000,1.97194546,0.00000000,0.19700713,0,6.02805454
0.00160000,10.00000000,8.00000000,1.96102452,0.00143707,0.19888820,0,6.03897548
0.00162000,10.00000000,8.00000000,1.95024587,0.01474271,0.20077169,0,6.04975413
0.00164000,10.00000000,8.00000000,1.93973988,0.03984356,0.20265677,0,6.06026012
0.00166000,10.00000000,8.00000000,1.92963506,0.07661112,0.20454255,0,6.07036494
0.00168000,10.00000000,8.00000000,1.92005749,0.12486246,0.20642817,0,6.07994251
0.00170000,10.00000000,8.00000000,1.91113024,0.18436125,0.20831269,0,6.08886976
0.00172000,10.00000000,8.00000000,1.90297276,0.25481902,0.21019521,0,6.09702724
0.00174000,10.00000000,8.00000000,1.89570039,0.33589660,0.21207479,0,6.10429961
0.00176000,10.00000000,8.00000000,1.88942378,0.42720588,0.21395047,0,6.11057622
0.00178000,10.00000000,8.00000000,1.88424840,0.52831173,0.21582133,0,6.11575160
0.00180000,10.00000000,8.00000000,1.88027409,0.63873418,0.21768642,0,6.11972591
0.00182000,10.00000000,8.00000000,1.87759455,0.75795077,0.21954481,0,6.12240545
0.00184000,10.00000000,8.00000000,1.87629698,0.88539911,0.22139557,0,6.12370302
0.00186000,10.00000000,8.00000000,1.87646162,1.02047964,0.22323780,0,6.12353838
0.00188000,10.00000000,8.00000000,1.87816145,1.16255850,0.22507061,0,6.12183855
0.00190000,10.00000000,8.00000000,1.88146186,1.31097061,0.22689315,0,6.11853814
0.00192000,10.00000000,8.00000000,1.88642032,1.46502289,0.22870458,0,6.11357968
0.00194000,10.00000000,8.00000000,1.89308619,1.62399752,0.23050410,0,6.10691381
0.00196000,10.00000000,8.00000000,1.90150045,1.78715542,0.23229094,0,6.09849955
0.00198000,10.00000000,8.00000000,1.91169559,1.95373977,0.23406439,0,6.08830441
0.00200000,10.00000000,8.00000000,1.92369545,2.12297955,0.23582376,0,6.07630455
0.00202000,10.00000000,8.00000000,1.93751512,2.29409326,0.23756841,0,6.06248488
0.00204000,10.00000000,8.00000000,1.95316092,2.46629256,0.23929776,0,6.04683908
0.00206000,10.00000000,8.00000000,1.97063035,2.63878600,0.24101128,0,6.02936965
0.00208000,10.00000000,8.00000000,1.98991220,2.81078272,0.24270848,0,6.01008780
0.00210000,10.00000000,8.00000000,2.01098655,2.98149621,0.24438895,0,5.98901345
0.00212000,10.00000000,8.00000000,2.03382491,3.15014792,0.24605230,0,5.96617509
0.00214000,10.00000000,8.00000000,2.05839041,3.31597091,0.24769825,0,5.94160959
0.00216000,10.00000000,8.00000000,2.08463796,3.47821343,0.24932653,0,5.91536204
0.00218000,10.00000000,8.00000000,2.11251446,3.63614240,0.25093698,0,5.88748554
0.00220000,10.00000000,8.00000000,2.14195914,3.78904677,0.25252948,0,5.85804086
0.00222000,10.00000000,8.00000000,2.17290381,3.93624085,0.25410395,0,5.82709619
0.00224000,10.00000000,8.00000000,2.20527321,4.07706741,0.25566042,0,5.79472679
0.00226000,10.00000000,8.00000000,2.23898540,4.21090068,0.25719896,0,5.76101460
0.00228000,10.00000000,8.00000000,2.27395213,4.33714928,0.25871969,0,5.72604787
0.00230000,10.00000000,8.00000000,2.31007931,4.45525879,0.26022282,0,5.68992069
0.00232000,10.00000000,8.00000000,2.34726743,4.56471436,0.26170860,0,5.65273257
0.00234000,10.00000000,8.00000000,2.38541207,4.66504294,0.26317735,0,5.61458793
0.00236000,10.00000000,8.00000000,2.42440438,4.75581545,0.26462945,0,5.57559562
0.00238000,10.00000000,8.00000000,2.46413160,4.83664864,0.26606533,0,5.53586840
0.00240000,10.00000000,8.00000000,2.50447763,4.90720677,0.26748548,0,5.49552237
0.00242000,10.00000000,8.00000000,2.54532357,4.96720308,0.26889043,0,5.45467643
0.00244000,10.00000000,8.00000000,2.58654824,5.01640101,0.27028077,0,5.41345176
0.00246000,10.00000000,8.00000000,2.62802884,5.05461515,0.27165715,0,5.37197116
0.00248000,10.00000000,8.00000000,2.66964146,5.08171201,0.27302023,0,5.33035854
0.00250000,10.00000000,8.00000000,2.71126168,5.09761050,0.27437075,0,5.28873832
0.00252000,10.00000000,8.00000000,2.75276518,5.10228215,0.27570944,0,5.24723482
0.00254000,10.00000000,8.00000000,2.79402830,5.09575117,0.27703711,0,5.20597170
0.00256000,10.00000000,8.00000000,2.83492862,5.07809414,0.27835458,0,5.16507138
0.00258000,10.00000000,8.00000000,2.87534554,5.04943953,0.27966268,0,5.12465446
0.00260000,10.00000000,8.00000000,2.91516082,5.00996701,0.28096229,0,5.08483918
0.00262000,10.00000000,8.00000000,2.95425918,4.95990639,0.28225429,0,5.04574082
0.00264000,10.00000000,8.00000000,2.99252877,4.89953652,0.28353957,0,5.00747123
0.00266000,10.00000000,8.00000000,3.02986172,4.82918376,0.28481905,0,4.97013828
0.00268000,10.00000000,8.00000000,3.06615463,4.74922038,0.28609364,0,4.93384537
0.00270000,10.00000000,8.00000000,3.10130904,4.66006269,0.28736425,0,4.89869096
0.00272000,10.00000000,8.00000000,3.13523191,4.56216899,0.28863179,0,4.86476809
0.00274000,10.00000000,8.00000000,3.16783597,4.45603726,0.28989717,0,4.83216403
0.00276000,10.00000000,8.00000000,3.19904021,4.34220280,0.29116128,0,4.80095979
0.00278000,10.00000000,8.00000000,3.22877014,4.22123554,0.29242498,0,4.77122986
0.00280000,10.00000000,8.00000000,3.25695823,4.09373738,0.29368915,0,4.74304177
0.00282000,10.00000000,8.00000000,3.28354413,3.96033919,0.29495460,0,4.71645587
0.00284000,10.00000000,8.00000000,3.30847496,3.82169784,0.29622215,0,4.69152504
0.00286000,10.00000000,8.00000000,3.33170554,3.67849304,0.29749257,0,4.66829446
0.00288000,10.00000000,8.00000000,3.35319861,3.53142407,0.29876660,0,4.64680139
0.00290000,10.00000000,8.00000000,3.37292491,3.38120650,0.30004494,0,4.62707509
0.00292000,10.00000000,8.00000000,3.39086340,3.22856875,0.30132824,0,4.60913660
0.00294000,10.00000000,8.00000000,3.40700123,3.07424868,0.30261714,0,4.59299877
0.00296000,10.00000000,8.00000000,3.42133388,2.91899007,0.30391219,0,4.57866612
0.00298000,10.00000000,8.00000000,3.43386507,2.76353915,0.30521391,0,4.56613493
0.00300000,10.00000000,8.00000000,3.44460680,2.60864109,0.30652278,0,4.55539320
0.00302000,10.00000000,8.00000000,3.45357923,2.45503649,0.30783922,0,4.54642077
0.00304000,10.00000000,8.00000000,3.46081055,2.30345794,0.30916357,0,4.53918945
0.00306000,10.00000000,8.00000000,3.46633688,2.15462661,0.31049615,0,4.53366312
0.00308000,10.00000000,8.00000000,3.47020203,2.00924889,0.31183720,0,4.52979797
0.00310000,10.00000000,8.00000000,3.47245731,1.86801312,0.31318691,0,4.52754269
0.00312000,10.00000000,8.00000000,3.47316126,1.73158641,0.31454541,0,4.52683874
0.00314000,10.00000000,8.00000000,3.47237934,1.60061157,0.31591276,0,4.52762066
0.00316000,10.00000000,8.00000000,3.47018364,1.47570416,0.31728897,0,4.52981636
0.00318000,10.00000000,8.00000000,3.46665248,1.35744967,0.31867398,0,4.53334752
0.00320000,10.00000000,8.00000000,3.46187009,1.24640086,0.32006770,0,4.53812991
0.00322000,10.00000000,8.00000000,3.45592614,1.14307526,0.32146994,0,4.54407386
0.00324000,10.00000000,8.00000000,3.44891534,1.04795280,0.32288048,0,4.55108466
0.00326000,10.00000000,8.00000000,3.44093696,0.96147371,0.32429903,0,4.55906304
0.00328000,10.00000000,8.00000000,3.43209440,0.88403654,0.32572526,0,4.56790560
0.00330000,10.00000000,8.00000000,3.42249462,0.81599635,0.32715877,0,4.57750538
0.00332000,10.00000000,8.00000000,3.41224771,0.75766325,0.32859911,0,4.58775229
0.00334000,10.00000000,8.00000000,3.40146632,0.70930098,0.33004580,0,4.59853368
0.00336000,10.00000000,8.00000000,3.39026512,0.67112584,0.33149830,0,4.60973488
0.00338000,10.00000000,8.00000000,3.37876029,0.64330579,0.33295602,0,4.62123971
0.00340000,10.00000000,8.00000000,3.36706897,0.62595976,0.33441834,0,4.63293103
0.00342000,10.00000000,8.00000000,3.35530865,0.61915726,0.33588460,0,4.64469135
0.00344000,10.00000000,8.00000000,3.34359672,0.62291816,0.33735411,0,4.65640328
