t,theta_ts,theta_dot_ts,u_ts,theta_base,u_base,w1,w2
0.00000,0.38563,-2.87386,-14.56032,0.38519,-15.00000,0.02931,0.97069
0.00500,0.38551,-0.02335,13.92439,0.37441,3.69903,0.03639,0.96361
0.01000,0.40054,3.00594,14.96079,0.37892,15.00000,0.03645,0.96355
0.01500,0.43061,6.01390,14.99886,0.39857,15.00000,0.02907,0.97093
0.02000,0.47559,8.99471,14.99998,0.43321,15.00000,0.01841,0.98159
0.02500,0.53211,11.30474,11.77531,0.48186,14.15566,0.00923,0.99077
0.03000,0.59350,12.27836,5.18450,0.54138,11.11567,0.00633,0.99367
0.03500,0.65279,11.85780,-1.76323,0.60749,6.94275,0.00633,0.99367
0.04000,0.70503,10.44702,-6.75894,0.67581,2.58880,0.00633,0.99367
0.04500,0.74834,8.66208,-8.72019,0.74253,-1.22234,0.00633,0.99367
0.05000,0.78373,7.07860,-7.81804,0.80487,-4.04527,0.00633,0.99367
0.05500,0.81402,6.05889,-5.09090,0.86123,-5.70696,0.00633,0.99367
0.06000,0.84249,5.69281,-1.88405,0.91114,-6.26022,0.00633,0.99367
0.06500,0.87169,5.84116,0.66031,0.95503,-5.91487,0.00633,0.99367
0.07000,0.90290,6.24050,1.91333,0.99391,-4.96310,0.00633,0.99367
0.07500,0.93600,6.61993,1.82408,1.02910,-3.71222,0.00633,0.99367
0.08000,0.96994,6.78929,0.78285,1.06193,-2.43313,0.00633,0.99367
0.08500,1.00333,6.67831,-0.62003,1.09353,-1.32827,0.00633,0.99367
0.09000,1.03497,6.32720,-1.83525,1.12473,-0.51872,0.00633,0.99367
0.09500,1.06419,5.84452,-2.51880,1.15602,-0.04740,0.00633,0.99367
0.10000,1.09096,5.35440,-2.58727,1.18755,0.10661,0.00633,0.99367
0.10500,1.11573,4.95277,-2.17552,1.21922,0.00765,0.00633,0.99367
0.11000,1.13915,4.68418,-1.53593,1.25078,-0.25815,0.00633,0.99367
0.11500,1.16185,4.54106,-0.92686,1.28189,-0.60200,0.00633,0.99367
0.12000,1.18425,4.47993,-0.52869,1.31221,-0.94692,0.00633,0.99367
0.12500,1.20648,4.44460,-0.40694,1.34146,-1.23646,0.00633,0.99367
0.13000,1.22841,4.38746,-0.52180,1.36947,-1.43793,0.00633,0.99367
0.13500,1.24983,4.28226,-0.76866,1.39613,-1.54104,0.00633,0.99367
0.14000,1.27046,4.12680,-1.02861,1.42145,-1.55353,0.00633,0.99367
0.14500,1.29015,3.93721,-1.21016,1.44551,-1.49509,0.00633,0.99367
0.15000,1.30884,3.73787,-1.27113,1.46843,-1.39113,0.00633,0.99367
0.15500,1.32659,3.55143,-1.21908,1.49034,-1.26732,0.00633,0.99367
0.16000,1.34355,3.39197,-1.09571,1.51137,-1.14554,0.00633,0.99367
0.16500,1.35987,3.26271,-0.95458,1.53164,-1.04153,0.00633,0.99367
0.17000,1.37566,3.15784,-0.84084,1.55123,-0.96410,0.00633,0.99367
0.17500,1.39099,3.06668,-0.77908,1.57020,-0.91562,0.00633,0.99367
0.18000,1.40588,2.97835,-0.77095,1.58858,-0.89339,0.00633,0.99367
0.18500,1.42031,2.88520,-0.80063,1.60638,-0.89143,0.00633,0.99367
