Time,dx1,dx2,dx3,u1,u2,u3
0,5,3,-10,0.273675,0,1
1,5.07951,-13.7401,-8.07494,0.290675,0,1
2,5.17405,-28.7981,-6.15063,0.305303,0.262163,1
3,5.15891,-37.3712,-4.70217,0.318768,0.580872,1
4,5.00698,-39.0476,-3.831,0.331904,0.733968,1
5,4.79583,-37.6702,-3.23579,0.344748,0.810594,1
6,4.56113,-34.9997,-2.77743,0.357313,0.851756,1
7,4.3193,-31.8402,-2.39145,0.369602,0.876323,1
8,4.07785,-28.5559,-2.04773,0.381614,0.892987,1
9,3.84024,-25.309,-1.73194,0.393345,0.905757,0.974679
10,3.61182,-22.1691,-1.47907,0.404435,0.910009,0.949938
11,3.39587,-19.2862,-1.27282,0.414884,0.909921,0.928631
12,3.19328,-16.7154,-1.09973,0.424738,0.908181,0.910206
13,3.00382,-14.4555,-0.952156,0.434034,0.905954,0.894239
14,2.8268,-12.4833,-0.825267,0.442807,0.903727,0.880387
15,2.66139,-10.7688,-0.71567,0.45109,0.901691,0.868362
16,2.50674,-9.28128,-0.620785,0.458912,0.899903,0.857919
17,2.36205,-7.99233,-0.53854,0.466299,0.898367,0.848849
18,2.22658,-6.87627,-0.467206,0.473279,0.897064,0.84097
19,2.09964,-5.91045,-0.405316,0.479874,0.895969,0.834124
20,1.98059,-5.07503,-0.351611,0.486107,0.895056,0.828176
21,1.86888,-4.35271,-0.305007,0.491999,0.8943,0.823008
22,1.76397,-3.72844,-0.264564,0.497569,0.893679,0.818516
23,1.66539,-3.18916,-0.229467,0.502836,0.893174,0.814612
24,1.57271,-2.72352,-0.19901,0.507816,0.892767,0.811218
25,1.48551,-2.32168,-0.172581,0.512526,0.892445,0.808268
26,1.40345,-1.9751,-0.149647,0.516981,0.892194,0.805703
27,1.32617,-1.67637,-0.129746,0.521196,0.892004,0.803473
28,1.25336,-1.41906,-0.11248,0.525182,0.891865,0.801533
29,1.18474,-1.19761,-0.0974984,0.528954,0.891769,0.799846
30,1.12005,-1.00719,-0.0845008,0.532523,0.891709,0.798378
31,1.05903,-0.843601,-0.0732247,0.5359,0.891679,0.797101
32,1.00147,-0.70322,-0.0634429,0.539096,0.891673,0.79599
33,0.947142,-0.582898,-0.0549577,0.54212,0.891689,0.795022
34,0.895858,-0.479907,-0.0475979,0.544982,0.891721,0.794179
35,0.847433,-0.391884,-0.0412147,0.547691,0.891766,0.793446
36,0.801698,-0.316781,-0.035679,0.550255,0.891822,0.792806
37,0.758494,-0.252825,-0.0308787,0.552682,0.891887,0.792249
38,0.717672,-0.198481,-0.0267165,0.55498,0.891959,0.791763
39,0.679095,-0.152417,-0.023108,0.557154,0.892035,0.79134
40,0.642632,-0.113483,-0.0199799,0.559213,0.892115,0.79097
41,0.608163,-0.0806824,-0.0172687,0.561162,0.892197,0.790648
42,0.575573,-0.0531535,-0.0149191,0.563007,0.89228,0.790366
43,0.544757,-0.0301508,-0.0128832,0.564754,0.892364,0.79012
44,0.515615,-0.0110299,-0.0111194,0.566407,0.892447,0.789905
45,0.488051,0.00476621,-0.00959167,0.567973,0.89253,0.789717
46,0.461979,0.0177186,-0.00826868,0.569455,0.892612,0.789552
47,0.437315,0.0282425,-0.00712325,0.570859,0.892692,0.789408
48,0.41398,0.0366966,-0.00613181,0.572187,0.89277,0.789282
49,0.391903,0.0433899,-0.00527388,0.573445,0.892847,0.789171
50,0.371013,0.0485889,-0.00453171,0.574637,0.892921,0.789074
51,0.351245,0.0525231,-0.0038899,0.575764,0.892992,0.788988
52,0.332538,0.0553901,-0.00333507,0.576832,0.893062,0.788913
53,0.314834,0.0573596,-0.00285564,0.577844,0.893128,0.788847
54,0.298078,0.0585776,-0.00244154,0.578801,0.893193,0.788789
55,0.282219,0.0591693,-0.00208404,0.579708,0.893255,0.788738
56,0.267208,0.0592419,-0.00177557,0.580566,0.893314,0.788692
57,0.252999,0.0588874,-0.00150957,0.581379,0.893371,0.788652
58,0.239549,0.0581841,-0.00128034,0.582149,0.893425,0.788617
59,0.226817,0.057199,-0.00108294,0.582878,0.893477,0.788585
60,0.214763,0.0559893,-0.000913084,0.583568,0.893527,0.788557
61,0.203353,0.0546032,-0.000767067,0.584222,0.893574,0.788532
62,0.192551,0.0530819,-0.000641665,0.584841,0.89362,0.78851
63,0.182324,0.05146,-0.000534087,0.585427,0.893663,0.788491
64,0.172641,0.0497669,-0.000441914,0.585982,0.893704,0.788473
65,0.163474,0.048027,-0.00036305,0.586507,0.893743,0.788457
66,0.154795,0.0462608,-0.000295679,0.587005,0.89378,0.788443
67,0.146578,0.0444853,-0.000238227,0.587476,0.893816,0.78843
68,0.138797,0.0427146,-0.00018933,0.587922,0.89385,0.788419
69,0.131431,0.0409603,-0.000147809,0.588345,0.893882,0.788409
70,0.124455,0.0392317,-0.000112642,0.588745,0.893912,0.788399
71,0.117851,0.0375362,-8.29442e-05,0.589124,0.893941,0.788391
72,0.111597,0.03588,-5.795e-05,0.589482,0.893969,0.788383
73,0.105676,0.0342675,-3.69976e-05,0.589822,0.893995,0.788377
74,0.100069,0.0327022,-1.95142e-05,0.590144,0.89402,0.78837
75,0.0947603,0.0311868,-5.00502e-06,0.590449,0.894043,0.788365
76,0.0897331,0.0297229,6.95773e-06,0.590737,0.894065,0.788359
77,0.0849729,0.0283116,1.67434e-05,0.59101,0.894087,0.788355
78,0.0804654,0.0269534,2.4671e-05,0.591269,0.894107,0.78835
79,0.0761972,0.0256484,3.10155e-05,0.591514,0.894126,0.788346
80,0.0721556,0.0243962,3.60144e-05,0.591746,0.894144,0.788342
81,0.0683284,0.0231962,3.9872e-05,0.591966,0.894161,0.788339
82,0.0647043,0.0220475,4.27645e-05,0.592174,0.894177,0.788336
83,0.0612726,0.0209489,4.48432e-05,0.592371,0.894193,0.788333
84,0.0580229,0.0198994,4.62386e-05,0.592558,0.894207,0.78833
85,0.0549457,0.0188974,4.70623e-05,0.592734,0.894221,0.788328
86,0.0520317,0.0179415,4.74104e-05,0.592902,0.894234,0.788325
87,0.0492723,0.0170303,4.7365e-05,0.59306,0.894247,0.788323
88,0.0466593,0.016162,4.69964e-05,0.59321,0.894258,0.788321
89,0.044185,0.0153353,4.63648e-05,0.593352,0.89427,0.788319
90,0.0418418,0.0145484,4.55213e-05,0.593487,0.89428,0.788318
91,0.039623,0.0137997,4.45096e-05,0.593614,0.89429,0.788316
92,0.0375218,0.0130878,4.33666e-05,0.593735,0.8943,0.788315
93,0.0355321,0.012411,4.21237e-05,0.593849,0.894309,0.788313
94,0.0336479,0.0117678,4.08074e-05,0.593957,0.894317,0.788312
95,0.0318637,0.0111568,3.94399e-05,0.59406,0.894325,0.788311
96,0.0301741,0.0105764,3.80399e-05,0.594157,0.894333,0.788309
97,0.0285741,0.0100254,3.6623e-05,0.594249,0.89434,0.788308
98,0.0270589,0.00950226,3.52021e-05,0.594336,0.894347,0.788307
99,0.0256241,0.00900577,3.37878e-05,0.594418,0.894354,0.788306
100,0.0242654,0.00853464,3.23888e-05,0.594496,0.89436,0.788305
101,0.0229787,0.00808764,3.10123e-05,0.59457,0.894366,0.788305
102,0.0217603,0.00766362,2.96638e-05,0.59464,0.894371,0.788304
103,0.0206065,0.00726145,2.83478e-05,0.594706,0.894376,0.788303
104,0.0195138,0.00688006,2.70677e-05,0.594769,0.894381,0.788302
105,0.0184791,0.0065184,2.58261e-05,0.594829,0.894386,0.788302
106,0.0174993,0.00617551,2.46247e-05,0.594885,0.89439,0.788301
107,0.0165714,0.00585044,2.3465e-05,0.594938,0.894395,0.7883
108,0.0156928,0.0055423,2.23474e-05,0.594989,0.894399,0.7883
109,0.0148607,0.00525022,2.12725e-05,0.595036,0.894402,0.788299
110,0.0140727,0.0049734,2.024e-05,0.595082,0.894406,0.788299
111,0.0133266,0.00471104,1.92497e-05,0.595125,0.894409,0.788298
112,0.0126199,0.00446242,1.83009e-05,0.595165,0.894413,0.788298
113,0.0119508,0.00422683,1.7393e-05,0.595204,0.894416,0.788297
114,0.0113171,0.0040036,1.6525e-05,0.59524,0.894419,0.788297
115,0.0107171,0.00379208,1.56959e-05,0.595274,0.894421,0.788297
116,0.0101488,0.00359169,1.49045e-05,0.595307,0.894424,0.788296
117,0.00961073,0.00340182,1.41497e-05,0.595338,0.894426,0.788296
118,0.00910115,0.00322195,1.34302e-05,0.595367,0.894429,0.788296
119,0.00861859,0.00305156,1.27449e-05,0.595395,0.894431,0.788295
120,0.00816161,0.00289013,1.20923e-05,0.595421,0.894433,0.788295
121,0.00772887,0.00273722,1.14713e-05,0.595446,0.894435,0.788295
122,0.00731907,0.00259237,1.08805e-05,0.59547,0.894437,0.788295
123,0.006931,0.00245517,1.03188e-05,0.595492,0.894438,0.788294
124,0.00656351,0.00232521,9.78487e-06,0.595513,0.89444,0.788294
125,0.0062155,0.00220211,9.2775e-06,0.595533,0.894442,0.788294
126,0.00588594,0.00208551,8.79552e-06,0.595552,0.894443,0.788294
127,0.00557386,0.00197507,8.33779e-06,0.59557,0.894445,0.788293
128,0.00527832,0.00187047,7.90319e-06,0.595587,0.894446,0.788293
129,0.00499846,0.0017714,7.49065e-06,0.595603,0.894447,0.788293
