Time,dx1,dx2,dx3,u1,u2,u3
0,5,3,-10,0,0.0975567,0.62262
1,4.87719,0.131225,-8.9071,0,0.36899,0.62262
2,4.69113,0.118838,-8.07942,0,0.370041,0.62262
3,4.50506,0.113419,-7.25227,0,0.370386,0.62262
4,4.31915,0.107573,-6.42496,0,0.370725,0.62262
5,4.13342,0.101285,-5.59747,0,0.37111,0.62262
6,3.94784,0.0950507,-4.76987,0,0.371632,0.62262
7,3.76238,0.0901566,-3.94227,0,0.372026,0.62262
8,3.57708,0.0852681,-3.11457,0,0.37242,0.62262
9,3.39193,0.0803836,-2.28675,0,0.372814,0.62262
10,3.20693,0.075503,-1.45882,0,0.373207,0.62262
11,3.02209,0.0706266,-0.63077,0,0.3736,0.62262
12,2.83739,0.0657541,0.197388,0,0.373993,0.62262
13,2.65286,0.0608857,1.02566,0,0.374386,0.62262
14,2.46847,0.0560213,1.85404,0,0.374778,0.62262
15,2.28424,0.051161,2.68254,0,0.375169,0.62262
16,2.10015,0.0463046,3.51115,0,0.375561,0.62262
17,1.91623,0.0414524,4.33987,0,0.375952,0.62262
18,1.73245,0.0366041,5.1687,0,0.376343,0.62262
19,1.54882,0.0317598,5.99765,0,0.376733,0.62262
20,1.36535,0.0269196,6.8267,0,0.377123,0.62262
21,1.18203,0.0220832,7.65587,0,0.377519,0.607627
22,1.00111,0.0173047,8.46028,0,0.37793,0.546976
23,0.829424,0.0127765,9.16416,0,0.378333,0.453243
24,0.671935,0.00861934,9.71262,0,0.378716,0.33806
25,0.531843,0.00491803,10.0701,0,0.379066,0.211719
26,0.410806,0.00171677,10.218,0,0.379584,0.0884964
27,0.308291,0.000985293,10.1613,0,0.379874,0
28,0.219119,0.000745467,9.95777,0,0.38009,0
29,0.130014,0.000539417,9.75431,0,0.380301,0
30,0.0409776,0.000332325,9.55087,0.0203823,0.380513,0
31,-0.0296463,0.000127205,9.34747,0.0836998,0.380686,0
32,-0.0432313,-3.11943e-05,9.14409,0.0927549,0.380731,0
33,-0.0486593,-5.28932e-05,8.94071,0.0949709,0.380745,0
34,-0.0520889,-6.7993e-05,8.73732,0.0961328,0.380753,0
35,-0.0544702,-7.9454e-05,8.53393,0.0970058,0.380759,0
36,-0.056064,-8.81766e-05,8.33055,0.0977139,0.380763,0
37,-0.0570194,-9.46789e-05,8.12716,0.0982956,0.380765,0
38,-0.0574505,-9.93584e-05,7.92378,0.0987745,0.380767,0
39,-0.0574504,-0.000102538,7.7204,0.0991688,0.380767,0
40,-0.0570954,-0.000104484,7.51701,0.0994936,0.380766,0
41,-0.0564484,-0.000105415,7.31363,0.0997611,0.380764,0
42,-0.0555611,-0.00010551,7.11024,0.0999816,0.380762,0
43,-0.054476,-0.000104917,6.90686,0.100163,0.38076,0
44,-0.0532282,-0.000103758,6.70347,0.100313,0.380757,0
45,-0.0518465,-0.000102134,6.50009,0.100437,0.380754,0
46,-0.0503546,-0.000100127,6.2967,0.100539,0.38075,0
47,-0.0487719,-9.7804e-05,6.09331,0.100623,0.380746,0
48,-0.0471147,-9.52217e-05,5.88993,0.100693,0.380742,0
49,-0.045396,-9.24259e-05,5.68654,0.10075,0.380738,0
50,-0.0436268,-8.94543e-05,5.48315,0.100798,0.380734,0
51,-0.041816,-8.63382e-05,5.27976,0.100838,0.38073,0
52,-0.039971,-8.3103e-05,5.07637,0.100871,0.380725,0
53,-0.0380978,-7.97699e-05,4.87298,0.100898,0.380721,0
54,-0.0362015,-7.63561e-05,4.66959,0.100921,0.380717,0
55,-0.034286,-7.28761e-05,4.46619,0.10094,0.380712,0
56,-0.0323549,-6.93415e-05,4.2628,0.100956,0.380707,0
57,-0.0304108,-6.57619e-05,4.05941,0.100969,0.380703,0
58,-0.0284561,-6.21454e-05,3.85601,0.100981,0.380698,0
59,-0.0264926,-5.84985e-05,3.65262,0.10099,0.380693,0
