Time,y1,y2,y3,u1,u2,u3,du1,du2,du3
0,145,131,-0.0856377,0.252557,0.68847,0.800898,-0.343333,-0.206,0.0126078
1,145,131,-0.314489,0.312001,0.724137,0.814429,0.0594445,0.0356666,0.0135316
2,144.772,127.153,-0.277192,0.329202,0.989209,0.80909,0.0172005,0.265073,-0.00533968
3,144.58,124.377,-0.0926929,0.331665,1,0.797089,0.0024631,0.0107907,-0.0120012
4,144.275,127.073,-0.0885254,0.340528,0.904104,0.799732,0.00886372,-0.0958961,0.00264388
5,143.971,129.676,-0.155896,0.34818,0.756835,0.805214,0.00765195,-0.147269,0.00548172
6,143.721,130.106,-0.257496,0.35236,0.765031,0.811843,0.00417948,0.00819665,0.00662905
7,143.549,127.592,-0.252567,0.352409,0.94628,0.810662,4.8846e-05,0.181248,-0.00118119
8,143.377,125.474,-0.130875,0.354048,1,0.802816,0.00163895,0.0537204,-0.00784564
9,143.118,127.084,-0.0971409,0.362147,0.919379,0.802616,0.00809929,-0.0806208,-0.000200272
10,142.837,129.547,-0.153479,0.371119,0.768606,0.80762,0.00897238,-0.150773,0.00500369
11,142.603,130.167,-0.256169,0.376929,0.759879,0.814516,0.0058099,-0.00872672,0.00689596
12,142.449,127.783,-0.262108,0.378276,0.934049,0.814096,0.00134706,0.17417,-0.000419855
13,142.304,125.455,-0.145435,0.380534,1,0.806466,0.00225815,0.065951,-0.00762987
14,142.078,126.711,-0.103104,0.388982,0.945075,0.80561,0.00844783,-0.054925,-0.000855863
15,141.824,129.088,-0.141308,0.398688,0.795668,0.809484,0.00970611,-0.149407,0.00387412
16,141.605,130.14,-0.242051,0.405958,0.756111,0.816491,0.00726953,-0.0395574,0.00700706
17,141.466,128.194,-0.268163,0.408584,0.905865,0.8175,0.00262615,0.149754,0.00100899
18,141.352,125.672,-0.167958,0.41097,1,0.810745,0.00238603,0.0941353,-0.00675517
19,141.169,126.262,-0.106367,0.418806,0.980203,0.808338,0.00783592,-0.0197971,-0.00240678
20,140.945,128.575,-0.12059,0.42894,0.82655,0.810794,0.0101341,-0.153652,0.00245589
21,140.739,130.252,-0.223373,0.437607,0.742651,0.81827,0.00866675,-0.0838994,0.00747573
