t,y,error,u
1.390000,0.772143,0.232650,1.149625
1.400000,0.776894,0.227857,1.146247
1.410000,0.781603,0.223106,1.142887
1.420000,0.786269,0.218397,1.139546
1.430000,0.790892,0.213731,1.136224
1.440000,0.795472,0.209108,1.132923
1.450000,0.800009,0.204528,1.129642
1.460000,0.804503,0.199991,1.126381
1.470000,0.808953,0.195497,1.123143
1.480000,0.813360,0.191047,1.119926
1.490000,0.817722,0.186640,1.116731
1.500000,0.822041,0.182278,1.113559
1.510000,0.826316,0.177959,1.110409
1.520000,0.830546,0.173684,1.107284
1.530000,0.834732,0.169454,1.104182
1.540000,0.838873,0.165268,1.101104
1.550000,0.842970,0.161127,1.098051
1.560000,0.847022,0.157030,1.095023
1.570000,0.851030,0.152978,1.092020
1.580000,0.854992,0.148970,1.089042
1.590000,0.858910,0.145008,1.086091
1.600000,0.862782,0.141090,1.083166
1.610000,0.866610,0.137218,1.080267
1.620000,0.870392,0.133390,1.077396
1.630000,0.874129,0.129608,1.074551
1.640000,0.877822,0.125871,1.071735
1.650000,0.881469,0.122178,1.068945
1.660000,0.885071,0.118531,1.066184
1.670000,0.888627,0.114929,1.063451
1.680000,0.892139,0.111373,1.060747
1.690000,0.895605,0.107861,1.058071
1.700000,0.899026,0.104395,1.055425
1.710000,0.902403,0.100974,1.052808
1.720000,0.905734,0.097597,1.050220
1.730000,0.909020,0.094266,1.047661
1.740000,0.912261,0.090980,1.045133
1.750000,0.915457,0.087739,1.042635
1.760000,0.918608,0.084543,1.040166
1.770000,0.921715,0.081392,1.037729
1.780000,0.924776,0.078285,1.035321
1.790000,0.927794,0.075224,1.032945
1.800000,0.930766,0.072206,1.030599
1.810000,0.933694,0.069234,1.028285
1.820000,0.936578,0.066306,1.026001
1.830000,0.939418,0.063422,1.023749
1.840000,0.942213,0.060582,1.021528
1.850000,0.944965,0.057787,1.019338
1.860000,0.947673,0.055035,1.017181
1.870000,0.950337,0.052327,1.015054
1.880000,0.952957,0.049663,1.012960
1.890000,0.955534,0.047043,1.010898
1.900000,0.958068,0.044466,1.008867
1.910000,0.960559,0.041932,1.006868
1.920000,0.963006,0.039441,1.004902
1.930000,0.965411,0.036994,1.002967
1.940000,0.967774,0.034589,1.001065
1.950000,0.970094,0.032226,0.999195
1.960000,0.972371,0.029906,0.997357
1.970000,0.974607,0.027629,0.995551
1.980000,0.976801,0.025393,0.993778
1.990000,0.978953,0.023199,0.992036
2.000000,0.981063,0.021047,0.990327
2.010000,0.983133,0.018937,0.988651
2.020000,0.985161,0.016867,0.987006
2.030000,0.987149,0.014839,0.985394
2.040000,0.989096,0.012851,0.983814
2.050000,0.991003,0.010904,0.982266
2.060000,0.992869,0.008997,0.980750
2.070000,0.994696,0.007131,0.979267
2.080000,0.996483,0.005304,0.977815
2.090000,0.998231,0.003517,0.976395
2.100000,0.999939,0.001769,0.975008
2.110000,1.001609,0.000061,0.973652
2.120000,1.003240,-0.001609,0.972328
2.130000,1.004832,-0.003240,0.971036
2.140000,1.006387,-0.004832,0.969776
2.150000,1.007903,-0.006387,0.968547
2.160000,1.009383,-0.007903,0.967349
2.170000,1.010824,-0.009383,0.966183
2.180000,1.012229,-0.010824,0.965049
2.190000,1.013597,-0.012229,0.963945
2.200000,1.014928,-0.013597,0.962873
2.210000,1.016224,-0.014928,0.961831
2.220000,1.017483,-0.016224,0.960820
2.230000,1.018707,-0.017483,0.959840
2.240000,1.019895,-0.018707,0.958891
2.250000,1.021049,-0.019895,0.957972
2.260000,1.022168,-0.021049,0.957084
2.270000,1.023252,-0.022168,0.956225
2.280000,1.024302,-0.023252,0.955397
2.290000,1.025319,-0.024302,0.954598
2.300000,1.026302,-0.025319,0.953830
2.310000,1.027251,-0.026302,0.953090
2.320000,1.028168,-0.027251,0.952381
2.330000,1.029052,-0.028168,0.951700
2.340000,1.029904,-0.029052,0.951049
2.350000,1.030725,-0.029904,0.950426
2.360000,1.031513,-0.030725,0.949832
2.370000,1.032270,-0.031513,0.949267
