Time,y1,y2,y3,u1,u2,u3,du3,theta
59,146.24,133.398,-0.0360668,0.59589,0.89447,0,0,-0.399621
60,146.337,133.502,-0.0312969,0.59589,0.89447,0,0,-0.397833
61,146.434,133.606,-0.0263706,0.59589,0.89447,0,0,-0.395715
62,146.531,133.709,-0.0212845,0.59589,0.89447,0,0,-0.393208
63,146.627,133.811,-0.0160358,0.59589,0.89447,0,0,-0.390258
64,146.723,133.914,-0.0106228,0.59589,0.89447,0,0,-0.386824
65,146.818,134.016,-0.00504074,0.59589,0.89447,0,0,-0.38288
66,146.914,134.118,0.000713348,0.59589,0.89447,0,0,-0.378416
67,147.009,134.219,0.00664177,0.59589,0.89447,0,0,-0.373442
68,147.103,134.32,0.0127491,0.59589,0.89447,0,0,-0.36799
69,147.198,134.421,0.0190376,0.59589,0.89447,0,0,-0.362116
70,147.292,134.522,0.0255112,0.59589,0.89447,0,0,-0.355896
71,147.385,134.622,0.0321739,0.59589,0.89447,0,0,-0.349434
72,147.479,134.722,0.0390286,0.59589,0.89447,0,0,-0.342854
73,147.572,134.821,0.0460796,0.59589,0.89447,0,0,-0.336306
74,147.664,134.92,0.053331,0.59589,0.89447,0,0,-0.329957
75,147.757,135.019,0.0607861,0.59589,0.89447,0,0,-0.323994
76,147.849,135.118,0.0684494,0.59589,0.89447,0,0,-0.31862
77,147.941,135.216,0.0763248,0.59589,0.89447,0,0,-0.314047
78,148.032,135.314,0.0844173,0.59589,0.89447,0,0,-0.310497
79,148.123,135.412,0.0927303,0.59589,0.89447,0,0,-0.308194
80,148.214,135.509,0.101269,0.59589,0.89447,0,0,-0.307357
81,148.305,135.606,0.110038,0.59589,0.89447,0,0,-0.308201
82,148.395,135.703,0.119041,0.59589,0.89447,0,0,-0.310923
83,148.485,135.799,0.128284,0.59589,0.89447,0,0,-0.315704
84,148.575,135.895,0.137772,0.59589,0.89447,0,0,-0.322698
85,148.664,135.991,0.147511,0.59589,0.89447,0,0,-0.332029
86,148.753,136.086,0.157504,0.59589,0.89447,0,0,-0.343785
87,148.842,136.181,0.167758,0.59589,0.89447,0,0,-0.358012
88,148.93,136.276,0.178278,0.59589,0.89447,0,0,-0.37471
89,149.018,136.37,0.18907,0.59589,0.89447,0,0,-0.393832
90,149.106,136.465,0.20014,0.59589,0.89447,0,0,-0.415278
91,149.194,136.559,0.211494,0.59589,0.89447,0,0,-0.438892
92,149.281,136.652,0.223138,0.59589,0.89447,0,0,-0.464466
93,149.368,136.745,0.235079,0.59589,0.89447,0,0,-0.491733
94,149.454,136.838,0.247323,0.59589,0.89447,0,0,-0.520375
95,149.541,136.931,0.259877,0.59589,0.89447,0,0,-0.550021
96,149.627,137.023,0.272749,0.59589,0.89447,0,0,-0.580251
97,149.713,137.115,0.285944,0.59589,0.89447,0,0,-0.610601
98,149.798,137.207,0.299471,0.59589,0.89447,0,0,-0.640571
99,149.883,137.298,0.313338,0.59589,0.89447,0,0,-0.669628
100,149.968,137.389,0.327552,0.59589,0.89447,0,0,-0.697217
101,150.053,137.48,0.342122,0.59589,0.89447,0,0,-0.722768
102,150.137,137.571,0.357055,0.59589,0.89447,0,0,-0.745709
103,150.221,137.661,0.372361,0.59589,0.89447,0,0,-0.765472
104,150.305,137.751,0.388048,0.59589,0.89447,0,0,-0.781506
105,150.388,137.84,0.404127,0.59589,0.89447,0,0,-0.793291
106,150.472,137.93,0.420605,0.59589,0.89447,0,0,-0.800344
107,150.554,138.019,0.437494,0.59589,0.89447,0,0,-0.802238
108,150.637,138.107,0.454802,0.59589,0.89447,0,0,-0.798603
109,150.719,138.196,0.472541,0.59589,0.89447,0,0,-0.789147
110,150.801,138.284,0.490721,0.59589,0.89447,0,0,-0.77366
111,150.883,138.372,0.509353,0.59589,0.89447,0,0,-0.752024
112,150.965,138.459,0.52845,0.59589,0.89447,0,0,-0.724223
113,151.046,138.546,0.548023,0.59589,0.89447,0,0,-0.690345
114,151.127,138.633,0.568085,0.59589,0.89447,0,0,-0.650592
115,151.208,138.72,0.588646,0.59589,0.89447,0,0,-0.60528
116,151.288,138.806,0.609723,0.59589,0.89447,0,0,-0.554843
117,151.368,138.892,0.631328,0.59589,0.89447,0,0,-0.499828
118,151.448,138.978,0.653474,0.59589,0.89447,0,0,-0.440896
119,151.528,139.064,0.676177,0.59589,0.89447,0,0,-0.378816
120,151.607,139.149,0.699452,0.59589,0.89447,0,0,-0.314458
121,151.686,139.234,0.723316,0.59589,0.89447,0,0,-0.248781
122,151.765,139.319,0.747783,0.59589,0.89447,0,0,-0.182825
123,151.843,139.403,0.772871,0.59589,0.89447,0,0,-0.117697
124,151.922,139.487,0.798597,0.59589,0.89447,0,0,-0.0545524
125,152,139.571,0.824979,0.59589,0.89447,0.00479209,0.00479209,0.00541875
126,152.077,139.655,0.851971,0.59589,0.89447,0.0597691,0.054977,0.0610126
127,152.154,139.738,0.878791,0.59589,0.89447,0.109195,0.049426,0.111036
128,152.222,139.821,0.904443,0.59589,0.89447,0.15193,0.0427344,0.154338
129,152.283,139.902,0.929032,0.59589,0.89447,0.186904,0.034974,0.189842
130,152.337,139.982,0.952717,0.59589,0.89447,0.213146,0.0262426,0.216569
131,152.385,140.06,0.975724,0.59589,0.89447,0.229807,0.0166605,0.233659
132,152.43,140.135,0.998333,0.59589,0.89447,0.236173,0.00636645,0.240395
133,152.472,140.206,1.02088,0.59589,0.89447,0.231686,-0.00448719,0.23621
134,152.512,140.276,1.04377,0.59589,0.89447,0.215947,-0.0157384,0.220703
135,152.554,140.342,1.06743,0.59589,0.89447,0.188727,-0.0272199,0.193639
136,152.597,140.406,1.09235,0.59589,0.89447,0.149965,-0.0387621,0.154955
137,152.644,140.468,1.11907,0.59589,0.89447,0.0997696,-0.0501958,0.10476
