Time,dx1,dx2,dx3,u1,u2,u3
91,-9.67396e-05,3.09365e-06,5.015,0.568399,0.894471,0.623308
92,-9.14577e-05,2.80934e-06,4.74132,0.568082,0.89447,0.621407
93,-8.6115e-05,2.52532e-06,4.46449,0.567818,0.89447,0.619821
94,-8.07216e-05,2.24206e-06,4.18503,0.567605,0.89447,0.618547
95,-7.52874e-05,1.96004e-06,3.90346,0.567445,0.89447,0.617582
96,-6.98225e-05,1.67971e-06,3.62028,0.567335,0.89447,0.616922
97,-6.43365e-05,1.40151e-06,3.33602,0.567275,0.89447,0.616563
98,-5.88391e-05,1.12586e-06,3.05115,0.567264,0.89447,0.6165
99,-5.33398e-05,8.53202e-07,2.76618,0.567302,0.89447,0.616728
100,-4.78478e-05,5.83928e-07,2.48159,0.567388,0.89447,0.617242
101,-4.23724e-05,3.18437e-07,2.19785,0.56752,0.89447,0.618035
102,-3.69224e-05,5.71105e-08,1.91543,0.567698,0.89447,0.619102
103,-3.15066e-05,-1.99686e-07,1.63478,0.56792,0.89447,0.620434
104,-2.61335e-05,-4.51598e-07,1.35633,0.568185,0.89447,0.622027
105,-2.08115e-05,-6.98287e-07,1.08053,0.568493,0.89447,0.623872
106,-1.55486e-05,-9.3943e-07,0.807793,0.568841,0.89447,0.625962
107,-1.03527e-05,-1.17472e-06,0.538519,0.569229,0.89447,0.628288
108,-5.2313e-06,-1.40386e-06,0.273104,0.569654,0.89447,0.630844
109,-1.91758e-07,-1.62657e-06,0.0119281,0.570117,0.89447,0.633619
110,4.75887e-06,-1.8426e-06,-0.244643,0.570615,0.89447,0.636607
111,9.61381e-06,-2.05169e-06,-0.496259,0.571147,0.89447,0.639798
112,1.43666e-05,-2.25361e-06,-0.742582,0.571711,0.89447,0.643182
113,1.90109e-05,-2.44816e-06,-0.98329,0.572305,0.89447,0.646752
114,2.3541e-05,-2.63514e-06,-1.21808,0.572929,0.89447,0.650497
115,2.79511e-05,-2.81435e-06,-1.44665,0.573581,0.89447,0.654408
116,3.22359e-05,-2.98565e-06,-1.66874,0.574259,0.89447,0.658476
117,3.63905e-05,-3.14887e-06,-1.88407,0.574961,0.89447,0.662692
118,4.04101e-05,-3.30389e-06,-2.09242,0.575687,0.89447,0.667044
119,4.42904e-05,-3.45059e-06,-2.29355,0.576433,0.89447,0.671524
120,4.80272e-05,-3.58887e-06,-2.48724,0.577199,0.89447,0.676121
121,5.16168e-05,-3.71864e-06,-2.67331,0.577983,0.89447,0.680827
122,5.50558e-05,-3.83985e-06,-2.85157,0.578784,0.89447,0.68563
123,5.83409e-05,-3.95243e-06,-3.02187,0.579599,0.89447,0.690522
124,6.14695e-05,-4.05634e-06,-3.18405,0.580427,0.89447,0.695492
125,6.44389e-05,-4.15157e-06,-3.33798,0.581267,0.89447,0.70053
126,6.72471e-05,-4.23811e-06,-3.48356,0.582116,0.89447,0.705628
127,6.9892e-05,-4.31597e-06,-3.62068,0.582973,0.89447,0.710774
128,7.23722e-05,-4.38516e-06,-3.74927,0.583838,0.89447,0.715961
129,7.46863e-05,-4.44573e-06,-3.86925,0.584707,0.89447,0.721177
130,7.68335e-05,-4.49773e-06,-3.98058,0.58558,0.89447,0.726414
131,7.88129e-05,-4.54122e-06,-4.08322,0.586454,0.89447,0.731663
132,8.06244e-05,-4.57627e-06,-4.17715,0.587329,0.89447,0.736915
133,8.22677e-05,-4.60298e-06,-4.26237,0.588203,0.89447,0.74216
134,8.37431e-05,-4.62146e-06,-4.33889,0.589075,0.894469,0.747391
135,8.50511e-05,-4.6318e-06,-4.40674,0.589943,0.894469,0.752597
136,8.61924e-05,-4.63415e-06,-4.46595,0.590805,0.894469,0.757772
137,8.71681e-05,-4.62864e-06,-4.51657,0.59166,0.894469,0.762907
138,8.79794e-05,-4.61542e-06,-4.55868,0.592508,0.894469,0.767993
139,8.86279e-05,-4.59464e-06,-4.59235,0.593346,0.894469,0.773024
140,8.91154e-05,-4.56647e-06,-4.61767,0.594174,0.894469,0.777991
141,8.94439e-05,-4.5311e-06,-4.63475,0.59499,0.894469,0.782888
142,8.96156e-05,-4.48872e-06,-4.64372,0.595793,0.894469,0.787707
143,8.96331e-05,-4.4395e-06,-4.64468,0.596582,0.894469,0.792442
144,8.9499e-05,-4.38367e-06,-4.6378,0.597356,0.894469,0.797086
145,8.92163e-05,-4.32143e-06,-4.6232,0.598113,0.894469,0.801633
146,8.87881e-05,-4.253e-06,-4.60107,0.598854,0.894469,0.806077
147,8.82176e-05,-4.17861e-06,-4.57157,0.599576,0.894469,0.810412
148,8.75084e-05,-4.09848e-06,-4.53487,0.60028,0.894469,0.814633
149,8.66641e-05,-4.01286e-06,-4.49117,0.600963,0.894469,0.818735
150,8.56885e-05,-3.92198e-06,-4.44067,0.601626,0.894469,0.822713
151,8.45856e-05,-3.82609e-06,-4.38357,0.602267,0.89447,0.826562
152,8.33595e-05,-3.72544e-06,-4.32008,0.602887,0.89447,0.830279
153,8.20144e-05,-3.62029e-06,-4.25043,0.603483,0.89447,0.833859
154,8.05548e-05,-3.5109e-06,-4.17484,0.604056,0.89447,0.837299
155,7.89851e-05,-3.39752e-06,-4.09354,0.604606,0.89447,0.840595
156,7.73099e-05,-3.28041e-06,-4.00678,0.60513,0.89447,0.843744
157,7.5534e-05,-3.15984e-06,-3.91479,0.60563,0.89447,0.846744
158,7.3662e-05,-3.03607e-06,-3.81782,0.606105,0.89447,0.849593
159,7.16989e-05,-2.90937e-06,-3.71613,0.606554,0.89447,0.852287
160,6.96496e-05,-2.78001e-06,-3.60997,0.606977,0.89447,0.854826
161,6.7519e-05,-2.64825e-06,-3.4996,0.607374,0.89447,0.857208
162,6.53122e-05,-2.51435e-06,-3.38528,0.607744,0.89447,0.859431
163,6.30343e-05,-2.37858e-06,-3.26727,0.608088,0.89447,0.861494
164,6.06904e-05,-2.2412e-06,-3.14584,0.608405,0.89447,0.863398
165,5.82856e-05,-2.10247e-06,-3.02125,0.608696,0.89447,0.865141
166,5.5825e-05,-1.96265e-06,-2.89376,0.60896,0.89447,0.866724
167,5.33138e-05,-1.82199e-06,-2.76365,0.609197,0.89447,0.868146
168,5.07571e-05,-1.68075e-06,-2.63119,0.609407,0.89447,0.869409
169,4.816e-05,-1.53918e-06,-2.49662,0.609591,0.89447,0.870512
170,4.55276e-05,-1.39751e-06,-2.36023,0.609748,0.89447,0.871457
171,4.28651e-05,-1.256e-06,-2.22227,0.609879,0.89447,0.872245
172,4.01773e-05,-1.11487e-06,-2.08301,0.609985,0.89447,0.872877
173,3.74694e-05,-9.74358e-07,-1.94269,0.610065,0.89447,0.873355
174,3.47462e-05,-8.34692e-07,-1.80159,0.610119,0.89447,0.873682
175,3.20126e-05,-6.9609e-07,-1.65994,0.610148,0.89447,0.873858
176,2.92733e-05,-5.58768e-07,-1.51799,0.610153,0.89447,0.873887
177,2.65332e-05,-4.22935e-07,-1.376,0.610134,0.89447,0.873771
178,2.37968e-05,-2.88793e-07,-1.23421,0.610091,0.89447,0.873513
179,2.10687e-05,-1.56539e-07,-1.09284,0.610025,0.89447,0.873115
180,1.83534e-05,-2.63634e-08,-0.952126,0.609936,0.89447,0.872582
181,1.56552e-05,1.01552e-07,-0.812301,0.609825,0.89447,0.871915
182,1.29783e-05,2.27031e-07,-0.673581,0.609692,0.89447,0.87112
183,1.0327e-05,3.49906e-07,-0.536181,0.609539,0.89447,0.870199
184,7.70516e-06,4.70014e-07,-0.400309,0.609365,0.89447,0.869155
185,5.11676e-06,5.87202e-07,-0.266167,0.609171,0.89447,0.867994
186,2.56555e-06,7.01325e-07,-0.133952,0.608959,0.89447,0.866719
187,5.51902e-08,8.12243e-07,-0.00385185,0.608728,0.89447,0.865334
188,-2.41081e-06,9.19827e-07,0.123951,0.60848,0.89447,0.863844
189,-4.82908e-06,1.02395e-06,0.249282,0.608214,0.89447,0.862253
