Time,y_sp,y_pid
19.9,-0.895388,0.905345
20,-1.14885,0.908327
20.1,-1.38262,0.912164
20.2,-1.59267,0.916776
20.3,-1.77523,0.922075
20.4,-1.9269,0.927961
20.5,-2.04465,0.934327
20.6,-2.12592,0.94106
20.7,-2.16864,0.948043
20.8,-2.17127,0.955158
20.9,-2.13287,0.962287
21,-2.05309,0.969316
21.1,-1.9336,0.976133
21.2,-1.77857,0.982634
21.3,-1.59286,0.988722
21.4,-1.38115,0.994309
21.5,-1.14793,0.999318
21.6,-0.897469,1.00368
21.7,-0.633781,1.00736
21.8,-0.360634,1.01029
21.9,-0.0816343,1.01247
22,0.199511,1.01386
22.1,0.478893,1.01449
22.2,0.752502,1.01436
22.3,1.01632,1.01349
22.4,1.26639,1.01192
22.5,1.49888,1.00972
22.6,1.71017,1.00692
22.7,1.89683,1.00361
22.8,2.05579,0.999846
22.9,2.18428,0.995723
23,2.27996,0.99132
23.1,2.34093,0.986726
23.2,2.36576,0.982028
23.3,2.35355,0.977316
23.4,2.30392,0.972675
23.5,2.21706,0.968188
23.6,2.09372,0.963933
23.7,1.93523,0.959982
23.8,1.74489,0.956402
23.9,1.52755,0.953249
24,1.28785,0.950572
24.1,1.03018,0.94841
24.2,0.758719,0.946793
24.3,0.477357,0.94574
24.4,0.190057,0.94526
24.5,-0.0989339,0.945352
24.6,-0.385195,0.946006
24.7,-0.664239,0.947202
24.8,-0.931594,0.94891
24.9,-1.18288,0.951094
25,-1.41389,0.953709
25.1,-1.6206,0.956704
25.2,-1.79931,0.960024
25.3,-1.94665,0.963608
25.4,-2.05966,0.967392
25.5,-2.13582,0.971312
25.6,-2.17315,0.9753
25.7,-2.17019,0.979292
25.8,-2.12606,0.983222
25.9,-2.04051,0.987028
26,-1.9156,0.990653
26.1,-1.75584,0.994043
26.2,-1.56606,0.997149
26.3,-1.35093,0.999927
26.4,-1.1149,1.00234
26.5,-0.8622,1.00437
26.6,-0.596829,1.00598
26.7,-0.322511,1.00716
26.8,-0.0428572,1.00791
26.9,0.23839,1.00823
27,0.5173,1.00812
27.1,0.789856,1.0076
27.2,1.05204,1.00669
27.3,1.29992,1.00543
27.4,1.52968,1.00383
27.5,1.73771,1.00195
27.6,1.92066,0.99983
27.7,2.07546,0.997504
27.8,2.19943,0.995026
27.9,2.29028,0.992444
28,2.34616,0.989809
28.1,2.36574,0.987169
28.2,2.34816,0.984572
28.3,2.29316,0.982065
28.4,2.20098,0.979692
28.5,2.07246,0.977493
28.6,1.90924,0.975503
28.7,1.71488,0.973755
28.8,1.49418,0.972276
28.9,1.25175,0.971087
29,0.991964,0.970204
29.1,0.718942,0.969638
29.2,0.436598,0.969393
29.3,0.148932,0.969469
29.4,-0.139779,0.969859
29.5,-0.425106,0.970551
29.6,-0.70256,0.971529
29.7,-0.967683,0.972772
29.8,-1.21612,0.974254
29.9,-1.44368,0.975947
30,-1.6464,0.977819
30.1,-1.82061,0.979836
30.2,-1.96301,0.981963
30.3,-2.0707,0.984163
30.4,-2.14124,0.986399
30.5,-2.17272,0.988633
30.6,-2.16377,0.99083
30.7,-2.1136,0.992956
30.8,-2.02203,0.994977
30.9,-1.89155,0.996864
31,-1.72697,0.99859
31.1,-1.53311,1.00013
31.2,-1.31459,1.00147
31.3,-1.07585,1.00258
31.4,-0.82107,1.00347
31.5,-0.554203,1.00411
31.6,-0.278938,1.00451
31.7,0.00111504,1.00467
31.8,0.282177,1.00459
31.9,0.560299,1.00428
32,0.831461,1.00375
32.1,1.09165,1.00303
32.2,1.33695,1.00212
32.3,1.56359,1.00106
32.4,1.76797,0.999856
32.5,1.94679,0.998545
32.6,2.09705,0.99715
32.7,2.21611,0.9957
32.8,2.30175,0.994221
32.9,2.35219,0.992742
33,2.36618,0.99129
33.1,2.34295,0.98989
33.2,2.2823,0.988566
33.3,2.18458,0.987342
33.4,2.05071,0.986236
33.5,1.88261,0.985268
33.6,1.68408,0.98445
33.7,1.45991,0.983797
33.8,1.21467,0.983315
33.9,0.952689,0.983012
34,0.678056,0.982888
34.1,0.39469,0.982944
34.2,0.106639,0.983175
34.3,-0.181794,0.983576
34.4,-0.466166,0.984135
34.5,-0.741991,0.984842
34.6,-1.00482,0.985682
34.7,-1.25032,0.986638
34.8,-1.47434,0.987694
34.9,-1.67295,0.98883
35,-1.84253,0.990025
35.1,-1.97984,0.991259
35.2,-2.08206,0.992512
35.3,-2.14681,0.993763
35.4,-2.17226,0.994991
35.5,-2.15714,0.996178
35.6,-2.10074,0.997305
35.7,-2.00319,0.998355
35.8,-1.86735,0.999314
35.9,-1.69816,1.00017
36,-1.5004,1.00091
36.1,-1.27867,1.00152
36.2,-1.03735,1.00201
36.3,-0.780615,1.00236
36.4,-0.51236,1.00257
36.5,-0.236237,1.00265
36.6,0.0441441,1.00259
36.7,0.32497,1.00241
36.8,0.602275,1.0021
36.9,0.872035,1.00169
37,1.13025,1.00117
37.1,1.37302,1.00057
37.2,1.59658,0.999892
37.3,1.79741,0.999153
37.4,1.97221,0.998368
37.5,2.11805,0.997553
37.6,2.23234,0.996724
37.7,2.31293,0.995895
37.8,2.35812,0.995083
37.9,2.3667,0.994301
38,2.33802,0.993563
38.1,2.27193,0.992881
38.2,2.16887,0.992267
38.3,2.02984,0.99173
38.4,1.85706,0.991279
38.5,1.65454,0.99092
38.6,1.42703,0.990658
38.7,1.17909,0.990495
38.8,0.914995,0.990433
38.9,0.638812,0.990472
39,0.354464,0.990609
39.1,0.0660412,0.99084
39.2,-0.222126,0.99116
39.3,-0.505583,0.991562
39.4,-0.779845,0.992038
39.5,-1.04048,0.992578
39.6,-1.28316,0.993173
39.7,-1.50377,0.993813
39.8,-1.69844,0.994484
39.9,-1.86358,0.995177
40,-1.99601,0.995879
40.1,-2.09296,0.996579
40.2,-2.15215,0.997265
40.3,-2.17182,0.997928
40.4,-2.15076,0.998556
40.5,-2.08838,0.999141
40.6,-1.98521,0.999674
40.7,-1.84446,1.00015
40.8,-1.67103,1.00056
40.9,-1.4697,1.00089
41,-1.24503,1.00116
41.1,-1.00137,1.00135
41.2,-0.742859,1.00146
41.3,-0.473357,1.0015
41.4,-0.196475,1.00146
41.5,0.0841733,1.00135
41.6,0.364747,1.00118
41.7,0.641265,1.00094
41.8,0.909701,1.00065
41.9,1.16606,1.00031
42,1.40646,0.999924
42.1,1.62717,0.999507
42.2,1.82468,0.999065
42.3,1.99576,0.998608
42.4,2.13751,0.998142
42.5,2.24739,0.997678
42.6,2.32331,0.997224
42.7,2.36363,0.996787
42.8,2.36724,0.996376
42.9,2.33352,0.995997
43,2.26242,0.995656
43.1,2.15445,0.995358
43.2,2.01068,0.995109
43.3,1.8336,0.994912
43.4,1.6274,0.994769
43.5,1.39683,0.994682
43.6,1.14639,0.994652
43.7,0.880364,0.994678
43.8,0.602755,0.994759
43.9,0.317503,0.994892
44,0.0287377,0.995075
44.1,-0.259186,0.995303
44.2,-0.541804,0.995573
44.3,-0.814629,0.995878
44.4,-1.07324,0.996214
44.5,-1.31334,0.996573
44.6,-1.53083,0.996951
44.7,-1.72186,0.997339
44.8,-1.88292,0.997733
44.9,-2.01086,0.998124
45,-2.10298,0.998508
45.1,-2.15706,0.998878
45.2,-2.17141,0.999228
45.3,-2.14491,0.999553
45.4,-2.07703,0.999849
45.5,-1.96869,1.00011
45.6,-1.82341,1.00034
45.7,-1.6461,1.00052
45.8,-1.44148,1.00067
45.9,-1.21411,1.00077
46,-0.968302,1.00083
46.1,-0.708156,1.00085
46.2,-0.437507,1.00083
46.3,-0.15995,1.00076
46.4,0.120884,1.00066
46.5,0.401129,1.00053
46.6,0.676794,1.00036
46.7,0.943853,1.00016
46.8,1.19832,0.999948
46.9,1.43634,0.999713
47,1.65419,0.999465
47.1,1.84841,0.999208
47.2,2.0158,0.998947
47.3,2.1535,0.998687
47.4,2.25905,0.998433
47.5,2.33039,0.998189
47.6,2.36598,0.99796
47.7,2.36473,0.997749
47.8,2.32612,0.997559
47.9,2.25018,0.997395
48,2.13747,0.997257
48.1,1.98915,0.997149
48.2,1.80795,0.997071
48.3,1.59828,0.997025
48.4,1.36484,0.99701
48.5,1.11211,0.997027
48.6,0.844331,0.997075
48.7,0.565483,0.997152
48.8,0.279505,0.997256
48.9,-0.00943308,0.997386
49,-0.296956,0.997539
49.1,-0.578591,0.997711
49.2,-0.849854,0.9979
49.3,-1.10633,0.998102
49.4,-1.34376,0.998314
49.5,-1.55806,0.998532
49.6,-1.74542,0.998753
49.7,-1.90237,0.998972
49.8,-2.02583,0.999186
49.9,-2.11314,0.999393
