step,y1,y2,u1,u2
1.87,0.875196,0.875196,2.55446,2.55446
1.88,0.860732,0.860732,2.60446,2.60446
1.89,0.846254,0.846254,2.6552,2.6552
1.9,0.831772,0.831772,2.70663,2.70663
1.91,0.817298,0.817298,2.75872,2.75872
1.92,0.802843,0.802843,2.81146,2.81146
1.93,0.788418,0.788418,2.86479,2.86479
1.94,0.774033,0.774033,2.9187,2.9187
1.95,0.759699,0.759699,2.97314,2.97314
1.96,0.745428,0.745428,3.02809,3.02809
1.97,0.73123,0.73123,3.0835,3.0835
1.98,0.717115,0.717115,3.13935,3.13935
1.99,0.703095,0.703095,3.19559,3.19559
2,0.689181,0.689181,3.25219,3.25219
2.01,0.675382,0.675382,3.30912,3.30912
2.02,0.66171,0.66171,3.36634,3.36634
2.03,0.648176,0.648176,3.42381,3.42381
2.04,0.634788,0.634788,3.4815,3.4815
2.05,0.621559,0.621559,3.53936,3.53936
2.06,0.608498,0.608498,3.59737,3.59737
2.07,0.595615,0.595615,3.65548,3.65548
2.08,0.58292,0.58292,3.71365,3.71365
2.09,0.570424,0.570424,3.77185,3.77185
2.1,0.558136,0.558136,3.83004,3.83004
2.11,0.546065,0.546065,3.88818,3.88818
2.12,0.534222,0.534222,3.94624,3.94624
2.13,0.522615,0.522615,4.00417,4.00417
2.14,0.511255,0.511255,4.06193,4.06193
2.15,0.500149,0.500149,4.11949,4.11949
2.16,0.489307,0.489307,4.17681,4.17681
2.17,0.478738,0.478738,4.23385,4.23385
2.18,0.46845,0.46845,4.29058,4.29058
2.19,0.458451,0.458451,4.34695,4.34695
2.2,0.44875,0.44875,4.40292,4.40292
2.21,0.439355,0.439355,4.45847,4.45847
2.22,0.430274,0.430274,4.51355,4.51355
2.23,0.421513,0.421513,4.56812,4.56812
2.24,0.413081,0.413081,4.62215,4.62215
2.25,0.404985,0.404985,4.6756,4.6756
2.26,0.397231,0.397231,4.72844,4.72844
2.27,0.389826,0.389826,4.78062,4.78062
2.28,0.382777,0.382777,4.83212,4.83212
2.29,0.37609,0.37609,4.88289,4.88289
2.3,0.369771,0.369771,4.93291,4.93291
2.31,0.363825,0.363825,4.98213,4.98213
2.32,0.358258,0.358258,5.03053,5.03053
2.33,0.353075,0.353075,5.07807,5.07807
2.34,0.348282,0.348282,5.12472,5.12472
2.35,0.343882,0.343882,5.17044,5.17044
2.36,0.33988,0.33988,5.2152,5.2152
2.37,0.336281,0.336281,5.25898,5.25898
2.38,0.333088,0.333088,5.30173,5.30173
2.39,0.330305,0.330305,5.34344,5.34344
2.4,0.327935,0.327935,5.38407,5.38407
2.41,0.32598,0.32598,5.42359,5.42359
2.42,0.324445,0.324445,5.46197,5.46197
2.43,0.32333,0.32333,5.49919,5.49919
2.44,0.322639,0.322639,5.53523,5.53523
2.45,0.322373,0.322373,5.57004,5.57004
2.46,0.322533,0.322533,5.60362,5.60362
2.47,0.323121,0.323121,5.63594,5.63594
2.48,0.324138,0.324138,5.66696,5.66696
2.49,0.325584,0.325584,5.69667,5.69667
2.5,0.32746,0.32746,5.72506,5.72506
2.51,0.329765,0.329765,5.75209,5.75209
2.52,0.3325,0.3325,5.77774,5.77774
2.53,0.335663,0.335663,5.802,5.802
2.54,0.339255,0.339255,5.82486,5.82486
2.55,0.343273,0.343273,5.84628,5.84628
2.56,0.347716,0.347716,5.86626,5.86626
2.57,0.352582,0.352582,5.88479,5.88479
2.58,0.357869,0.357869,5.90183,5.90183
2.59,0.363575,0.363575,5.9174,5.9174
2.6,0.369697,0.369697,5.93146,5.93146
2.61,0.376232,0.376232,5.94401,5.94401
2.62,0.383177,0.383177,5.95504,5.95504
2.63,0.390527,0.390527,5.96454,5.96454
2.64,0.398279,0.398279,5.97251,5.97251
2.65,0.40643,0.40643,5.97892,5.97892
2.66,0.414973,0.414973,5.98379,5.98379
2.67,0.423905,0.423905,5.9871,5.9871
2.68,0.43322,0.43322,5.98885,5.98885
2.69,0.442913,0.442913,5.98903,5.98903
2.7,0.452979,0.452979,5.98765,5.98765
2.71,0.463411,0.463411,5.9847,5.9847
2.72,0.474203,0.474203,5.98019,5.98019
2.73,0.485348,0.485348,5.97411,5.97411
2.74,0.496841,0.496841,5.96647,5.96647
2.75,0.508674,0.508674,5.95727,5.95727
2.76,0.520839,0.520839,5.94652,5.94652
2.77,0.53333,0.53333,5.93422,5.93422
2.78,0.546138,0.546138,5.92038,5.92038
2.79,0.559255,0.559255,5.905,5.905
2.8,0.572674,0.572674,5.8881,5.8881
2.81,0.586385,0.586385,5.86969,5.86969
2.82,0.600381,0.600381,5.84977,5.84977
2.83,0.614652,0.614652,5.82836,5.82836
2.84,0.629188,0.629188,5.80548,5.80548
2.85,0.643982,0.643982,5.78113,5.78113
2.86,0.659022,0.659022,5.75533,5.75533
2.87,0.6743,0.6743,5.7281,5.7281
2.88,0.689805,0.689805,5.69946,5.69946
2.89,0.705528,0.705528,5.66942,5.66942
2.9,0.721458,0.721458,5.63801,5.63801
2.91,0.737584,0.737584,5.60524,5.60524
2.92,0.753897,0.753897,5.57113,5.57113
2.93,0.770385,0.770385,5.53572,5.53572
2.94,0.787037,0.787037,5.49901,5.49901
2.95,0.803842,0.803842,5.46104,5.46104
2.96,0.820789,0.820789,5.42183,5.42183
2.97,0.837868,0.837868,5.38141,5.38141
2.98,0.855065,0.855065,5.3398,5.3398
2.99,0.87237,0.87237,5.29704,5.29704
3,0.889772,0.889772,5.25314,5.25314
3.01,0.907257,0.907257,5.20815,5.20815
3.02,0.924816,0.924816,5.16208,5.16208
3.03,0.942435,0.942435,5.11498,5.11498
3.04,0.960102,0.960102,5.06688,5.06688
3.05,0.977806,0.977806,5.01779,5.01779
3.06,0.995535,0.995535,4.96777,4.96777
3.07,1.01328,1.01328,4.91685,4.91685
