Time,y1,y2,y3,u1,u2,u3,du1,du2,du3,dx1_est,dx2_est,dx3_est,u1_ideal,u2_ideal,u3_ideal
0,102.2,53.5,-0.144799,0.0521454,0.598836,0.343461,-0.218345,-0.0219845,0.00367141,3.79745,1.67759,-0.0230851,0,0,0.920924
1,102.2,53.5,-0.210812,0.0198685,0.592408,0.342586,-0.0322769,-0.00642776,-0.000875235,4.35422,2.27922,-0.0203347,0,0,0.84427
2,101.999,53.2006,-0.223017,0.0383515,0.596697,0.3414,0.018483,0.00428927,-0.00118652,4.03361,2.14264,-0.00354192,0,0,0.772673
3,101.772,52.8347,-0.217258,0.044166,0.601649,0.341786,0.00581449,0.00495166,0.000386685,3.93681,1.81801,0.00320895,0.00451877,0,0.705875
4,101.56,52.5498,-0.214375,0.0492691,0.60401,0.342092,0.00510308,0.00236177,0.000305235,3.85014,1.63415,0.00448998,0.0203607,0.259244,0.643629
5,101.353,52.347,-0.21293,0.0582207,0.605425,0.342155,0.0089516,0.00141472,6.32107e-05,3.69517,1.5104,0.00459395,0.0348314,0.438396,0.594786
6,101.149,52.1841,-0.210953,0.0647327,0.605433,0.342157,0.00651197,7.56979e-06,2.11596e-06,3.58152,1.4761,0.00254023,0.0482491,0.537277,0.556371
7,100.954,52.0446,-0.210234,0.0732291,0.607186,0.342077,0.00849647,0.00175375,-7.97212e-05,3.43459,1.35837,0.0050655,0.0607613,0.590733,0.525281
8,100.765,51.9081,-0.208141,0.0875651,0.609139,0.341545,0.014336,0.00195295,-0.000532508,3.18529,1.26451,0.0107694,0.0724725,0.618634,0.499564
9,100.584,51.7976,-0.20444,0.0925481,0.609269,0.341949,0.00498294,0.000129998,0.000404269,3.09898,1.17559,0.00549283,0.0834609,0.632285,0.477949
10,100.415,51.7134,-0.203944,0.101251,0.609593,0.34197,0.00870338,0.000323534,2.14875e-05,2.94737,1.11192,0.00334954,0.0937884,0.638105,0.459576
11,100.251,51.6296,-0.202378,0.11193,0.611075,0.341778,0.0106784,0.00148237,-0.000192285,2.76198,1.01192,0.00562847,0.103506,0.639723,0.443836
12,100.095,51.5491,-0.199716,0.120149,0.611743,0.341688,0.00821928,0.000667989,-8.9854e-05,2.61896,0.949704,0.00561424,0.112658,0.639177,0.430279
13,99.9489,51.4871,-0.198028,0.126424,0.611524,0.341756,0.0062745,-0.000219345,6.75917e-05,2.50936,0.918427,0.0024123,0.121282,0.637601,0.418561
14,99.8101,51.4315,-0.19722,0.134556,0.612373,0.341576,0.00813259,0.000849485,-0.000180066,2.36788,0.860552,0.0037811,0.129413,0.635615,0.408408
15,99.6773,51.3707,-0.195398,0.137899,0.611663,0.341751,0.00334263,-0.00071013,0.000175685,2.30918,0.853013,-0.000808874,0.137084,0.63355,0.399595
