t,y,error,u
1.360000,0.843412,0.154885,1.076318
1.370000,0.841747,0.156588,1.083259
1.380000,0.840120,0.158253,1.089486
1.390000,0.838533,0.159880,1.095027
1.400000,0.836985,0.161467,1.099909
1.410000,0.835476,0.163015,1.104160
1.420000,0.834006,0.164524,1.107806
1.430000,0.832575,0.165994,1.110874
1.440000,0.831184,0.167425,1.113390
1.450000,0.829831,0.168816,1.115380
1.460000,0.828518,0.170169,1.116869
1.470000,0.827242,0.171482,1.117882
1.480000,0.826005,0.172758,1.118443
1.490000,0.824806,0.173995,1.118576
1.500000,0.823644,0.175194,1.118304
1.510000,0.822519,0.176356,1.117649
1.520000,0.821431,0.177481,1.116634
1.530000,0.820379,0.178569,1.115281
1.540000,0.819362,0.179621,1.113611
1.550000,0.818381,0.180638,1.111643
1.560000,0.817433,0.181619,1.109398
1.570000,0.816520,0.182567,1.106895
1.580000,0.815639,0.183480,1.104152
1.590000,0.814791,0.184361,1.101189
1.600000,0.813975,0.185209,1.098021
1.610000,0.813190,0.186025,1.094667
1.620000,0.812435,0.186810,1.091142
1.630000,0.811710,0.187565,1.087462
1.640000,0.811014,0.188290,1.083642
1.650000,0.810346,0.188986,1.079697
1.660000,0.809706,0.189654,1.075641
1.670000,0.809093,0.190294,1.071486
1.680000,0.808505,0.190907,1.067247
1.690000,0.807943,0.191495,1.062934
1.700000,0.807406,0.192057,1.058560
1.710000,0.806893,0.192594,1.054136
1.720000,0.806402,0.193107,1.049673
1.730000,0.805934,0.193598,1.045181
1.740000,0.805488,0.194066,1.040669
1.750000,0.805063,0.194512,1.036146
1.760000,0.804658,0.194937,1.031621
1.770000,0.804272,0.195342,1.027103
1.780000,0.803906,0.195728,1.022598
1.790000,0.803558,0.196094,1.018115
1.800000,0.803227,0.196442,1.013659
1.810000,0.802913,0.196773,1.009238
1.820000,0.802615,0.197087,1.004857
1.830000,0.802333,0.197385,1.000522
1.840000,0.802066,0.197667,0.996237
1.850000,0.801813,0.197934,0.992009
1.860000,0.801573,0.198187,0.987840
1.870000,0.801347,0.198427,0.983735
1.880000,0.801134,0.198653,0.979698
1.890000,0.800932,0.198866,0.975732
1.900000,0.800742,0.199068,0.971841
1.910000,0.800562,0.199258,0.968026
1.920000,0.800393,0.199438,0.964291
1.930000,0.800234,0.199607,0.960637
1.940000,0.800085,0.199766,0.957067
1.950000,0.799944,0.199915,0.953582
1.960000,0.799811,0.200056,0.950183
1.970000,0.799687,0.200189,0.946872
1.980000,0.799570,0.200313,0.943649
1.990000,0.799460,0.200430,0.940516
2.000000,0.799357,0.200540,0.937473
2.010000,0.799261,0.200643,0.934519
2.020000,0.799170,0.200739,0.931656
2.030000,0.799084,0.200830,0.928883
2.040000,0.799004,0.200916,0.926200
2.050000,0.798929,0.200996,0.923607
2.060000,0.798859,0.201071,0.921102
2.070000,0.798793,0.201141,0.918687
2.080000,0.798730,0.201207,0.916359
2.090000,0.798671,0.201270,0.914118
2.100000,0.798616,0.201329,0.911963
2.110000,0.798564,0.201384,0.909893
2.120000,0.798515,0.201436,0.907906
2.130000,0.798468,0.201485,0.906002
2.140000,0.798424,0.201532,0.904179
2.150000,0.798382,0.201576,0.902435
2.160000,0.798342,0.201618,0.900770
2.170000,0.798304,0.201658,0.899181
2.180000,0.798267,0.201696,0.897667
2.190000,0.798232,0.201733,0.896227
2.200000,0.798198,0.201768,0.894858
2.210000,0.798165,0.201802,0.893559
2.220000,0.798134,0.201835,0.892329
2.230000,0.798103,0.201866,0.891165
2.240000,0.798073,0.201897,0.890065
2.250000,0.798043,0.201927,0.889029
2.260000,0.798014,0.201957,0.888053
2.270000,0.797985,0.201986,0.887137
2.280000,0.797957,0.202015,0.886278
2.290000,0.797929,0.202043,0.885474
2.300000,0.797901,0.202071,0.884725
2.310000,0.797873,0.202099,0.884027
2.320000,0.797845,0.202127,0.883379
2.330000,0.797817,0.202155,0.882779
2.340000,0.797789,0.202183,0.882226
2.350000,0.797760,0.202211,0.881717
2.360000,0.797732,0.202240,0.881252
2.370000,0.797703,0.202268,0.880827
2.380000,0.797673,0.202297,0.880443
2.390000,0.797644,0.202327,0.880095
2.400000,0.797614,0.202356,0.879785
2.410000,0.797583,0.202386,0.879508
2.420000,0.797553,0.202417,0.879265
2.430000,0.797521,0.202447,0.879052
2.440000,0.797490,0.202479,0.878870
2.450000,0.797458,0.202510,0.878716
2.460000,0.797425,0.202542,0.878589
2.470000,0.797392,0.202575,0.878487
2.480000,0.797358,0.202608,0.878409
2.490000,0.797324,0.202642,0.878354
2.500000,0.797290,0.202676,0.878320
2.510000,0.797255,0.202710,0.878307
2.520000,0.797219,0.202745,0.878312
2.530000,0.797184,0.202781,0.878335
2.540000,0.797147,0.202816,0.878374
2.550000,0.797111,0.202853,0.878428
2.560000,0.797074,0.202889,0.878497
2.570000,0.797036,0.202926,0.878579
2.580000,0.796998,0.202964,0.878673
2.590000,0.796960,0.203002,0.878778
2.600000,0.796922,0.203040,0.878893
2.610000,0.796883,0.203078,0.879018
2.620000,0.796844,0.203117,0.879151
2.630000,0.796805,0.203156,0.879292
2.640000,0.796765,0.203195,0.879439
2.650000,0.796725,0.203235,0.879592
2.660000,0.796685,0.203275,0.879751
2.670000,0.796645,0.203315,0.879914
2.680000,0.796605,0.203355,0.880081
2.690000,0.796564,0.203395,0.880251
2.700000,0.796524,0.203436,0.880424
2.710000,0.796483,0.203476,0.880599
2.720000,0.796442,0.203517,0.880776
2.730000,0.796402,0.203558,0.880953
2.740000,0.796361,0.203598,0.881132
2.750000,0.796320,0.203639,0.881310
2.760000,0.796279,0.203680,0.881488
2.770000,0.796239,0.203721,0.881665
2.780000,0.796198,0.203761,0.881841
2.790000,0.796157,0.203802,0.882015
2.800000,0.796117,0.203843,0.882188
2.810000,0.796077,0.203883,0.882359
2.820000,0.796037,0.203923,0.882527
2.830000,0.795997,0.203963,0.882692
2.840000,0.795957,0.204003,0.882855
2.850000,0.795917,0.204043,0.883015
2.860000,0.795878,0.204083,0.883171
2.870000,0.795839,0.204122,0.883324
2.880000,0.795800,0.204161,0.883473
2.890000,0.795761,0.204200,0.883618
2.900000,0.795723,0.204239,0.883760
2.910000,0.795685,0.204277,0.883897
2.920000,0.795648,0.204315,0.884031
2.930000,0.795610,0.204352,0.884160
2.940000,0.795573,0.204390,0.884284
