Time,e_rc,e_pid,u_rc,u_pid,d
4.2,0.208736,0.315502,0.816006,0.949529,-0.422164
4.3,0.137287,0.244347,0.682933,0.846587,-0.385257
4.4,0.0677991,0.172692,0.553013,0.742097,-0.342274
4.5,0.00168846,0.101944,0.428995,0.638221,-0.293893
4.6,-0.0597419,0.0334685,0.313422,0.537071,-0.240877
4.7,-0.115324,-0.0314333,0.208587,0.440674,-0.184062
4.8,-0.164045,-0.0915516,0.116496,0.350931,-0.124345
4.9,-0.20506,-0.145788,0.0388386,0.269584,-0.0626666
5,-0.237709,-0.193174,0.364962,0.198189,-1.22461e-16
5.1,-0.263391,-0.232887,0.286642,0.138086,0.0626666
5.2,-0.28328,-0.264264,0.210866,0.0903843,0.124345
5.3,-0.296524,-0.286806,0.14248,0.0559426,0.184062
5.4,-0.302384,-0.300191,0.0854977,0.0353604,0.240877
5.5,-0.300281,-0.304271,0.0432182,0.028972,0.293893
5.6,-0.289827,-0.299071,0.0182571,0.0368461,0.342274
5.7,-0.270856,-0.284787,0.0125443,0.0587895,0.385257
5.8,-0.243429,-0.261782,0.0273132,0.0943564,0.422164
5.9,-0.207849,-0.230567,0.0630958,0.14286,0.452414
6,-0.164649,-0.191799,0.11973,0.203392,0.475528
6.1,-0.114581,-0.146261,0.196383,0.274839,0.491144
6.2,-0.0585986,-0.0948476,0.291598,0.355908,0.499013
6.3,0.00217005,-0.0385454,0.403344,0.445152,0.499013
6.4,0.0664557,0.0215833,0.529098,0.540997,0.491144
6.5,0.132882,0.0844217,0.665925,0.641772,0.475528
6.6,0.200003,0.148819,0.810572,0.745738,0.452414
6.7,0.266346,0.213609,0.959574,0.851121,0.422164
6.8,0.330446,0.277633,1.10935,0.95614,0.385257
6.9,0.390889,0.339758,1.25631,1.05904,0.342274
7,0.446347,0.398893,1.39695,1.15811,0.293893
7.1,0.495612,0.454012,1.52796,1.25174,0.240877
7.2,0.537621,0.504167,1.64629,1.33841,0.184062
7.3,0.571489,0.548502,1.74924,1.41673,0.124345
7.4,0.596518,0.586268,1.83448,1.48547,0.0626666
7.5,0.61222,0.616833,1.90019,1.54357,1.83691e-16
7.6,0.618317,0.63969,1.94499,1.59015,-0.0626666
7.7,0.61475,0.654468,1.96805,1.62452,-0.124345
7.8,0.601672,0.66093,1.96901,1.64622,-0.184062
7.9,0.579438,0.65898,1.94806,1.65498,-0.240877
8,0.548597,0.648661,1.90588,1.65075,-0.293893
8.1,0.509868,0.630153,1.84358,1.6337,-0.342274
8.2,0.464125,0.603771,1.76272,1.60418,-0.385257
8.3,0.412369,0.569953,1.66523,1.56277,-0.422164
8.4,0.355706,0.529259,1.55334,1.51023,-0.452414
8.5,0.295313,0.482352,1.42956,1.44748,-0.475528
8.6,0.232419,0.429997,1.29657,1.37561,-0.491144
8.7,0.168268,0.373039,1.15718,1.29586,-0.499013
8.8,0.1041,0.312391,1.01427,1.20956,-0.499013
8.9,0.0411201,0.249024,0.870713,1.11816,-0.491144
9,-0.019524,0.183944,0.729319,1.02318,-0.475528
9.1,-0.0767626,0.11818,0.592776,0.926168,-0.452414
9.2,-0.129623,0.0527659,0.463602,0.828727,-0.422164
9.3,-0.177247,-0.0112742,0.3441,0.732438,-0.385257
9.4,-0.218901,-0.0729436,0.236319,0.638859,-0.342274
9.5,-0.253985,-0.131288,0.142023,0.5495,-0.293893
9.6,-0.282044,-0.185411,0.0626697,0.465795,-0.240877
9.7,-0.302762,-0.234486,-0.000607747,0.389081,-0.184062
9.8,-0.315971,-0.27777,-0.0470077,0.32058,-0.124345
9.9,-0.321642,-0.314616,-0.0760621,0.261378,-0.0626666
10,-0.319881,-0.34448,0.288729,0.21241,-2.44921e-16
10.1,-0.312741,-0.36693,0.261517,0.174445,0.0626666
10.2,-0.301984,-0.381653,0.235431,0.148076,0.124345
10.3,-0.287322,-0.388461,0.214469,0.133711,0.184062
10.4,-0.268482,-0.387287,0.201956,0.131567,0.240877
10.5,-0.245251,-0.378193,0.200642,0.141667,0.293893
10.6,-0.217509,-0.361365,0.212708,0.163842,0.342274
10.7,-0.185258,-0.337109,0.239758,0.197733,0.385257
10.8,-0.148636,-0.305847,0.282789,0.242798,0.422164
10.9,-0.107934,-0.26811,0.342173,0.298319,0.452414
11,-0.0635927,-0.224529,0.417661,0.363419,0.475528
11.1,-0.0161978,-0.175825,0.508393,0.437068,0.491144
11.2,0.0335291,-0.122797,0.612937,0.518107,0.499013
11.3,0.0847502,-0.0663112,0.729338,0.605262,0.499013
11.4,0.136534,-0.00728446,0.855195,0.697166,0.491144
11.5,0.187881,0.053328,0.987735,0.79238,0.475528
11.6,0.237756,0.114549,1.12391,0.889414,0.452414
11.7,0.285115,0.175392,1.2605,0.986756,0.422164
11.8,0.32894,0.234881,1.39422,1.08289,0.385257
11.9,0.368268,0.292062,1.52179,1.17631,0.342274
12,0.402221,0.346018,1.64007,1.26558,0.293893
12.1,0.43003,0.395886,1.74615,1.3493,0.240877
12.2,0.451059,0.440868,1.83741,1.42618,0.184062
12.3,0.464821,0.480244,1.91159,1.49505,0.124345
12.4,0.470995,0.513383,1.96689,1.55482,0.0626666
12.5,0.469429,0.539753,2.00194,1.6046,3.06152e-16
12.6,0.46015,0.558929,2.0159,1.64362,-0.0626666
12.7,0.443355,0.570599,2.00845,1.67128,-0.124345
12.8,0.41941,0.57457,1.97974,1.68719,-0.184062
12.9,0.388837,0.570771,1.93046,1.69112,-0.240877
13,0.352296,0.559252,1.86174,1.68302,-0.293893
13.1,0.310572,0.540184,1.77517,1.66304,-0.342274
13.2,0.264552,0.513857,1.67267,1.63153,-0.385257
13.3,0.215198,0.480675,1.55653,1.589,-0.422164
13.4,0.163528,0.441149,1.42927,1.53614,-0.452414
13.5,0.11059,0.395891,1.29361,1.4738,-0.475528
13.6,0.0574333,0.345601,1.15239,1.40298,-0.491144
13.7,0.00509044,0.291058,1.00852,1.32481,-0.499013
13.8,-0.0454494,0.233108,0.864869,1.24054,-0.499013
13.9,-0.0932592,0.17265,0.724249,1.15151,-0.491144
14,-0.137493,0.110623,0.589331,1.05913,-0.475528
14.1,-0.177399,0.047988,0.462598,0.964871,-0.452414
14.2,-0.212337,-0.0142819,0.346299,0.870231,-0.422164
14.3,-0.241781,-0.075221,0.242412,0.776708,-0.385257
14.4,-0.265332,-0.133885,0.152611,0.685787,-0.342274
14.5,-0.282714,-0.189364,0.0782485,0.598908,-0.293893
14.6,-0.293783,-0.2408,0.0203389,0.51745,-0.240877
14.7,-0.298514,-0.287398,-0.0204463,0.442704,-0.184062
14.8,-0.297003,-0.328438,-0.043776,0.375855,-0.124345
14.9,-0.289458,-0.36329,-0.049651,0.317967,-0.0626666
15,-0.276188,-0.391418,0.326681,0.269957,-3.67382e-16
15.1,-0.259357,-0.412394,0.321799,0.232592,0.0626666
15.2,-0.240807,-0.425902,0.316081,0.206467,0.124345
15.3,-0.220347,-0.431743,0.313332,0.192002,0.184062
15.4,-0.197753,-0.429837,0.316791,0.189435,0.240877
15.5,-0.172814,-0.420229,0.329198,0.198813,0.293893
15.6,-0.145374,-0.403083,0.352781,0.219998,0.342274
15.7,-0.11536,-0.378681,0.389217,0.252665,0.385257
15.8,-0.0828043,-0.347419,0.439595,0.296307,0.422164
15.9,-0.0478642,-0.309803,0.504383,0.350247,0.452414
16,-0.0108241,-0.266436,0.583419,0.413644,0.475528
16.1,0.0279028,-0.218012,0.67592,0.485508,0.491144
16.2,0.0677825,-0.165306,0.780511,0.564715,0.499013
16.3,0.108175,-0.109159,0.895283,0.650029,0.499013
16.4,0.148352,-0.0504654,1.01786,0.740113,0.491144
16.5,0.187523,0.00983935,1.1455,0.833558,0.475528
16.6,0.22486,0.0707951,1.27517,0.928901,0.452414
16.7,0.259529,0.131431,1.40367,1.02465,0.422164
16.8,0.290715,0.190783,1.52774,1.1193,0.385257
16.9,0.317657,0.247906,1.64416,1.21138,0.342274
17,0.339667,0.30189,1.74987,1.29943,0.293893
17.1,0.356162,0.351876,1.84205,1.38209,0.240877
17.2,0.366679,0.397065,1.91823,1.45806,0.184062
17.3,0.370893,0.436738,1.97633,1.52615,0.124345
17.4,0.368629,0.47026,2.01473,1.58529,0.0626666
17.5,0.359869,0.497094,2.03234,1.63457,4.28612e-16
17.6,0.34475,0.516808,2.02858,1.67321,-0.0626666
17.7,0.323566,0.529082,2.00341,1.70061,-0.124345
17.8,0.296754,0.533715,1.95734,1.71635,-0.184062
17.9,0.264883,0.530625,1.89137,1.72019,-0.240877
18,0.228641,0.519852,1.80696,1.71208,-0.293893
18.1,0.188812,0.501557,1.70602,1.69215,-0.342274
18.2,0.146253,0.476021,1.59079,1.66072,-0.385257
18.3,0.101875,0.443637,1.46383,1.61829,-0.422164
18.4,0.0566158,0.404907,1.32791,1.56555,-0.452414
18.5,0.0114179,0.360435,1.18594,1.50333,-0.475528
18.6,-0.0327974,0.310913,1.04091,1.43261,-0.491144
18.7,-0.0751498,0.257113,0.895831,1.35452,-0.499013
18.8,-0.114821,0.199877,0.753602,1.2703,-0.499013
18.9,-0.151072,0.140098,0.617008,1.18128,-0.491144
19,-0.183259,0.0787111,0.488632,1.08888,-0.475528
19.1,-0.210842,0.0166767,0.370813,0.994544,-0.452414
19.2,-0.233397,-0.0450349,0.265597,0.899779,-0.422164
19.3,-0.250617,-0.105458,0.174711,0.806083,-0.385257
19.4,-0.262318,-0.163647,0.0995379,0.71494,-0.342274
19.5,-0.268434,-0.218693,0.0411004,0.627791,-0.293893
19.6,-0.269017,-0.269733,5.84671e-05,0.546019,-0.240877
19.7,-0.264223,-0.315971,-0.0232874,0.470918,-0.184062
19.8,-0.254312,-0.356684,-0.0289845,0.403678,-0.124345
19.9,-0.239631,-0.391237,-0.0174091,0.345366,-0.0626666
