Time,x1_true,x1_ekf,x1_ukf,err_ekf,err_ukf
0,102.2,101.364,101.364,0.836047,0.836047
1,102.195,101.661,101.661,0.533526,0.533526
2,102.199,101.788,101.788,0.411363,0.411364
3,102.172,101.775,101.775,0.396775,0.396776
4,102.182,101.98,101.98,0.201986,0.201987
5,102.165,102.009,102.009,0.155588,0.155589
6,102.134,102.062,102.062,0.0713082,0.071309
7,102.135,102.033,102.033,0.10279,0.102791
8,102.124,102.025,102.025,0.0995274,0.0995283
9,102.111,102.056,102.056,0.0550267,0.0550276
10,102.09,102.068,102.068,0.0224181,0.0224191
11,102.068,102.05,102.05,0.0180113,0.0180122
12,102.076,102.048,102.048,0.0283839,0.0283848
13,102.065,101.989,101.989,0.0760125,0.0760135
14,102.054,101.998,101.998,0.0555831,0.0555841
15,102.052,101.987,101.987,0.0649827,0.0649837
16,102.045,101.997,101.997,0.0472738,0.0472748
17,102.036,101.923,101.923,0.113043,0.113044
18,102.015,101.932,101.932,0.0826001,0.0826011
19,102.01,101.93,101.93,0.0803989,0.0804
20,102.005,101.944,101.944,0.0604497,0.0604507
21,102.009,101.908,101.908,0.101136,0.101137
22,101.993,101.908,101.908,0.0844833,0.0844844
23,101.996,101.878,101.878,0.118462,0.118463
24,101.982,101.888,101.888,0.09445,0.0944511
25,101.968,101.849,101.849,0.119348,0.119349
26,101.965,101.827,101.827,0.13759,0.137591
27,101.939,101.832,101.832,0.106736,0.106737
28,101.932,101.818,101.818,0.113755,0.113756
29,101.929,101.791,101.791,0.138435,0.138436
30,101.924,101.781,101.781,0.1421,0.142101
31,101.908,101.775,101.775,0.132918,0.132919
32,101.886,101.786,101.786,0.0991219,0.0991229
33,101.88,101.777,101.777,0.102989,0.10299
34,101.858,101.8,101.8,0.05787,0.057871
35,101.837,101.804,101.804,0.0328121,0.0328131
36,101.828,101.794,101.794,0.0343981,0.0343991
37,101.825,101.761,101.761,0.063819,0.06382
38,101.83,101.721,101.721,0.10879,0.108791
39,101.818,101.699,101.699,0.118939,0.118939
40,101.803,101.682,101.682,0.120868,0.120869
41,101.797,101.64,101.64,0.156476,0.156477
42,101.785,101.623,101.623,0.161841,0.161842
43,101.779,101.625,101.625,0.153662,0.153663
44,101.764,101.618,101.618,0.146365,0.146366
45,101.746,101.638,101.638,0.10818,0.108181
46,101.746,101.642,101.642,0.103388,0.103389
47,101.744,101.635,101.635,0.109193,0.109194
48,101.714,101.646,101.646,0.0681815,0.0681824
49,101.701,101.632,101.632,0.0694481,0.069449
50,101.692,101.621,101.621,0.0713475,0.0713484
51,101.7,101.615,101.615,0.0858822,0.085883
52,101.68,101.622,101.622,0.0573024,0.0573032
53,101.663,101.603,101.603,0.0594924,0.0594932
54,101.658,101.595,101.595,0.0629583,0.0629591
55,101.635,101.584,101.584,0.0503035,0.0503043
56,101.608,101.572,101.572,0.0363133,0.0363141
57,101.602,101.574,101.574,0.0275675,0.0275683
58,101.613,101.546,101.546,0.066495,0.0664958
59,101.615,101.544,101.544,0.0709146,0.0709154
60,101.603,101.53,101.53,0.0725676,0.0725684
61,101.601,101.535,101.535,0.0654704,0.0654712
62,101.58,101.546,101.546,0.0339126,0.0339134
63,101.599,101.536,101.536,0.0632319,0.0632327
64,101.563,101.51,101.51,0.0532731,0.0532739
65,101.562,101.503,101.503,0.0587633,0.0587641
66,101.567,101.501,101.501,0.0661355,0.0661363
67,101.556,101.479,101.479,0.0771896,0.0771904
68,101.547,101.472,101.472,0.0754313,0.0754321
69,101.53,101.463,101.463,0.0673622,0.0673629
70,101.526,101.471,101.471,0.0554889,0.0554896
71,101.503,101.458,101.458,0.0444083,0.0444091
72,101.504,101.472,101.472,0.0321054,0.0321062
73,101.486,101.464,101.464,0.0222167,0.0222174
74,101.469,101.466,101.466,0.00292615,0.00292688
75,101.474,101.446,101.446,0.0279404,0.0279411
76,101.468,101.45,101.45,0.0176566,0.0176573
77,101.461,101.447,101.447,0.0142325,0.0142332
78,101.448,101.453,101.453,-0.00506105,-0.00506035
79,101.437,101.45,101.45,-0.0129662,-0.0129655
80,101.429,101.432,101.432,-0.0027029,-0.0027022
81,101.426,101.422,101.422,0.00380215,0.00380284
82,101.417,101.415,101.415,0.00215166,0.00215233
83,101.414,101.411,101.411,0.00370229,0.00370295
84,101.4,101.41,101.41,-0.0104436,-0.0104429
85,101.392,101.382,101.382,0.010551,0.0105516
86,101.382,101.369,101.369,0.0129102,0.0129108
87,101.365,101.354,101.354,0.0108656,0.0108662
88,101.363,101.359,101.359,0.00400551,0.00400611
89,101.36,101.372,101.372,-0.0117367,-0.0117361
90,101.363,101.371,101.371,-0.00733984,-0.00733926
91,101.368,101.378,101.378,-0.0101278,-0.0101272
92,101.357,101.37,101.37,-0.0127589,-0.0127584
93,101.348,101.362,101.362,-0.0140098,-0.0140093
94,101.354,101.349,101.349,0.00510687,0.0051074
95,101.346,101.337,101.337,0.00909518,0.00909573
96,101.342,101.337,101.337,0.00486733,0.00486788
97,101.329,101.323,101.323,0.00608721,0.00608776
98,101.322,101.308,101.308,0.0141484,0.0141489
99,101.303,101.312,101.312,-0.0091483,-0.00914775
100,101.293,101.293,101.293,0.000393996,0.00039454
101,101.284,101.284,101.284,0.000181826,0.000182376
102,101.268,101.264,101.264,0.00406587,0.00406643
103,101.264,101.244,101.244,0.0195618,0.0195624
104,101.249,101.235,101.235,0.0138268,0.0138273
105,101.254,101.212,101.212,0.041364,0.0413645
106,101.252,101.216,101.216,0.035836,0.0358366
107,101.241,101.21,101.21,0.0307549,0.0307555
108,101.231,101.196,101.196,0.0346644,0.0346649
109,101.21,101.189,101.189,0.0217102,0.0217107
110,101.201,101.183,101.183,0.017811,0.0178116
111,101.202,101.17,101.17,0.0317837,0.0317842
112,101.195,101.155,101.155,0.0407505,0.0407511
113,101.185,101.142,101.142,0.0428679,0.0428684
114,101.182,101.13,101.13,0.0522348,0.0522353
115,101.176,101.13,101.13,0.045616,0.0456165
116,101.154,101.114,101.114,0.0405758,0.0405763
117,101.14,101.12,101.12,0.0204735,0.020474
118,101.127,101.127,101.127,0.000218526,0.000219039
119,101.118,101.104,101.104,0.0139005,0.013901
120,101.106,101.085,101.085,0.0214709,0.0214714
121,101.097,101.055,101.055,0.0418193,0.0418198
122,101.096,101.046,101.046,0.049883,0.0498835
123,101.096,101.05,101.05,0.0465398,0.0465403
124,101.095,101.038,101.038,0.0564829,0.0564834
125,101.081,101.017,101.017,0.0633427,0.0633432
126,101.076,101.002,101.002,0.0734403,0.0734408
127,101.067,100.967,100.967,0.100068,0.100069
128,101.075,100.966,100.966,0.108877,0.108878
129,101.086,100.978,100.978,0.107787,0.107787
130,101.078,100.971,100.971,0.10662,0.10662
131,101.065,100.973,100.973,0.0920728,0.0920733
132,101.075,100.982,100.982,0.0936331,0.0936336
133,101.067,100.971,100.971,0.0957334,0.0957339
134,101.045,100.978,100.978,0.0674395,0.06744
135,101.044,100.984,100.984,0.0596967,0.0596972
136,101.046,100.982,100.982,0.0633461,0.0633466
137,101.018,100.987,100.987,0.0308344,0.0308349
138,100.998,100.966,100.966,0.0327348,0.0327353
139,101.007,100.959,100.959,0.0485337,0.0485342
140,101.008,100.956,100.956,0.0519812,0.0519818
141,100.999,100.954,100.954,0.0443357,0.0443362
142,100.988,100.945,100.945,0.0426164,0.0426169
143,100.968,100.93,100.93,0.0379722,0.0379728
144,100.963,100.903,100.903,0.0593693,0.0593698
145,100.962,100.897,100.897,0.0650478,0.0650483
146,100.95,100.893,100.893,0.0571622,0.0571628
147,100.93,100.879,100.879,0.0512009,0.0512014
148,100.927,100.891,100.891,0.036126,0.0361265
149,100.896,100.888,100.888,0.00743734,0.00743786
150,100.896,100.886,100.886,0.0101274,0.010128
151,100.892,100.874,100.874,0.0177312,0.0177317
152,100.891,100.862,100.862,0.0290632,0.0290637
153,100.873,100.844,100.844,0.0292237,0.0292242
154,100.849,100.851,100.851,-0.00242359,-0.00242306
155,100.826,100.851,100.851,-0.0252784,-0.0252779
156,100.829,100.842,100.842,-0.0129555,-0.012955
157,100.822,100.824,100.824,-0.00239448,-0.00239398
158,100.812,100.829,100.829,-0.0167634,-0.0167629
159,100.805,100.809,100.809,-0.00351872,-0.00351823
160,100.789,100.809,100.809,-0.0203172,-0.0203167
161,100.781,100.788,100.788,-0.00693199,-0.0069315
162,100.778,100.776,100.776,0.00111025,0.00111074
163,100.771,100.776,100.776,-0.00488121,-0.00488071
164,100.768,100.76,100.76,0.00771852,0.007719
165,100.761,100.765,100.765,-0.00446442,-0.00446396
166,100.742,100.768,100.768,-0.0257475,-0.0257471
167,100.729,100.749,100.749,-0.0197532,-0.0197527
168,100.727,100.737,100.737,-0.0102638,-0.0102634
169,100.71,100.732,100.732,-0.0213709,-0.0213704
170,100.701,100.726,100.726,-0.0253203,-0.0253199
171,100.714,100.72,100.72,-0.00572325,-0.00572281
172,100.704,100.715,100.715,-0.0106851,-0.0106847
173,100.699,100.713,100.713,-0.0139784,-0.013978
174,100.694,100.708,100.708,-0.0143195,-0.0143191
175,100.69,100.681,100.681,0.00887324,0.00887367
176,100.672,100.674,100.674,-0.00259257,-0.00259215
