Time,x1_true,x1_ekf,x1_ukf,err_ekf,err_ukf
177,100.68,100.659,100.659,0.0209901,0.0209905
178,100.694,100.646,100.646,0.048633,0.0486334
179,100.695,100.641,100.641,0.0536035,0.0536039
180,100.704,100.644,100.644,0.0601804,0.0601808
181,100.676,100.644,100.644,0.0326276,0.032628
182,100.675,100.632,100.632,0.0433971,0.0433975
183,100.645,100.616,100.616,0.0293713,0.0293717
184,100.636,100.605,100.605,0.0314705,0.0314709
185,100.639,100.597,100.597,0.0418157,0.0418161
186,100.63,100.602,100.602,0.0278322,0.0278326
187,100.604,100.591,100.591,0.0131677,0.0131682
188,100.601,100.584,100.584,0.0177575,0.0177579
189,100.601,100.563,100.563,0.0378869,0.0378873
190,100.589,100.551,100.551,0.0382498,0.0382502
191,100.566,100.543,100.543,0.0234515,0.0234519
192,100.57,100.523,100.523,0.0465034,0.0465038
193,100.562,100.543,100.543,0.019405,0.0194055
194,100.569,100.532,100.532,0.0372502,0.0372506
195,100.55,100.525,100.525,0.0252377,0.0252381
196,100.537,100.533,100.533,0.00436753,0.00436794
197,100.526,100.531,100.531,-0.0055566,-0.00555619
198,100.51,100.515,100.515,-0.00554997,-0.00554954
199,100.505,100.485,100.485,0.0198307,0.0198312
200,100.489,100.475,100.475,0.0138455,0.0138459
201,100.475,100.466,100.466,0.00931946,0.00931988
202,100.462,100.462,100.462,-0.000502609,-0.000502193
203,100.463,100.446,100.446,0.0177546,0.017755
204,100.468,100.44,100.44,0.0280807,0.0280811
205,100.455,100.429,100.429,0.0265813,0.0265817
206,100.438,100.422,100.422,0.0155024,0.0155028
207,100.419,100.414,100.414,0.00488262,0.00488303
208,100.412,100.408,100.408,0.00390222,0.00390262
209,100.398,100.399,100.399,-0.00132137,-0.00132095
210,100.394,100.375,100.375,0.0191234,0.0191238
211,100.398,100.393,100.393,0.00504116,0.00504159
212,100.399,100.385,100.385,0.0137846,0.013785
213,100.388,100.373,100.373,0.015576,0.0155764
214,100.372,100.363,100.363,0.00906545,0.00906589
215,100.378,100.357,100.357,0.020875,0.0208754
216,100.364,100.362,100.362,0.00165069,0.00165112
217,100.347,100.363,100.363,-0.0161507,-0.0161503
218,100.345,100.355,100.355,-0.0105733,-0.0105728
219,100.356,100.344,100.344,0.0116685,0.011669
220,100.342,100.337,100.337,0.00483345,0.00483388
221,100.334,100.311,100.311,0.0236121,0.0236126
222,100.333,100.304,100.304,0.0297464,0.0297468
223,100.337,100.297,100.297,0.0405773,0.0405778
224,100.331,100.288,100.288,0.0426717,0.0426721
225,100.311,100.278,100.278,0.0324142,0.0324146
226,100.301,100.263,100.263,0.0381903,0.0381908
227,100.264,100.247,100.247,0.0171176,0.0171181
228,100.261,100.245,100.245,0.0162203,0.0162207
229,100.252,100.253,100.253,-0.00185704,-0.00185659
230,100.259,100.249,100.249,0.010165,0.0101655
231,100.261,100.229,100.229,0.0321545,0.0321549
232,100.27,100.229,100.229,0.040594,0.0405944
233,100.238,100.209,100.209,0.0287926,0.028793
234,100.246,100.201,100.201,0.0447739,0.0447744
235,100.227,100.192,100.192,0.0346012,0.0346016
236,100.21,100.176,100.176,0.0337682,0.0337686
237,100.206,100.153,100.153,0.0535488,0.0535492
238,100.21,100.135,100.135,0.0756134,0.0756138
239,100.21,100.136,100.136,0.0742608,0.0742612
240,100.2,100.121,100.121,0.078846,0.0788464
241,100.199,100.12,100.12,0.0789494,0.0789498
242,100.195,100.121,100.121,0.0733693,0.0733697
243,100.199,100.112,100.112,0.0867599,0.0867604
244,100.184,100.101,100.101,0.0822596,0.08226
245,100.177,100.086,100.086,0.0908673,0.0908678
246,100.154,100.082,100.082,0.0720931,0.0720936
247,100.151,100.083,100.083,0.0673995,0.0674
248,100.141,100.066,100.066,0.0747893,0.0747898
249,100.138,100.046,100.046,0.0923762,0.0923766
250,100.123,100.041,100.041,0.0820192,0.0820196
251,100.125,100.045,100.045,0.0798153,0.0798158
252,100.136,100.05,100.05,0.0861243,0.0861247
253,100.116,100.033,100.033,0.0826709,0.0826713
254,100.111,100.03,100.03,0.0811529,0.0811533
255,100.11,100.021,100.021,0.0890901,0.0890906
256,100.103,99.9982,99.9982,0.104809,0.10481
257,100.099,99.9782,99.9782,0.120524,0.120524
258,100.083,99.9725,99.9725,0.11039,0.110391
259,100.082,99.9619,99.9619,0.119901,0.119901
260,100.078,99.9464,99.9464,0.131987,0.131987
261,100.069,99.9569,99.9569,0.112633,0.112634
262,100.065,99.953,99.953,0.111707,0.111708
263,100.066,99.9497,99.9497,0.115877,0.115878
264,100.044,99.9334,99.9334,0.111088,0.111088
265,100.038,99.9369,99.9369,0.101624,0.101625
266,100.011,99.9319,99.9319,0.079121,0.0791214
267,99.9954,99.9283,99.9283,0.0670286,0.067029
268,99.9772,99.9427,99.9427,0.0344628,0.0344632
269,99.949,99.9493,99.9493,-0.00033651,-0.000336078
270,99.9354,99.9516,99.9516,-0.0161882,-0.0161878
271,99.9296,99.9563,99.9563,-0.0266734,-0.026673
272,99.9122,99.9504,99.9504,-0.0381919,-0.0381915
273,99.9121,99.9537,99.9537,-0.041584,-0.0415836
274,99.8985,99.9601,99.9601,-0.0615852,-0.0615848
275,99.9085,99.952,99.952,-0.0435023,-0.0435019
276,99.9034,99.9429,99.9429,-0.0395652,-0.0395647
277,99.9165,99.9274,99.9274,-0.0108972,-0.0108968
278,99.9082,99.9258,99.9258,-0.0175846,-0.0175842
279,99.8929,99.928,99.928,-0.0351817,-0.0351813
280,99.8826,99.925,99.925,-0.0424033,-0.0424029
281,99.8859,99.9177,99.9177,-0.0318449,-0.0318445
282,99.884,99.9189,99.9189,-0.0349098,-0.0349094
283,99.8777,99.9123,99.9123,-0.0346014,-0.034601
284,99.8804,99.9051,99.9051,-0.0246997,-0.0246993
285,99.8725,99.8838,99.8838,-0.0113211,-0.0113206
286,99.8778,99.883,99.883,-0.00520038,-0.00519997
287,99.8631,99.8873,99.8873,-0.0242051,-0.0242047
288,99.8508,99.8876,99.8876,-0.0367047,-0.0367043
289,99.829,99.8913,99.8913,-0.0622598,-0.0622594
290,99.8294,99.8954,99.8954,-0.0660016,-0.0660012
291,99.8164,99.892,99.892,-0.0756539,-0.0756535
292,99.8254,99.8855,99.8855,-0.060161,-0.0601606
293,99.8109,99.8916,99.8916,-0.0807031,-0.0807028
294,99.8005,99.8839,99.8839,-0.0833651,-0.0833647
295,99.8059,99.8767,99.8767,-0.070747,-0.0707466
296,99.8014,99.8699,99.8699,-0.0685337,-0.0685333
297,99.7834,99.8528,99.8528,-0.0693955,-0.0693951
298,99.766,99.8419,99.8419,-0.0759689,-0.0759685
299,99.7659,99.8203,99.8203,-0.0544332,-0.0544328
300,99.7658,99.8029,99.8029,-0.0370785,-0.0370781
301,99.7608,99.8036,99.8036,-0.0428318,-0.0428314
302,99.7704,99.8033,99.8033,-0.0329226,-0.0329222
303,99.7793,99.7989,99.7989,-0.0196074,-0.019607
304,99.7705,99.799,99.799,-0.0285247,-0.0285243
305,99.773,99.8066,99.8066,-0.0335537,-0.0335533
306,99.7746,99.7965,99.7965,-0.0218821,-0.0218817
307,99.7725,99.7891,99.7891,-0.0165788,-0.0165784
308,99.7676,99.7773,99.7773,-0.00973458,-0.00973418
309,99.7583,99.7779,99.7779,-0.0196186,-0.0196182
310,99.7568,99.7558,99.7558,0.00106207,0.00106248
311,99.7635,99.7391,99.7391,0.0244407,0.0244411
312,99.7551,99.7193,99.7193,0.0357409,0.0357413
313,99.7518,99.7144,99.7144,0.0373715,0.0373719
314,99.7209,99.6955,99.6955,0.0253947,0.0253951
315,99.7221,99.6915,99.6915,0.0306108,0.0306112
316,99.7057,99.6779,99.6779,0.0278321,0.0278325
317,99.6723,99.6726,99.6726,-0.000337002,-0.000336582
318,99.6715,99.6614,99.6614,0.0101477,0.0101482
319,99.667,99.6607,99.6607,0.00630388,0.00630432
320,99.6427,99.6735,99.6735,-0.0308021,-0.0308017
321,99.6569,99.6629,99.6629,-0.00602295,-0.00602252
322,99.6513,99.6463,99.6463,0.0049792,0.00497963
323,99.6457,99.6352,99.6352,0.0105674,0.0105678
324,99.6374,99.6196,99.6196,0.0178351,0.0178356
325,99.6353,99.6326,99.6326,0.0027002,0.00270064
326,99.6386,99.6347,99.6347,0.00392737,0.00392782
327,99.6285,99.6173,99.6173,0.0111425,0.0111429
328,99.6124,99.5911,99.5911,0.0212963,0.0212968
329,99.6006,99.5851,99.5851,0.015458,0.0154585
330,99.6011,99.5951,99.5951,0.00604699,0.00604746
331,99.5923,99.5861,99.5861,0.00627503,0.00627549
332,99.5828,99.5771,99.5771,0.00569707,0.00569753
333,99.5932,99.5739,99.5739,0.0192879,0.0192884
334,99.5927,99.5726,99.5726,0.0200781,0.0200786
335,99.5983,99.5704,99.5704,0.0278845,0.027885
336,99.59,99.5623,99.5623,0.027736,0.0277365
337,99.6061,99.5575,99.5575,0.048567,0.0485675
338,99.5971,99.5548,99.5548,0.0422681,0.0422686
339,99.5665,99.5567,99.5567,0.00974424,0.00974474
340,99.5635,99.5535,99.5535,0.0100673,0.0100678
341,99.5565,99.5484,99.5484,0.00811456,0.00811505
342,99.5423,99.5258,99.5258,0.0164131,0.0164136
343,99.5299,99.5154,99.5154,0.0144831,0.0144835
344,99.5289,99.5334,99.5334,-0.00451962,-0.00451915
345,99.5236,99.5415,99.5415,-0.01788,-0.0178795
346,99.5178,99.5163,99.5163,0.00149612,0.00149658
347,99.5181,99.4961,99.4961,0.0219606,0.021961
348,99.5319,99.4832,99.4832,0.0487332,0.0487337
349,99.5283,99.4795,99.4795,0.0488067,0.0488071
350,99.5135,99.4777,99.4777,0.035859,0.0358594
351,99.4973,99.477,99.477,0.0202931,0.0202936
352,99.4877,99.458,99.458,0.0296857,0.0296861
353,99.4757,99.4754,99.4754,0.000325615,0.000326045
354,99.4837,99.493,99.493,-0.00928508,-0.00928466
355,99.4556,99.475,99.475,-0.0193577,-0.0193572
356,99.4592,99.4718,99.4718,-0.0126181,-0.0126177
357,99.4503,99.4495,99.4495,0.000784031,0.000784457
358,99.441,99.4443,99.4443,-0.00338002,-0.00337959
359,99.4254,99.4376,99.4376,-0.0121872,-0.0121868
360,99.4136,99.433,99.433,-0.0194104,-0.01941
361,99.3891,99.4231,99.4231,-0.0339605,-0.03396
362,99.3782,99.4204,99.4204,-0.0422193,-0.0422188
363,99.3662,99.4271,99.4271,-0.0608761,-0.0608757
364,99.3675,99.4246,99.4246,-0.0571349,-0.0571345
365,99.3514,99.4331,99.4331,-0.0817163,-0.0817158
366,99.3212,99.4371,99.4371,-0.115894,-0.115893
367,99.3181,99.4336,99.4336,-0.115463,-0.115463
368,99.3065,99.42,99.42,-0.11349,-0.113489
369,99.3169,99.4308,99.4308,-0.113835,-0.113835
370,99.3207,99.4292,99.4292,-0.108446,-0.108446
371,99.3108,99.413,99.413,-0.10223,-0.102229
372,99.3091,99.4065,99.4065,-0.0973579,-0.0973574
373,99.2958,99.4021,99.4021,-0.106337,-0.106337
374,99.2859,99.3875,99.3875,-0.101515,-0.101514
375,99.2826,99.3713,99.3713,-0.0887886,-0.0887881
376,99.2797,99.3636,99.3636,-0.0838923,-0.0838919
377,99.28,99.3726,99.3726,-0.0926196,-0.0926191
378,99.2504,99.3554,99.3554,-0.105015,-0.105014
379,99.2174,99.3461,99.3461,-0.128713,-0.128712
380,99.217,99.3356,99.3356,-0.118639,-0.118639
381,99.2385,99.3222,99.3222,-0.0836828,-0.0836824
382,99.2,99.318,99.318,-0.118034,-0.118033
383,99.1795,99.3034,99.3034,-0.123898,-0.123897
384,99.1733,99.2909,99.2909,-0.117558,-0.117557
385,99.1646,99.3014,99.3014,-0.136761,-0.136761
386,99.1593,99.3041,99.3041,-0.144761,-0.14476
387,99.1631,99.3003,99.3003,-0.137193,-0.137193
388,99.1527,99.2662,99.2662,-0.11348,-0.11348
389,99.1544,99.2712,99.2712,-0.116806,-0.116805
390,99.1619,99.2626,99.2626,-0.100724,-0.100724
391,99.1438,99.2576,99.2576,-0.113797,-0.113797
392,99.1493,99.2457,99.2457,-0.0963648,-0.0963643
393,99.1485,99.2556,99.2556,-0.107141,-0.10714
394,99.148,99.2549,99.2549,-0.10689,-0.10689
395,99.1516,99.236,99.236,-0.0843819,-0.0843814
396,99.1363,99.2279,99.2279,-0.0916202,-0.0916197
397,99.1465,99.2345,99.2345,-0.0879984,-0.0879979
398,99.1469,99.2392,99.2392,-0.0922979,-0.0922975
399,99.151,99.2254,99.2254,-0.0744501,-0.0744497
400,99.1405,99.2363,99.2363,-0.0957453,-0.0957449
