Time,y1,y2,y3,u1,u2,u3,du1,du2,du3
19,98.3494,50.202,-0.205891,0.0929856,0.629161,0.3674,0.00613593,0.00921071,-7.60257e-05
20,98.1776,50.2879,-0.200668,0.0996162,0.620526,0.367804,0.00663064,-0.00863463,0.000403047
21,98.009,50.4723,-0.20368,0.106382,0.608926,0.368704,0.00676592,-0.0115998,0.000900745
22,97.8493,50.5186,-0.207919,0.11291,0.60847,0.369571,0.0065282,-0.000456035,0.000867069
23,97.6995,50.4039,-0.206897,0.119208,0.617391,0.370048,0.00629734,0.00892067,0.000476688
24,97.5559,50.2865,-0.201544,0.125537,0.624235,0.370292,0.00632983,0.00684452,0.000243932
25,97.4155,50.2853,-0.197184,0.132053,0.622878,0.370665,0.00651515,-0.00135702,0.000372797
26,97.279,50.3624,-0.196594,0.138647,0.617689,0.371286,0.00659424,-0.00518954,0.000620931
27,97.1489,50.4066,-0.197703,0.145129,0.615943,0.371969,0.0064822,-0.00174582,0.000683814
28,97.0266,50.3736,-0.197169,0.151442,0.619183,0.37251,0.00631249,0.00323975,0.000540823
29,96.9109,50.3148,-0.194329,0.157674,0.623141,0.372909,0.00623195,0.00395805,0.000398815
30,96.8,50.2959,-0.191171,0.163915,0.623942,0.373315,0.0062419,0.000801086,0.000406176
31,96.6936,50.3219,-0.189458,0.170151,0.622155,0.373825,0.00623539,-0.00178701,0.000509441
32,96.5929,50.3491,-0.188908,0.176296,0.620937,0.374392,0.00614506,-0.00121754,0.000567377
33,96.4984,50.3453,-0.188068,0.182299,0.621925,0.374919,0.00600339,0.000987232,0.000527263
34,96.41,50.3212,-0.186209,0.18818,0.623908,0.375376,0.0058811,0.00198382,0.000456393
35,96.3267,50.3066,-0.183899,0.193981,0.624935,0.375812,0.00580046,0.00102621,0.000436008
36,96.2483,50.3133,-0.182031,0.199707,0.624603,0.376282,0.00572613,-0.000331402,0.00047037
37,96.1749,50.3275,-0.180779,0.205327,0.624053,0.376786,0.00562041,-0.000550389,0.000504225
38,96.1069,50.3318,-0.179619,0.210811,0.624307,0.377285,0.0054832,0.000253797,0.000498712
39,96.0441,50.3249,-0.178091,0.216154,0.625215,0.377753,0.00534335,0.000908017,0.000468314
40,95.9863,50.3181,-0.176271,0.221373,0.625951,0.378203,0.00521876,0.000736415,0.000449836
41,95.9331,50.3198,-0.17454,0.226475,0.626088,0.37866,0.00510274,0.000136971,0.000457078
42,95.8843,50.3274,-0.173088,0.231451,0.625937,0.379133,0.00497608,-0.000151217,0.000472397
43,95.8402,50.333,-0.171772,0.236285,0.626003,0.379608,0.00483391,6.62208e-05,0.0004749
44,95.8007,50.3335,-0.170366,0.240971,0.626394,0.380071,0.00468579,0.000390768,0.000463456
45,95.7654,50.3325,-0.168822,0.245513,0.62682,0.380523,0.00454232,0.000426114,0.000452131
46,95.7343,50.3344,-0.167277,0.249917,0.627019,0.380974,0.00440395,0.000198662,0.000450939
47,95.7072,50.3394,-0.165849,0.254181,0.627025,0.38143,0.00426348,6.25849e-06,0.000456214
48,95.6839,50.3449,-0.164521,0.258298,0.627048,0.381889,0.00411659,2.34246e-05,0.000458747
49,95.6645,50.3484,-0.1632,0.262264,0.627201,0.382344,0.00396642,0.00015229,0.000454873
50,95.6487,50.3508,-0.161837,0.266081,0.627406,0.382793,0.00381663,0.000205338,0.000448912
51,95.6364,50.3539,-0.160466,0.269751,0.627537,0.383239,0.00367045,0.000131071,0.00044626
52,95.6275,50.3584,-0.159147,0.273276,0.627565,0.383686,0.00352475,2.83718e-05,0.000447273
53,95.6218,50.3636,-0.157893,0.276653,0.627563,0.384135,0.00337768,-2.08616e-06,0.000448346
54,95.6192,50.3683,-0.156671,0.279883,0.627598,0.384582,0.00322998,3.46899e-05,0.000447065
55,95.6195,50.3724,-0.155452,0.282966,0.627663,0.385026,0.00308248,6.49095e-05,0.000444174
56,95.6227,50.3765,-0.154238,0.285904,0.627707,0.385468,0.00293806,4.38094e-05,0.000441998
57,95.6286,50.3811,-0.153055,0.288699,0.627702,0.38591,0.0027948,-5.1856e-06,0.000441551
58,95.637,50.3862,-0.151915,0.291352,0.627666,0.386351,0.00265333,-3.57032e-05,0.0004417
59,95.6479,50.3912,-0.150808,0.293864,0.627632,0.386792,0.00251228,-3.34382e-05,0.000441074
60,95.661,50.396,-0.149722,0.296238,0.627609,0.387232,0.00237331,-2.28882e-05,0.000439644
61,95.6764,50.4006,-0.148652,0.298474,0.62758,0.38767,0.00223598,-2.94447e-05,0.000438243
62,95.6937,50.4053,-0.147606,0.300576,0.627528,0.388108,0.00210223,-5.19753e-05,0.000437468
63,95.7131,50.4103,-0.146592,0.302546,0.627455,0.388545,0.00196984,-7.27177e-05,0.00043717
64,95.7341,50.4153,-0.145609,0.304386,0.627375,0.388982,0.00184056,-7.99894e-05,0.000436723
65,95.7569,50.4201,-0.14465,0.306099,0.627296,0.389418,0.00171292,-7.93934e-05,0.000435948
66,95.7813,50.4248,-0.143712,0.307688,0.627213,0.389853,0.0015884,-8.28505e-05,0.000435054
67,95.8071,50.4295,-0.142797,0.309155,0.62712,0.390287,0.00146717,-9.35197e-05,0.000434339
68,95.8342,50.4343,-0.141907,0.310503,0.627014,0.390721,0.00134838,-0.000105679,0.000433922
69,95.8625,50.439,-0.141044,0.311736,0.626901,0.391154,0.00123292,-0.000113249,0.000433534
70,95.892,50.4436,-0.140205,0.312856,0.626785,0.391587,0.00111994,-0.00011605,0.000432998
71,95.9225,50.4481,-0.139387,0.313867,0.626666,0.39202,0.00101086,-0.000118613,0.000432402
72,95.9538,50.4525,-0.13859,0.314771,0.626542,0.392452,0.000904262,-0.000123978,0.000431836
73,95.986,50.4569,-0.137815,0.315573,0.626411,0.392883,0.000801504,-0.000130534,0.000431418
