Time,y1,y2,y3,u1,u2,u3,du1,du2,du3
0,80.6,18.3,-0.153656,0,0.17463,0.139929,-0.11926,-0.206,0.0173088
1,80.6,18.3,-0.262879,0,0.210297,0.144432,0,0.0356667,0.00450313
2,80.5352,16.0163,-0.248119,0,0.368056,0.142041,0,0.157759,-0.00239137
3,80.4607,14.3243,-0.186868,0,0.452247,0.138383,0,0.0841907,-0.00365792
4,80.3472,14.4052,-0.154852,0,0.420049,0.137581,0,-0.0321976,-0.00080134
5,80.2132,15.33,-0.167866,0,0.354691,0.139564,0,-0.0653585,0.00198254
6,80.0877,15.8318,-0.193268,0,0.332414,0.141757,0,-0.022277,0.0021932
7,79.9783,15.6189,-0.201801,0,0.354977,0.14256,0,0.0225634,0.000802502
8,79.8743,15.2003,-0.19313,0,0.381629,0.142385,0,0.0266522,-0.000174582
9,79.7647,15.0493,-0.183061,0,0.386137,0.142367,0,0.00450829,-1.78367e-05
10,79.6486,15.1797,-0.181567,0,0.374585,0.142982,0,-0.0115526,0.000615254
11,79.5315,15.3396,-0.186173,0,0.365137,0.143905,0,-0.00944746,0.000922859
12,79.4174,15.3648,-0.189895,0,0.365762,0.144674,0,0.000624299,0.000768512
13,79.3057,15.2904,-0.189742,0,0.3715,0.145179,0,0.00573829,0.00050503
14,79.1938,15.2273,-0.187658,0,0.374942,0.145604,0,0.00344196,0.00042522
15,79.0805,15.2255,-0.186473,0,0.374183,0.146122,0,-0.000759006,0.000518322
16,78.9665,15.2558,-0.186883,0,0.372058,0.146741,0,-0.0021247,0.000618994
17,78.8528,15.2729,-0.187792,0,0.371356,0.147372,0,-0.000702202,0.000630841
18,78.7396,15.2648,-0.188146,0,0.372274,0.147956,0,0.000918031,0.000583723
19,78.6266,15.248,-0.187881,0,0.373433,0.148504,0,0.00115913,0.000547856
20,78.5135,15.2395,-0.187525,0,0.373873,0.149054,0,0.000439942,0.000550658
21,78.4002,15.241,-0.187439,0,0.373739,0.149626,0,-0.000134021,0.000571281
22,78.2868,15.2441,-0.187562,0,0.373635,0.150208,0,-0.000104129,0.000582263
23,78.1736,15.2431,-0.187665,0,0.373857,0.150786,0,0.000221521,0.000577658
24,78.0604,15.2387,-0.187639,0,0.374265,0.151354,0,0.000408411,0.000568748
25,77.9472,15.2345,-0.187538,0,0.374617,0.15192,0,0.000352144,0.000565246
26,77.834,15.2322,-0.187453,0,0.374836,0.152487,0,0.000219256,0.000567511
27,77.7207,15.2311,-0.187413,0,0.375004,0.153057,0,0.000167876,0.000570372
28,77.6075,15.2298,-0.187386,0,0.375212,0.153628,0,0.000207275,0.000570565
29,77.4943,15.2277,-0.187337,0,0.375471,0.154197,0,0.000259638,0.000568777
30,77.3811,15.2254,-0.187263,0,0.375743,0.154764,0,0.000272334,0.000567213
31,77.2679,15.2233,-0.187179,0,0.375997,0.155331,0,0.000253677,0.000566691
32,77.1547,15.2216,-0.187096,0,0.376234,0.155898,0,0.000236481,0.000566885
33,77.0415,15.22,-0.187014,0,0.37647,0.156464,0,0.00023663,0.000566766
34,76.9283,15.2183,-0.186926,0,0.376717,0.157031,0,0.000246614,0.00056617
35,76.8151,15.2166,-0.186829,0,0.376971,0.157596,0,0.000253677,0.000565454
36,76.7019,15.2149,-0.186723,0,0.377224,0.158161,0,0.000253767,0.000564799
37,76.5888,15.2133,-0.186611,0,0.377475,0.158725,0,0.000251085,0.000564337
38,76.4756,15.2118,-0.186495,0,0.377726,0.159289,0,0.000250399,0.000563905
39,76.3624,15.2103,-0.186372,0,0.377978,0.159852,0,0.000252277,0.000563338
40,76.2493,15.2089,-0.186244,0,0.378233,0.160415,0,0.000254691,0.000562787
41,76.1361,15.2075,-0.186109,0,0.378489,0.160977,0,0.000256121,0.000562161
42,76.023,15.2061,-0.185968,0,0.378746,0.161539,0,0.000256747,0.00056155
43,75.9098,15.2047,-0.18582,0,0.379003,0.1621,0,0.000257254,0.000560969
44,75.7967,15.2034,-0.185667,0,0.379261,0.16266,0,0.000258178,0.000560373
45,75.6835,15.2021,-0.185507,0,0.379521,0.16322,0,0.000259429,0.000559762
46,75.5704,15.2009,-0.185342,0,0.379781,0.163779,0,0.000260621,0.000559106
47,75.4573,15.1996,-0.18517,0,0.380043,0.164338,0,0.000261575,0.000558466
48,75.3442,15.1984,-0.184992,0,0.380305,0.164895,0,0.000262499,0.000557795
49,75.231,15.1973,-0.184808,0,0.380569,0.165452,0,0.000263453,0.00055708
50,75.1179,15.1961,-0.184618,0,0.380833,0.166009,0,0.000264466,0.000556484
51,75.0048,15.195,-0.184421,0,0.381099,0.166565,0,0.000265479,0.000555679
52,74.8917,15.1939,-0.184219,0,0.381365,0.16712,0,0.000266492,0.000555053
53,74.7786,15.1928,-0.184011,0,0.381633,0.167674,0,0.000267476,0.000554308
54,74.6655,15.1918,-0.183796,0,0.381901,0.168228,0,0.000268489,0.000553563
55,74.5524,15.1908,-0.183575,0,0.382171,0.16878,0,0.000269473,0.000552833
56,74.4393,15.1897,-0.183349,0,0.382441,0.169332,0,0.000270426,0.000552073
57,74.3263,15.1888,-0.183116,0,0.382712,0.169884,0,0.00027144,0.000551298
58,74.2132,15.1878,-0.182877,0,0.382985,0.170434,0,0.000272453,0.000550523
59,74.1001,15.1868,-0.182632,0,0.383258,0.170984,0,0.000273436,0.000549704
60,73.9871,15.1859,-0.182381,0,0.383533,0.171533,0,0.00027442,0.000548914
61,73.874,15.185,-0.182124,0,0.383808,0.172081,0,0.000275403,0.000548109
62,73.7609,15.1841,-0.181861,0.00368761,0.384084,0.172628,0.00368761,0.000276327,0.00054729
63,73.6479,15.1832,-0.180658,0.0132439,0.384362,0.173111,0.00955628,0.000277311,0.000482261
64,73.5382,15.1823,-0.177952,0.0227985,0.38464,0.1735,0.0095546,0.000278354,0.000389829
65,73.4371,15.1816,-0.175216,0.0320272,0.384914,0.173906,0.0092287,0.000274122,0.000405341
66,73.3446,15.1811,-0.172538,0.040994,0.385172,0.174314,0.00896678,0.000257432,0.000408068
67,73.2604,15.181,-0.169904,0.0497161,0.385406,0.174719,0.00872212,0.000234514,0.000405729
68,73.1842,15.1813,-0.167315,0.0581917,0.38562,0.175122,0.00847562,0.000213355,0.000402853
69,73.116,15.182,-0.164769,0.0664167,0.385816,0.175522,0.00822499,0.000196308,0.000399962
70,73.0553,15.1829,-0.162268,0.0743873,0.385997,0.17592,0.00797062,0.000181079,0.000397235
71,73.002,15.1841,-0.159813,0.0820997,0.386162,0.176314,0.00771239,0.000165075,0.000394598
72,72.9558,15.1856,-0.157406,0.0895522,0.38631,0.176706,0.00745247,0.000148058,0.000392213
73,72.9166,15.1874,-0.155047,0.0967427,0.386441,0.177096,0.00719048,0.000131071,0.000389963
74,72.884,15.1894,-0.152739,0.10367,0.386556,0.177484,0.00692699,0.000114918,0.000387862
75,72.8578,15.1917,-0.150481,0.110332,0.386656,0.17787,0.00666244,9.9659e-05,0.000385955
76,72.8379,15.1941,-0.148276,0.11673,0.386741,0.178254,0.00639839,8.48472e-05,0.000384152
77,72.8238,15.1968,-0.146122,0.122865,0.386811,0.178637,0.00613406,7.02739e-05,0.000382423
78,72.8155,15.1996,-0.144022,0.128735,0.386867,0.179018,0.0058701,5.6088e-05,0.000380889
79,72.8126,15.2026,-0.141974,0.134343,0.386909,0.179397,0.00560807,4.24683e-05,0.000379473
80,72.815,15.2057,-0.13998,0.13969,0.386939,0.179775,0.00534722,2.93255e-05,0.000378162
81,72.8223,15.209,-0.13804,0.144779,0.386955,0.180152,0.00508872,1.67489e-05,0.00037694
82,72.8344,15.2123,-0.136153,0.149611,0.38696,0.180528,0.00483193,4.64916e-06,0.000375852
83,72.8509,15.2158,-0.13432,0.154189,0.386953,0.180903,0.00457856,-7.03335e-06,0.000374928
84,72.8718,15.2194,-0.13254,0.158518,0.386935,0.181277,0.0043284,-1.81496e-05,0.000373945
85,72.8967,15.223,-0.130813,0.162598,0.386906,0.18165,0.00408094,-2.86996e-05,0.00037317
86,72.9253,15.2267,-0.129138,0.166436,0.386868,0.182022,0.0038379,-3.86834e-05,0.000372425
87,72.9576,15.2304,-0.127516,0.170035,0.386819,0.182394,0.00359854,-4.81904e-05,0.000371784
88,72.9933,15.2342,-0.125945,0.173398,0.386762,0.182765,0.00336346,-5.72801e-05,0.000371233
89,73.032,15.2379,-0.124426,0.176532,0.386696,0.183136,0.00313316,-6.58035e-05,0.000370711
90,73.0738,15.2417,-0.122956,0.179439,0.386623,0.183506,0.00290704,-7.37309e-05,0.000370249
91,73.1182,15.2455,-0.121535,0.182125,0.386541,0.183876,0.00268674,-8.12113e-05,0.000369877
92,73.1651,15.2493,-0.120164,0.184596,0.386453,0.184246,0.002471,-8.82447e-05,0.000369564
93,73.2144,15.2531,-0.11884,0.186857,0.386358,0.184615,0.00226046,-9.47416e-05,0.000369236
94,73.2658,15.2569,-0.117562,0.188912,0.386258,0.184984,0.0020556,-0.000100732,0.000369042
95,73.3191,15.2606,-0.116331,0.190768,0.386151,0.185353,0.00185576,-0.000106275,0.000368834
96,73.3742,15.2643,-0.115144,0.19243,0.38604,0.185722,0.00166206,-0.000111431,0.000368655
97,73.4308,15.2679,-0.114001,0.193904,0.385924,0.18609,0.00147425,-0.00011611,0.00036855
98,73.4889,15.2714,-0.1129,0.195197,0.385803,0.186459,0.0012923,-0.000120342,0.000368431
99,73.5481,15.275,-0.11184,0.196313,0.385679,0.186827,0.00111617,-0.000124156,0.000368357
100,73.6084,15.2784,-0.11082,0.197259,0.385552,0.187195,0.000946268,-0.000127435,0.000368282
101,73.6696,15.2818,-0.109839,0.198041,0.385421,0.187564,0.000781953,-0.000130385,0.000368223
102,73.7316,15.2851,-0.108896,0.198665,0.385288,0.187932,0.000624254,-0.000133038,0.000368237
103,73.7941,15.2883,-0.107989,0.199138,0.385153,0.1883,0.000472382,-0.000135273,0.000368148
104,73.8571,15.2914,-0.107117,0.199464,0.385016,0.188668,0.000326261,-0.00013712,0.000368193
105,73.9204,15.2944,-0.106279,0.199651,0.384877,0.189036,0.000186905,-0.00013864,0.000368163
106,73.9839,15.2974,-0.105473,0.199704,0.384738,0.189404,5.33909e-05,-0.000139832,0.000368103
107,74.0475,15.3002,-0.104697,0.19963,0.384597,0.189772,-7.42823e-05,-0.000140697,0.000368088
108,74.111,15.3029,-0.103952,0.199434,0.384456,0.190141,-0.000195771,-0.000141203,0.000368088
109,74.1743,15.3056,-0.103235,0.199123,0.384314,0.190509,-0.000311315,-0.000141531,0.000367999
110,74.2373,15.3081,-0.102545,0.198702,0.384173,0.190876,-0.000421107,-0.000141501,0.000367969
111,74.3,15.3106,-0.101881,0.198177,0.384031,0.191244,-0.000525326,-0.000141233,0.00036791
112,74.3621,15.3129,-0.101242,0.197553,0.383891,0.191612,-0.000623122,-0.000140727,0.000367835
113,74.4237,15.3152,-0.100625,0.196838,0.383751,0.19198,-0.000715405,-0.000139952,0.000367731
114,74.4846,15.3173,-0.100031,0.196036,0.383612,0.192348,-0.000802368,-0.000138938,0.000367582
115,74.5448,15.3193,-0.099456,0.195152,0.383474,0.192715,-0.000883639,-0.000137746,0.000367433
116,74.6041,15.3212,-0.0989014,0.194192,0.383338,0.193082,-0.000959575,-0.000136405,0.000367299
117,74.6626,15.323,-0.0983643,0.193162,0.383203,0.193449,-0.00102994,-0.000134766,0.00036706
