Time,y1,y2,y3,u1,u2,u3,du1,du2,du3,dx1_est,dx2_est,dx3_est,u1_ideal,u2_ideal,u3_ideal
0,80.6,18.3,-0.153656,0,0.36896,0.125973,-0.11926,-0.0116697,0.00335348,3.78641,1.60239,-0.0113291,0,0,0.736424
1,80.6,18.3,-0.188371,0,0.363497,0.125256,0,-0.00546321,-0.000717252,4.3862,2.22077,-0.00856876,0,0,0.661928
2,80.4884,17.9955,-0.190732,0,0.36571,0.124434,0,0.00221294,-0.000822,4.15912,2.13615,0.00174697,0,0,0.594003
3,80.3785,17.6635,-0.190126,0,0.370308,0.12496,0,0.00459763,0.000525318,4.16143,1.82585,0.00670989,0,0,0.53208
4,80.2683,17.3849,-0.188654,0,0.372813,0.125386,0,0.0025053,0.000426665,4.16975,1.63938,0.00808735,0,0,0.475639
5,80.157,17.1785,-0.188004,0,0.373993,0.125631,0,0.00117958,0.000245064,4.10446,1.51811,0.00740341,0,0,0.424203
6,80.0451,17.0157,-0.187868,0,0.374065,0.125767,0,7.23898e-05,0.000135243,4.06888,1.48104,0.00574367,0,0,0.377338
7,79.9331,16.8787,-0.188156,0,0.375537,0.125814,0,0.00147206,4.75645e-05,4.00089,1.37204,0.00766995,0,0.149162,0.334642
8,79.8212,16.7536,-0.187909,0,0.376347,0.125515,0,0.000810355,-0.000298724,3.81818,1.30168,0.0101491,0,0.250948,0.300871
9,79.709,16.6534,-0.187916,0,0.376912,0.125945,0,0.000564396,0.000429228,3.79747,1.20302,0.00680751,0,0.31396,0.273914
10,79.5968,16.5689,-0.188034,0,0.376769,0.126093,0,-0.000143111,0.000148773,3.69784,1.14993,0.00371073,0,0.352313,0.252013
11,79.4846,16.496,-0.188412,0,0.377375,0.126064,0,0.000606209,-2.94298e-05,3.56149,1.06959,0.00361082,0,0.375061,0.233947
12,79.3726,16.4265,-0.188501,0,0.377763,0.126033,0,0.000388175,-3.10987e-05,3.4565,1.01296,0.0034441,0,0.388006,0.218856
13,79.2605,16.3675,-0.188675,0,0.377567,0.126094,0,-0.000195891,6.15865e-05,3.37265,0.981289,0.00131218,0,0.394853,0.20612
14,79.1485,16.3157,-0.189071,0,0.377841,0.125974,0,0.000273764,-0.000119969,3.25224,0.937236,0.00159028,0,0.397964,0.195282
15,79.0367,16.2646,-0.189284,0,0.377711,0.126003,0,-0.000129461,2.87592e-05,3.20264,0.920299,0.000376403,0,0.398835,0.186001
16,78.925,16.2189,-0.18965,0,0.377725,0.126118,0,1.40071e-05,0.00011456,3.115,0.868771,-0.00187162,0,0.398411,0.178011
17,78.8134,16.1739,-0.189961,0,0.377735,0.126112,0,9.80496e-06,-5.69224e-06,3.01952,0.831639,-0.00301541,0,0.39728,0.171105
18,78.702,16.1311,-0.190269,0,0.378249,0.125967,0,0.000513524,-0.00014466,2.91401,0.784673,-0.00176343,0,0.395806,0.165118
19,78.5907,16.0901,-0.190385,0,0.378541,0.12582,0,0.00029248,-0.00014773,2.80374,0.747623,-0.00103348,0,0.394208,0.159913
20,78.4795,16.0558,-0.190586,0,0.378286,0.125849,0,-0.000255287,2.90126e-05,2.72007,0.723739,-0.00296661,0,0.392616,0.15538
21,78.3684,16.0254,-0.190995,0,0.378558,0.125689,0,0.000272542,-0.000159845,2.62116,0.693904,-0.00201332,0,0.3911,0.151423
22,78.2575,15.9929,-0.191201,0,0.378251,0.125688,0,-0.000307828,-4.02331e-07,2.51399,0.667722,-0.00406742,0,0.3897,0.147965
