time,u,y
1.8000,-0.6583,37.4686
1.8100,-0.7344,38.3755
1.8200,-0.2113,39.3076
1.8300,-0.8830,40.1917
1.8400,-0.3891,41.0068
1.8500,-0.3534,42.0297
1.8600,-0.6099,42.9455
1.8700,-0.9918,43.8733
1.8800,-0.2282,44.9129
1.8900,-0.5573,45.9480
1.9000,-0.5535,47.0118
1.9100,-0.5208,47.9813
1.9200,-0.6404,49.1959
1.9300,-0.6934,50.2033
1.9400,-0.5287,51.3629
1.9500,-0.6201,52.5072
1.9600,-0.4075,53.6690
1.9700,-0.7082,54.9284
1.9800,-0.6596,56.1878
1.9900,-0.7676,57.3971
2.0000,1.3455,58.7531
2.0100,0.7015,60.1004
2.0200,1.3369,61.4943
2.0300,0.6539,62.9386
2.0400,0.9381,64.3151
2.0500,0.7660,65.8656
2.0600,0.8768,67.3070
2.0700,1.2872,68.8973
2.0800,1.0437,70.4967
2.0900,0.9031,72.0436
2.1000,1.0333,73.7354
2.1100,1.1615,75.4267
2.1200,0.7299,77.0908
2.1300,0.8726,78.8637
2.1400,0.8256,80.7407
2.1500,0.8658,82.6127
2.1600,0.9997,84.5595
2.1700,0.9148,86.4433
2.1800,1.1874,88.4662
2.1900,0.8861,90.5566
2.2000,0.4782,92.6106
2.2100,0.8690,94.7814
2.2200,1.0406,96.9903
2.2300,1.0099,99.2127
2.2400,0.8263,101.4577
2.2500,1.0233,103.8690
2.2600,1.1732,106.1913
2.2700,0.9793,108.5384
2.2800,1.1937,111.2019
2.2900,1.1291,113.7005
2.3000,1.0256,116.2759
2.3100,0.9037,118.9893
2.3200,0.6361,121.6586
2.3300,1.1829,124.6800
2.3400,0.6472,127.4085
2.3500,1.3000,130.4233
2.3600,0.8495,133.4061
2.3700,1.3347,136.5352
2.3800,1.0152,139.6606
2.3900,1.0706,142.8238
2.4000,0.7439,146.1473
2.4100,0.7397,149.4904
2.4200,0.5708,152.9012
2.4300,1.1026,156.4302
2.4400,0.9917,160.1010
2.4500,0.8200,163.8825
2.4600,0.9242,167.5663
2.4700,0.7881,171.3781
2.4800,1.0048,175.3631
2.4900,1.0631,179.4060
2.5000,1.0384,183.5212
2.5100,1.3194,187.7656
2.5200,1.1734,192.0636
2.5300,1.0942,196.5482
2.5400,0.8258,200.9879
2.5500,0.9547,205.6825
2.5600,1.2379,210.3910
2.5700,1.0447,215.1855
2.5800,0.8595,220.0737
2.5900,0.7613,225.2299
2.6000,0.9404,230.5106
2.6100,1.4346,235.7620
2.6200,1.4169,241.0570
2.6300,1.2782,246.7584
2.6400,1.1423,252.3093
2.6500,0.9421,258.2153
2.6600,0.5842,264.0936
2.6700,0.9957,270.1367
2.6800,1.2378,276.4227
2.6900,0.9917,282.8159
2.7000,0.9982,289.3135
2.7100,1.0903,295.9522
2.7200,1.0572,302.7895
2.7300,1.3566,309.6825
2.7400,0.8181,316.8165
2.7500,1.1277,324.1733
2.7600,1.1975,331.5375
2.7700,1.1528,339.1129
2.7800,0.9604,346.8647
2.7900,1.0954,354.9864
2.8000,1.4134,363.0103
2.8100,0.6110,371.4348
2.8200,0.8835,379.9540
2.8300,1.0522,388.6362
2.8400,1.2577,397.5890
2.8500,1.0929,406.8264
2.8600,0.8983,416.1037
2.8700,0.7516,425.6697
2.8800,1.1064,435.4544
2.8900,1.1393,445.4526
2.9000,0.8852,455.6953
2.9100,0.8639,466.1340
2.9200,1.1640,476.8001
2.9300,0.6585,487.8689
2.9400,1.1105,499.0082
2.9500,1.0591,510.5389
2.9600,1.3996,522.0860
2.9700,0.6841,534.0524
2.9800,0.8506,546.4065
2.9900,1.0110,558.8602
3.0000,-0.8735,571.8121
3.0100,-0.6530,584.9442
3.0200,-0.1588,598.3540
3.0300,-0.5065,612.0919
3.0400,-0.5994,626.1158
3.0500,-0.4224,640.3983
3.0600,-0.1716,655.1358
3.0700,-0.5078,670.1060
3.0800,-0.6559,685.5203
3.0900,-0.9393,701.3570
3.1000,-0.7037,717.3747
3.1100,0.0952,733.7189
3.1200,-0.4945,750.6412
3.1300,-0.5270,767.7789
3.1400,-0.2636,785.3376
3.1500,-0.4284,803.3516
3.1600,-0.5814,821.7796
3.1700,-0.7904,840.4886
3.1800,-0.5538,859.8512
3.1900,-0.5880,879.5932
3.2000,-0.2590,899.6301
3.2100,-0.3655,920.2601
3.2200,-0.5659,941.3288
3.2300,-0.5941,962.8899
3.2400,-0.5947,984.9150
3.2500,-0.3096,1007.4928
3.2600,-0.8167,1030.5679
3.2700,-0.2169,1054.2479
3.2800,-0.4049,1078.3523
3.2900,-0.2362,1103.0166
3.3000,-0.8111,1128.3395
3.3100,-1.0569,1154.2167
3.3200,-0.4057,1180.6686
3.3300,-0.8060,1207.6261
3.3400,-0.6814,1235.3288
3.3500,-0.6441,1263.5480
3.3600,-0.5074,1292.6232
3.3700,-0.4141,1322.1852
3.3800,-0.7679,1352.4103
3.3900,-0.4702,1383.3883
3.4000,-0.7725,1415.1066
3.4100,-0.8823,1447.6083
3.4200,-0.0487,1480.7657
3.4300,-0.6147,1514.6110
3.4400,-0.8301,1549.3391
3.4500,-0.3598,1584.9101
3.4600,-0.8069,1621.2039
3.4700,0.0592,1658.2606
3.4800,-0.5597,1696.2552
3.4900,-0.6432,1735.0995
3.5000,-0.3972,1774.9292
3.5100,-0.5589,1815.5255
3.5200,-0.5514,1857.0310
3.5300,-0.2951,1899.6752
3.5400,-0.4949,1943.0940
3.5500,-0.7822,1987.7487
3.5600,-0.3074,2033.3230
3.5700,-0.4655,2079.8419
3.5800,-0.2500,2127.4563
3.5900,-0.4159,2176.1596
3.6000,-0.6207,2226.1401
3.6100,-0.5514,2277.1127
3.6200,-0.4339,2329.2718
3.6300,-0.3260,2382.6252
3.6400,-0.7997,2437.1790
3.6500,-0.2722,2493.0971
3.6600,-0.2630,2550.2105
3.6700,-0.6340,2608.5744
3.6800,-0.5710,2668.3752
3.6900,-0.4485,2729.5010
3.7000,-0.7669,2792.1522
3.7100,-0.5243,2855.8714
3.7200,-0.3261,2921.3808
3.7300,-0.2886,2988.3627
3.7400,-0.7001,3056.9128
3.7500,-0.1292,3126.9558
3.7600,-0.4759,3198.5434
3.7700,-0.2376,3271.8994
3.7800,-0.5297,3346.8892
3.7900,-0.6358,3423.4830
3.8000,-0.6798,3501.8816
3.8100,-0.6819,3582.2095
3.8200,-0.5198,3664.3057
3.8300,-0.0404,3748.2190
3.8400,-0.2192,3833.9970
3.8500,-0.5991,3921.8921
3.8600,-0.4706,4011.8480
3.8700,-0.5445,4103.7253
3.8800,-0.3504,4197.7564
3.8900,-0.1998,4293.9767
3.9000,-0.8510,4392.2778
3.9100,-0.5248,4492.9919
3.9200,-0.4528,4595.9122
3.9300,-0.4535,4701.3618
3.9400,-0.7536,4809.0536
3.9500,-0.7658,4919.1280
3.9600,-0.6889,5031.9299
3.9700,-0.0394,5147.1510
3.9800,-0.4565,5265.1573
3.9900,-0.1108,5385.8317
4.0000,1.1610,5509.1788
4.0100,1.1861,5635.4153
4.0200,1.0534,5764.5325
4.0300,1.1469,5896.6457
4.0400,0.9379,6031.6992
4.0500,1.0231,6170.1132
4.0600,0.8534,6311.3329
4.0700,0.9277,6456.0382
4.0800,0.9608,6603.9905
4.0900,0.8072,6755.3399
4.1000,0.9866,6910.2225
4.1100,0.8673,7068.4919
4.1200,0.7452,7230.4245
4.1300,1.2828,7396.3103
4.1400,1.0159,7565.5735
4.1500,1.2027,7739.0029
4.1600,1.2668,7916.5333
4.1700,1.0636,8097.8849
4.1800,1.0291,8283.4992
4.1900,1.3427,8473.2808
4.2000,0.7812,8667.4618
4.2100,0.5257,8866.0682
4.2200,1.5195,9069.2900
4.2300,0.8699,9277.1008
4.2400,0.9467,9489.8802
4.2500,0.8671,9707.2907
4.2600,0.9982,9929.7945
4.2700,0.9731,10157.3038
4.2800,1.1334,10390.1355
4.2900,1.3228,10628.2206
4.3000,0.8093,10871.8387
4.3100,0.9450,11120.8933
4.3200,1.1663,11375.8317
4.3300,1.0415,11636.5160
4.3400,0.9047,11903.2268
4.3500,1.1195,12176.0038
4.3600,1.0937,12455.0134
4.3700,1.1016,12740.5461
4.3800,1.5003,13032.4155
4.3900,1.0939,13331.1834
4.4000,0.6338,13636.8052
4.4100,1.6335,13949.1804
4.4200,0.5509,14268.8867
4.4300,0.8243,14595.8157
4.4400,0.9862,14930.4118
4.4500,0.9625,15272.5840
4.4600,0.8069,15622.5826
4.4700,0.8293,15980.5772
4.4800,1.1815,16346.9346
4.4900,1.0072,16721.5073
4.5000,1.2207,17104.6838
4.5100,1.0265,17496.7536
4.5200,0.9243,17897.6278
4.5300,1.1094,18307.7905
4.5400,0.7662,18727.3196
4.5500,0.8515,19156.5726
4.5600,1.2080,19595.5661
4.5700,0.9810,20044.6190
4.5800,0.8378,20504.0221
4.5900,1.1725,20973.7844
4.6000,0.9434,21454.5170
4.6100,0.8236,21946.1752
4.6200,0.9907,22449.1306
4.6300,0.9340,22963.6681
4.6400,1.1114,23489.8390
4.6500,0.8592,24028.2049
4.6600,1.0981,24578.8181
4.6700,0.8792,25142.1903
4.6800,0.8827,25718.3291
4.6900,1.3822,26307.7398
4.7000,0.8742,26910.5168
4.7100,0.9663,27527.2971
4.7200,0.8865,28158.1086
4.7300,1.1462,28803.3625
4.7400,1.2597,29463.4842
4.7500,1.0215,30138.6217
4.7600,0.8553,30829.3451
4.7700,1.1462,31535.8406
4.7800,0.9313,32258.4677
4.7900,1.3098,32997.7214
4.8000,1.1884,33753.9950
4.8100,1.1720,34527.4894
4.8200,1.1005,35318.8823
4.8300,1.3442,36128.0591
4.8400,0.9162,36956.1567
4.8500,0.9036,37802.8580
4.8600,1.1028,38669.3784
4.8700,0.9486,39555.5385
4.8800,1.0731,40461.9091
4.8900,0.6841,41389.1615
4.9000,0.7347,42337.6077
4.9100,1.2309,43308.0097
4.9200,1.3926,44300.3923
4.9300,0.9230,45315.5798
4.9400,1.1804,46354.0683
4.9500,1.2549,47416.3485
4.9600,0.8759,48502.9459
4.9700,1.0873,49614.4057
4.9800,0.9972,50751.4059
4.9900,0.9234,51914.4193
5.0000,-0.4875,53104.1454
5.0100,-0.6561,54321.1778
5.0200,-0.3736,55565.9835
5.0300,-0.6958,56839.3395
5.0400,-0.1597,58141.8014
5.0500,-0.2234,59474.3132
5.0600,-0.2470,60837.1760
5.0700,-0.3881,62231.4666
5.0800,-0.3697,63657.5130
5.0900,-0.1047,65116.2466
5.1000,-0.6159,66608.4177
5.1100,-0.5048,68134.7673
5.1200,-0.3699,69696.1897
5.1300,-0.1865,71293.4684
5.1400,-0.8115,72927.1984
5.1500,-0.2891,74598.2973
5.1600,-0.5372,76307.8213
5.1700,-0.2914,78056.3583
5.1800,-0.6687,79845.1233
5.1900,-0.5027,81674.8916
5.2000,-0.7689,83546.5511
5.2100,-0.5740,85461.1283
5.2200,-0.5184,87419.5455
5.2300,-0.3994,89422.8719
5.2400,-0.3252,91472.1765
5.2500,-0.3464,93568.1986
5.2600,0.0187,95712.3723
5.2700,-0.4176,97905.6894
5.2800,-0.1981,100149.3321
5.2900,-0.1719,102444.3672
5.3000,-0.7554,104791.9738
5.3100,-0.8098,107193.3041
5.3200,-0.3501,109649.8226
5.3300,-0.6435,112162.3834
5.3400,-0.7771,114732.6318
5.3500,-0.2111,117361.9838
5.3600,-0.5215,120051.4079
5.3700,-0.6472,122802.4597
5.3800,-0.1915,125616.5956
5.3900,-0.1391,128495.2598
5.4000,-0.7650,131439.8808
5.4100,-0.2854,134451.8741
5.4200,-0.4966,137532.8928
5.4300,-0.5188,140684.7418
5.4400,-0.6534,143908.5719
5.4500,-0.6520,147206.4233
5.4600,-0.6183,150579.6951
5.4700,-0.8904,154030.4305
5.4800,-0.0620,157560.0893
5.4900,-0.7520,161170.7106
5.5000,-0.8273,164864.2340
5.5100,-0.2589,168642.1782
5.5200,-0.5935,172506.7645
5.5300,-0.1418,176459.9574
5.5400,-0.6033,180503.5783
5.5500,-0.4912,184640.0752
5.5600,-0.4618,188871.1930
5.5700,-0.6789,193199.4731
5.5800,-0.1057,197626.7348
5.5900,-0.5426,202155.5474
5.6000,-0.4704,206788.1266
5.6100,-0.8349,211526.7388
5.6200,-0.6465,216374.2040
5.6300,-0.3989,221332.5454
5.6400,-0.5917,226404.6194
5.6500,-0.6188,231592.8923
5.6600,-0.3663,236900.0756
5.6700,-0.6034,242328.8641
5.6800,-0.4603,247882.0354
5.6900,-0.5519,253562.5082
5.7000,-0.3322,259373.0381
5.7100,-0.1369,265316.8385
5.7200,-0.8227,271396.8241
5.7300,-0.3138,277616.1603
5.7400,-0.6209,283978.0419
5.7500,-0.5653,290485.6338
5.7600,-0.5223,297142.3852
5.7700,-0.3464,303951.6186
5.7800,-0.7938,310916.9050
5.7900,-0.6798,318041.9815
5.8000,-0.2324,325330.0485
5.8100,-0.1827,332785.4459
5.8200,-0.0576,340411.3716
5.8300,-0.2776,348212.4138
5.8400,-0.4917,356191.9584
5.8500,-0.5465,364354.3547
5.8600,-0.4994,372703.9609
5.8700,-0.1759,381244.7928
5.8800,-0.4821,389981.3646
5.8900,-0.7363,398918.0799
5.9000,-0.2955,408059.7892
5.9100,-0.9371,417410.8684
5.9200,-0.2362,426976.2270
5.9300,-0.4826,436760.7341
5.9400,-0.7373,446769.5207
5.9500,-0.1939,457007.5993
5.9600,-0.5934,467480.4538
5.9700,-0.5855,478193.3024
5.9800,-0.3955,489151.5551
5.9900,-0.4586,500360.8472
6.0000,1.0508,511827.0533
6.0100,0.9041,523556.0335
6.0200,1.0183,535553.7913
6.0300,1.2629,547826.5676
6.0400,1.1898,560380.4677
6.0500,0.8676,573222.1567
6.0600,0.9077,586358.0509
6.0700,1.2305,599795.0663
6.0800,1.5092,613539.9770
6.0900,1.0826,627599.8707
6.1000,0.9074,641981.8838
6.1100,0.7837,656693.5315
6.1200,0.6764,671742.3483
6.1300,1.0750,687135.8843
6.1400,1.0871,702882.3554
6.1500,1.1785,718989.6011
6.1600,0.9510,735465.8995
6.1700,0.7745,752319.8197
6.1800,0.9839,769559.9353
6.1900,1.2187,787195.2350
6.2000,0.7873,805234.6113
6.2100,0.8520,823687.2690
6.2200,1.1468,842562.9697
6.2300,0.7296,861871.0196
6.2400,0.8764,881621.8084
6.2500,1.3793,901824.9329
6.2600,1.0780,922491.1947
6.2700,1.2408,943630.9401
6.2800,0.8503,965255.2425
6.2900,1.1736,987375.0443
6.3000,0.6626,1010001.6853
6.3100,0.7494,1033146.7303
6.3200,1.2477,1056822.3565
6.3300,0.9570,1081040.5160
6.3400,0.7309,1105813.6950
6.3500,1.1648,1131154.4582
6.3600,0.9507,1157075.8527
6.3700,0.6924,1183591.3906
6.3800,0.9975,1210714.6587
6.3900,1.0227,1238459.2367
6.4000,1.2622,1266839.8181
6.4100,1.1389,1295870.6495
6.4200,1.2498,1325566.8530
6.4300,0.9400,1355943.5342
6.4400,0.8174,1387016.3300
6.4500,0.9436,1418801.1593
6.4600,1.1546,1451314.3238
6.4700,0.7690,1484572.6019
6.4800,1.0850,1518593.0612
6.4900,1.0671,1553393.2194
6.5000,0.9418,1588990.5573
6.5100,0.9184,1625403.8088
6.5200,0.7559,1662651.6668
6.5300,0.8563,1700752.8860
6.5400,1.0387,1739727.3125
6.5500,0.9807,1779594.9105
6.5600,0.6012,1820375.8637
6.5700,1.2437,1862091.6792
6.5800,1.4384,1904763.3397
6.5900,1.1361,1948412.9261
6.6000,0.8594,1993062.6305
6.6100,1.0868,2038735.5440
6.6200,0.9132,2085455.1832
6.6300,0.8912,2133245.4398
6.6400,1.0246,2182130.7069
6.6500,1.1419,2232136.4432
6.6600,0.7953,2283288.0448
6.6700,1.0603,2335611.7887
6.6800,1.1021,2389134.6048
6.6900,1.1996,2443883.8954
6.7000,0.6837,2499887.9341
6.7100,1.0072,2557175.2326
6.7200,1.1452,2615775.3524
6.7300,0.9082,2675718.5309
6.7400,1.2288,2737035.1252
6.7500,0.5969,2799756.9394
6.7600,1.3279,2863916.0416
6.7700,0.9801,2929545.5760
6.7800,0.7538,2996678.8701
6.7900,0.9479,3065350.6833
6.8000,1.1875,3135596.1306
6.8100,1.3043,3207451.4514
6.8200,0.8534,3280953.3022
6.8300,0.8597,3356139.4497
6.8400,1.0941,3433048.6677
6.8500,1.1460,3511720.3919
6.8600,0.7454,3592194.7009
6.8700,1.2691,3674513.5557
6.8800,0.9188,3758718.4421
6.8900,0.7675,3844853.0738
6.9000,1.0774,3932961.6079
6.9100,1.2735,4023089.3096
6.9200,0.6935,4115282.2857
6.9300,1.2066,4209587.9940
6.9400,0.9755,4306054.7615
6.9500,0.9130,4404732.0650
6.9600,0.6514,4505670.8085
6.9700,0.9990,4608922.6605
6.9800,1.2183,4714540.6026
6.9900,1.1066,4822578.8233
7.0000,-0.4011,4933092.8864
7.0100,-0.5233,5046139.4632
7.0200,-0.4350,5161776.6578
7.0300,-0.5333,5280063.6798
7.0400,-0.5037,5401061.4267
7.0500,-0.2376,5524831.9027
7.0600,-0.4267,5651438.9167
7.0700,-0.5514,5780947.0307
7.0800,-0.6209,5913423.0652
7.0900,-0.5152,6048934.8250
7.1000,-0.9868,6187551.9746
7.1100,-0.4628,6329345.6723
7.1200,-0.6222,6474388.7832
7.1300,-0.2611,6622755.4579
7.1400,-0.6596,6774522.4300
7.1500,-0.5289,6929767.0803
7.1600,-0.6367,7088569.3445
7.1700,-0.3581,7251010.7318
7.1800,-0.5054,7417174.6045
7.1900,-0.3851,7587146.3413
7.2000,-0.5146,7761013.0564
7.2100,-0.7134,7938864.0824
7.2200,-0.4918,8120790.7826
7.2300,-0.3341,8306886.5829
7.2400,-0.6658,8497246.8985
7.2500,-0.4597,8691969.3290
7.2600,-0.7229,8891154.2864
7.2700,-0.5738,9094903.6095
7.2800,-0.5092,9303322.0167
7.2900,-0.0914,9516516.7030
7.3000,-0.5700,9734596.8802
7.3100,-0.3901,9957674.4519
7.3200,-0.4255,10185864.1565
7.3300,-0.1802,10419282.9294
7.3400,-0.4411,10658050.8297
7.3500,-0.8435,10902290.3560
7.3600,-0.6204,11152126.8063
7.3700,-0.4453,11407688.5435
7.3800,-0.5848,11669106.7429
7.3900,-0.6880,11936515.4449
7.4000,-0.3680,12210052.2085
7.4100,-0.2130,12489857.2455
7.4200,-0.5357,12776074.3894
7.4300,-0.2965,13068850.3498
7.4400,-0.3807,13368335.6680
7.4500,-0.3461,13674683.9854
7.4600,-0.4510,13988052.4251
7.4700,-0.5395,14308602.2203
7.4800,-0.3482,14636497.6247
7.4900,-0.3832,14971907.0143
7.5000,-0.3627,15315002.6762
7.5100,-0.9426,15665960.6370
7.5200,-0.4375,16024961.2288
7.5300,-0.4361,16392188.6467
7.5400,-0.3732,16767831.3718
7.5500,-0.4049,17152082.1778
7.5600,-0.5575,17545138.8722
7.5700,-0.6883,17947202.5762
7.5800,-0.5916,18358479.9365
7.5900,-0.5715,18779182.1642
7.6000,-0.7889,19209525.2110
7.6100,-0.8323,19649730.0126
7.6200,-0.6075,20100022.4599
7.6300,-0.4393,20560633.7228
7.6400,-0.5040,21031800.5541
7.6500,-0.6333,21513764.4914
7.6600,-0.6985,22006773.0736
7.6700,-0.4228,22511079.4362
7.6800,-0.4837,23026942.3880
7.6900,-0.2387,23554626.9554
7.7000,-0.6755,24094403.8780
7.7100,-0.3435,24646550.3433
7.7200,-0.3765,25211349.7186
7.7300,-0.3604,25789092.1513
7.7400,-0.4089,26380073.8884
7.7500,-0.7163,26984598.7288
7.7600,-0.3300,27602976.7894
7.7700,-0.3249,28235525.5443
7.7800,-0.3977,28882569.8605
7.7900,-0.6711,29544441.7357
7.8000,-0.4142,30221480.9386
7.8100,-0.4605,30914035.3003
7.8200,-0.6383,31622460.0016
7.8300,-0.9447,32347119.1983
7.8400,-0.4687,33088384.5757
7.8500,-0.4336,33846636.7779
7.8600,-0.5548,34622265.0169
7.8700,-0.6999,35415667.5767
7.8800,-0.6908,36227251.5813
7.8900,-0.6907,37057433.8672
7.9000,-0.5960,37906640.7288
7.9100,-0.3572,38775307.8577
7.9200,-0.4742,39663881.2584
7.9300,-0.5978,40572817.4013
7.9400,-0.2858,41502582.5043
7.9500,-0.6456,42453654.1131
7.9600,-0.4297,43426520.5176
7.9700,-0.1620,44421680.9439
7.9800,-0.3915,45439646.5473
7.9900,-0.2491,46480939.7517
8.0000,1.0892,47546095.1861
8.0100,0.8593,48635659.6858
8.0200,1.0614,49750192.6439
8.0300,0.9737,50890266.2199
8.0400,1.0940,52056465.7063
8.0500,1.3829,53249389.5538
8.0600,1.0479,54469650.6178
8.0700,1.2859,55717875.1873
8.0800,0.9527,56994703.9227
8.0900,1.2301,58300792.3631
8.1000,0.9598,59636811.1834
8.1100,0.9717,61003446.1861
8.1200,0.8315,62401398.8124
8.1300,1.2006,63831386.9691
8.1400,1.0145,65294144.6433
8.1500,0.9956,66790422.9043
8.1600,1.1685,68320989.7537
8.1700,0.9275,69886630.9447
