Time,y1,y2,y3,u1,u2,u3,du3,theta
0,97.2,50.5,-0.116969,0.27049,0.62082,0.000406171,-0.339384,-0.000220495
1,97.2,50.5,-0.112229,0.27049,0.62082,0.000394822,-1.13492e-05,-0.000848628
2,97.2509,50.4999,-0.114946,0.27049,0.62082,0,-0.000394822,-0.00207841
3,97.3017,50.5029,-0.117658,0.27049,0.62082,0,0,-0.00409271
4,97.3524,50.5085,-0.120378,0.27049,0.62082,0,0,-0.00706012
5,97.4031,50.5165,-0.123096,0.27049,0.62082,0,0,-0.011132
6,97.4536,50.5266,-0.125814,0.27049,0.62082,0,0,-0.0164394
7,97.504,50.5387,-0.12853,0.27049,0.62082,0,0,-0.0230911
8,97.5543,50.5526,-0.131245,0.27049,0.62082,0,0,-0.031171
9,97.6045,50.568,-0.13396,0.27049,0.62082,0,0,-0.0407364
10,97.6545,50.5848,-0.136673,0.27049,0.62082,0,0,-0.0518168
11,97.7045,50.6028,-0.139386,0.27049,0.62082,0,0,-0.0644129
12,97.7544,50.622,-0.142097,0.27049,0.62082,0,0,-0.0784963
13,97.8041,50.6421,-0.144807,0.27049,0.62082,0,0,-0.0940094
14,97.8537,50.6632,-0.147516,0.27049,0.62082,0,0,-0.110866
15,97.9032,50.685,-0.150225,0.27049,0.62082,0,0,-0.128952
16,97.9526,50.7076,-0.152931,0.27049,0.62082,0,0,-0.148128
17,98.0019,50.7308,-0.155637,0.27049,0.62082,0,0,-0.16823
18,98.0511,50.7545,-0.158342,0.27049,0.62082,0,0,-0.189073
19,98.1002,50.7788,-0.161045,0.27049,0.62082,0,0,-0.210452
20,98.1491,50.8035,-0.163748,0.27049,0.62082,0,0,-0.232147
21,98.198,50.8286,-0.166449,0.27049,0.62082,0,0,-0.253926
22,98.2467,50.8541,-0.169149,0.27049,0.62082,0,0,-0.275549
23,98.2954,50.8798,-0.171848,0.27049,0.62082,0,0,-0.296771
24,98.3439,50.9058,-0.174545,0.27049,0.62082,0,0,-0.317347
25,98.3923,50.9321,-0.177241,0.27049,0.62082,0,0,-0.337035
26,98.4407,50.9586,-0.179936,0.27049,0.62082,0,0,-0.355601
27,98.4889,50.9852,-0.182629,0.27049,0.62082,0,0,-0.372823
28,98.5369,51.0121,-0.185321,0.27049,0.62082,0,0,-0.388495
29,98.5849,51.039,-0.188012,0.27049,0.62082,0,0,-0.402432
30,98.6328,51.0661,-0.190702,0.27049,0.62082,0,0,-0.414467
31,98.6806,51.0932,-0.19339,0.27049,0.62082,0,0,-0.424465
32,98.7283,51.1205,-0.196077,0.27049,0.62082,0,0,-0.432314
33,98.7758,51.1478,-0.198763,0.27049,0.62082,0,0,-0.437937
34,98.8233,51.1751,-0.201446,0.27049,0.62082,0,0,-0.441288
35,98.8706,51.2025,-0.204129,0.27049,0.62082,0,0,-0.442353
36,98.9179,51.23,-0.20681,0.27049,0.62082,0,0,-0.441155
37,98.965,51.2574,-0.20949,0.27049,0.62082,0,0,-0.437751
38,99.0121,51.2849,-0.212168,0.27049,0.62082,0,0,-0.432229
39,99.059,51.3124,-0.214845,0.27049,0.62082,0,0,-0.424715
40,99.1058,51.3399,-0.21752,0.27049,0.62082,0,0,-0.415363
41,99.1525,51.3674,-0.220193,0.27049,0.62082,0,0,-0.404357
42,99.1991,51.3948,-0.222865,0.27049,0.62082,0,0,-0.391908
43,99.2457,51.4223,-0.225536,0.27049,0.62082,0,0,-0.37825
44,99.2921,51.4497,-0.228204,0.27049,0.62082,0,0,-0.363638
45,99.3384,51.4771,-0.230872,0.27049,0.62082,0,0,-0.348343
46,99.3846,51.5045,-0.233537,0.27049,0.62082,0,0,-0.332648
47,99.4307,51.5319,-0.236201,0.27049,0.62082,0,0,-0.316842
48,99.4767,51.5592,-0.238864,0.27049,0.62082,0,0,-0.301221
49,99.5226,51.5865,-0.241525,0.27049,0.62082,0,0,-0.286075
50,99.5683,51.6137,-0.244184,0.27049,0.62082,0,0,-0.271691
51,99.614,51.6409,-0.246841,0.27049,0.62082,0,0,-0.258344
52,99.6596,51.6681,-0.249496,0.27049,0.62082,0,0,-0.246292
53,99.7051,51.6952,-0.25215,0.27049,0.62082,0,0,-0.235776
54,99.7505,51.7223,-0.254802,0.27049,0.62082,0,0,-0.227012
55,99.7958,51.7493,-0.257452,0.27049,0.62082,0,0,-0.220189
56,99.8409,51.7763,-0.260101,0.27049,0.62082,0,0,-0.215465
57,99.886,51.8032,-0.262747,0.27049,0.62082,0,0,-0.212965
58,99.931,51.8301,-0.265392,0.27049,0.62082,0,0,-0.212779
59,99.9759,51.8569,-0.268035,0.27049,0.62082,0,0,-0.21496
60,100.021,51.8837,-0.270676,0.27049,0.62082,0,0,-0.219521
61,100.065,51.9104,-0.273315,0.27049,0.62082,0,0,-0.226439
62,100.11,51.9371,-0.275953,0.27049,0.62082,0,0,-0.23565
63,100.154,51.9637,-0.278588,0.27049,0.62082,0,0,-0.247052
64,100.199,51.9903,-0.281221,0.27049,0.62082,0,0,-0.260509
65,100.243,52.0168,-0.283852,0.27049,0.62082,0,0,-0.275849
66,100.287,52.0433,-0.286482,0.27049,0.62082,0,0,-0.292868
67,100.331,52.0697,-0.289109,0.27049,0.62082,0,0,-0.311333
68,100.375,52.0961,-0.291735,0.27049,0.62082,0,0,-0.330986
69,100.419,52.1224,-0.294358,0.27049,0.62082,0,0,-0.351549
70,100.463,52.1486,-0.296979,0.27049,0.62082,0,0,-0.372725
71,100.507,52.1748,-0.299598,0.27049,0.62082,0,0,-0.394206
72,100.55,52.2009,-0.302215,0.27049,0.62082,0,0,-0.415676
73,100.594,52.227,-0.30483,0.27049,0.62082,0,0,-0.436818
74,100.637,52.2531,-0.307443,0.27049,0.62082,0,0,-0.457315
75,100.68,52.279,-0.310053,0.27049,0.62082,0,0,-0.476861
76,100.724,52.3049,-0.312662,0.27049,0.62082,0,0,-0.495161
77,100.767,52.3308,-0.315268,0.27049,0.62082,0,0,-0.511939
78,100.81,52.3566,-0.317872,0.27049,0.62082,0,0,-0.526939
79,100.853,52.3824,-0.320474,0.27049,0.62082,0,0,-0.539932
80,100.895,52.4081,-0.323073,0.27049,0.62082,0,0,-0.550721
81,100.938,52.4337,-0.32567,0.27049,0.62082,0,0,-0.559141
82,100.981,52.4593,-0.328265,0.27049,0.62082,0,0,-0.565063
83,101.023,52.4848,-0.330858,0.27049,0.62082,0,0,-0.568398
84,101.066,52.5103,-0.333448,0.27049,0.62082,0,0,-0.569094
85,101.108,52.5357,-0.336036,0.27049,0.62082,0,0,-0.567145
86,101.15,52.5611,-0.338621,0.27049,0.62082,0,0,-0.562582
87,101.192,52.5864,-0.341204,0.27049,0.62082,0,0,-0.555479
88,101.235,52.6116,-0.343785,0.27049,0.62082,0,0,-0.545952
89,101.277,52.6368,-0.346363,0.27049,0.62082,0,0,-0.534152
90,101.318,52.662,-0.348938,0.27049,0.62082,0,0,-0.520268
91,101.36,52.687,-0.351511,0.27049,0.62082,0,0,-0.504523
92,101.402,52.7121,-0.354082,0.27049,0.62082,0,0,-0.48717
93,101.443,52.7371,-0.35665,0.27049,0.62082,0,0,-0.468486
94,101.485,52.762,-0.359215,0.27049,0.62082,0,0,-0.448773
95,101.526,52.7868,-0.361778,0.27049,0.62082,0,0,-0.428347
96,101.568,52.8117,-0.364339,0.27049,0.62082,0,0,-0.407539
97,101.609,52.8364,-0.366896,0.27049,0.62082,0,0,-0.386684
98,101.65,52.8611,-0.369452,0.27049,0.62082,0,0,-0.366122
99,101.691,52.8858,-0.372004,0.27049,0.62082,0,0,-0.346185
100,101.732,52.9104,-0.374554,0.27049,0.62082,0,0,-0.327201
101,101.773,52.9349,-0.3771,0.27049,0.62082,0,0,-0.309479
102,101.814,52.9594,-0.379645,0.27049,0.62082,0,0,-0.293311
103,101.854,52.9839,-0.382186,0.27049,0.62082,0,0,-0.278965
104,101.895,53.0083,-0.384725,0.27049,0.62082,0,0,-0.266681
