t,y,error,u
1.390000,0.751418,0.253240,1.128868
1.400000,0.756036,0.248582,1.125927
1.410000,0.760614,0.243964,1.123005
1.420000,0.765152,0.239386,1.120102
1.430000,0.769650,0.234848,1.117217
1.440000,0.774106,0.230350,1.114352
1.450000,0.778522,0.225894,1.111507
1.460000,0.782897,0.221478,1.108682
1.470000,0.787231,0.217103,1.105877
1.480000,0.791523,0.212769,1.103093
1.490000,0.795774,0.208477,1.100330
1.500000,0.799984,0.204226,1.097589
1.510000,0.804151,0.200016,1.094870
1.520000,0.808277,0.195849,1.092173
1.530000,0.812361,0.191723,1.089498
1.540000,0.816403,0.187639,1.086846
1.550000,0.820403,0.183597,1.084217
1.560000,0.824361,0.179597,1.081612
1.570000,0.828276,0.175639,1.079030
1.580000,0.832150,0.171724,1.076472
1.590000,0.835981,0.167850,1.073938
1.600000,0.839769,0.164019,1.071429
1.610000,0.843515,0.160231,1.068944
1.620000,0.847219,0.156485,1.066485
1.630000,0.850880,0.152781,1.064050
1.640000,0.854498,0.149120,1.061641
1.650000,0.858074,0.145502,1.059257
1.660000,0.861608,0.141926,1.056899
1.670000,0.865099,0.138392,1.054567
1.680000,0.868547,0.134901,1.052261
1.690000,0.871953,0.131453,1.049982
1.700000,0.875317,0.128047,1.047729
1.710000,0.878638,0.124683,1.045502
1.720000,0.881916,0.121362,1.043303
1.730000,0.885153,0.118084,1.041130
1.740000,0.888347,0.114847,1.038985
1.750000,0.891499,0.111653,1.036867
1.760000,0.894609,0.108501,1.034776
1.770000,0.897676,0.105391,1.032713
1.780000,0.900702,0.102324,1.030677
1.790000,0.903686,0.099298,1.028669
1.800000,0.906627,0.096314,1.026689
1.810000,0.909528,0.093373,1.024737
1.820000,0.912386,0.090472,1.022813
1.830000,0.915203,0.087614,1.020917
1.840000,0.917979,0.084797,1.019049
1.850000,0.920713,0.082021,1.017209
1.860000,0.923406,0.079287,1.015397
1.870000,0.926059,0.076594,1.013614
1.880000,0.928670,0.073941,1.011860
1.890000,0.931240,0.071330,1.010133
1.900000,0.933770,0.068760,1.008436
1.910000,0.936260,0.066230,1.006766
1.920000,0.938709,0.063740,1.005126
1.930000,0.941118,0.061291,1.003513
1.940000,0.943487,0.058882,1.001930
1.950000,0.945817,0.056513,1.000374
1.960000,0.948107,0.054183,0.998848
1.970000,0.950357,0.051893,0.997350
1.980000,0.952568,0.049643,0.995880
1.990000,0.954740,0.047432,0.994439
2.000000,0.956873,0.045260,0.993026
2.010000,0.958968,0.043127,0.991642
2.020000,0.961024,0.041032,0.990287
2.030000,0.963042,0.038976,0.988959
2.040000,0.965022,0.036958,0.987661
2.050000,0.966964,0.034978,0.986390
2.060000,0.968868,0.033036,0.985148
2.070000,0.970735,0.031132,0.983933
2.080000,0.972565,0.029265,0.982747
2.090000,0.974358,0.027435,0.981589
2.100000,0.976114,0.025642,0.980459
2.110000,0.977834,0.023886,0.979357
2.120000,0.979518,0.022166,0.978283
2.130000,0.981165,0.020482,0.977236
2.140000,0.982777,0.018835,0.976217
2.150000,0.984354,0.017223,0.975226
2.160000,0.985895,0.015646,0.974262
2.170000,0.987401,0.014105,0.973325
2.180000,0.988873,0.012599,0.972415
2.190000,0.990310,0.011127,0.971533
2.200000,0.991713,0.009690,0.970678
2.210000,0.993081,0.008287,0.969849
2.220000,0.994417,0.006919,0.969048
2.230000,0.995719,0.005583,0.968273
2.240000,0.996987,0.004281,0.967524
2.250000,0.998223,0.003013,0.966802
2.260000,0.999427,0.001777,0.966106
2.270000,1.000598,0.000573,0.965436
2.280000,1.001737,-0.000598,0.964792
2.290000,1.002844,-0.001737,0.964174
2.300000,1.003920,-0.002844,0.963581
2.310000,1.004965,-0.003920,0.963014
2.320000,1.005979,-0.004965,0.962472
2.330000,1.006962,-0.005979,0.961955
2.340000,1.007915,-0.006962,0.961464
2.350000,1.008838,-0.007915,0.960997
2.360000,1.009732,-0.008838,0.960555
2.370000,1.010596,-0.009732,0.960137
2.380000,1.011431,-0.010596,0.959744
2.390000,1.012237,-0.011431,0.959374
2.400000,1.013014,-0.012237,0.959029
2.410000,1.013764,-0.013014,0.958708
2.420000,1.014485,-0.013764,0.958410
2.430000,1.015179,-0.014485,0.958135
2.440000,1.015845,-0.015179,0.957884
2.450000,1.016485,-0.015845,0.957655
2.460000,1.017098,-0.016485,0.957450
2.470000,1.017684,-0.017098,0.957267
2.480000,1.018245,-0.017684,0.957106
2.490000,1.018779,-0.018245,0.956968
2.500000,1.019289,-0.018779,0.956851
2.510000,1.019773,-0.019289,0.956757
2.520000,1.020232,-0.019773,0.956684
2.530000,1.020667,-0.020232,0.956632
2.540000,1.021077,-0.020667,0.956602
2.550000,1.021464,-0.021077,0.956592
2.560000,1.021826,-0.021464,0.956603
2.570000,1.022166,-0.021826,0.956635
2.580000,1.022483,-0.022166,0.956687
2.590000,1.022777,-0.022483,0.956760
2.600000,1.023048,-0.022777,0.956852
2.610000,1.023298,-0.023048,0.956964
2.620000,1.023525,-0.023298,0.957095
2.630000,1.023732,-0.023525,0.957245
2.640000,1.023917,-0.023732,0.957415
2.650000,1.024081,-0.023917,0.957603
2.660000,1.024225,-0.024081,0.957810
2.670000,1.024349,-0.024225,0.958035
2.680000,1.024452,-0.024349,0.958278
2.690000,1.024536,-0.024452,0.958540
2.700000,1.024601,-0.024536,0.958818
2.710000,1.024647,-0.024601,0.959114
2.720000,1.024674,-0.024647,0.959428
2.730000,1.024683,-0.024674,0.959758
2.740000,1.024673,-0.024683,0.960105
2.750000,1.024646,-0.024673,0.960469
2.760000,1.024602,-0.024646,0.960848
2.770000,1.024540,-0.024602,0.961244
2.780000,1.024461,-0.024540,0.961656
2.790000,1.024366,-0.024461,0.962083
2.800000,1.024254,-0.024366,0.962526
2.810000,1.024127,-0.024254,0.962983
2.820000,1.023983,-0.024127,0.963456
2.830000,1.023825,-0.023983,0.963943
2.840000,1.023651,-0.023825,0.964444
2.850000,1.023462,-0.023651,0.964960
2.860000,1.023259,-0.023462,0.965489
2.870000,1.023042,-0.023259,0.966033
2.880000,1.022810,-0.023042,0.966589
2.890000,1.022565,-0.022810,0.967159
2.900000,1.022307,-0.022565,0.967742
2.910000,1.022036,-0.022307,0.968338
2.920000,1.021751,-0.022036,0.968946
2.930000,1.021455,-0.021751,0.969567
2.940000,1.021145,-0.021455,0.970200
2.950000,1.020824,-0.021145,0.970844
2.960000,1.020492,-0.020824,0.971500
2.970000,1.020147,-0.020492,0.972168
2.980000,1.019792,-0.020147,0.972847
2.990000,1.019426,-0.019792,0.973536
3.000000,1.019049,-0.019426,0.974236
3.010000,1.018662,-0.019049,0.974947
3.020000,1.018264,-0.018662,0.975668
3.030000,1.017857,-0.018264,0.976399
3.040000,1.017441,-0.017857,0.977140
3.050000,1.017015,-0.017441,0.977890
3.060000,1.016580,-0.017015,0.978650
3.070000,1.016136,-0.016580,0.979419
3.080000,1.015683,-0.016136,0.980197
3.090000,1.015223,-0.015683,0.980983
3.100000,1.014754,-0.015223,0.981778
3.110000,1.014277,-0.014754,0.982581
3.120000,1.013793,-0.014277,0.983392
3.130000,1.013302,-0.013793,0.984211
3.140000,1.012804,-0.013302,0.985038
3.150000,1.012299,-0.012804,0.985872
3.160000,1.011787,-0.012299,0.986713
3.170000,1.011269,-0.011787,0.987561
3.180000,1.010745,-0.011269,0.988415
3.190000,1.010215,-0.010745,0.989277
3.200000,1.009679,-0.010215,0.990144
3.210000,1.009138,-0.009679,0.991018
3.220000,1.008592,-0.009138,0.991898
3.230000,1.008040,-0.008592,0.992783
3.240000,1.007484,-0.008040,0.993674
3.250000,1.006924,-0.007484,0.994570
3.260000,1.006359,-0.006924,0.995471
3.270000,1.005790,-0.006359,0.996377
