Time,dx1,dx2,dx3,u1,u2,u3
0,5,3,-10,0,0,0.920924
1,4.85072,-4.81348,-8.28408,0,0,0.84427
2,4.71327,-11.8543,-6.69444,0,0,0.772673
3,4.58687,-18.1991,-5.22278,0.00451877,0,0.705875
4,4.47483,-23.9169,-3.86119,0.0203607,0.259244,0.643629
5,4.30627,-25.8098,-2.9283,0.0348314,0.438396,0.594786
6,4.10289,-25.2708,-2.30081,0.0482491,0.537277,0.556371
7,3.88715,-23.5543,-1.86025,0.0607613,0.590733,0.525281
8,3.67124,-21.35,-1.53725,0.0724725,0.618634,0.499564
9,3.46155,-19.0279,-1.29075,0.0834609,0.632285,0.477949
10,3.26124,-16.7786,-1.09607,0.0937884,0.638105,0.459576
11,3.07162,-14.6928,-0.938017,0.103506,0.639723,0.443836
12,2.89302,-12.8063,-0.807013,0.112658,0.639177,0.430279
13,2.72526,-11.1258,-0.696775,0.121282,0.637601,0.418561
14,2.56789,-9.64293,-0.603019,0.129413,0.635615,0.408408
15,2.42032,-8.34252,-0.522695,0.137084,0.63355,0.399595
16,2.28194,-7.20675,-0.453537,0.144321,0.631575,0.391938
17,2.15215,-6.21748,-0.393794,0.151152,0.629766,0.385279
18,2.03036,-5.35745,-0.342069,0.157602,0.628154,0.379485
19,1.91601,-4.61082,-0.297221,0.163694,0.626741,0.374442
20,1.80859,-3.96331,-0.258298,0.169448,0.625516,0.370051
21,1.70763,-3.40223,-0.224495,0.174884,0.624463,0.366226
22,1.61268,-2.9164,-0.195127,0.180021,0.623564,0.362894
23,1.52335,-2.49599,-0.169605,0.184877,0.622801,0.359991
24,1.43926,-2.13244,-0.147421,0.189467,0.622157,0.35746
25,1.36007,-1.81826,-0.128138,0.193807,0.621616,0.355254
26,1.28546,-1.54693,-0.111374,0.19791,0.621165,0.353331
27,1.21513,-1.31277,-0.0967997,0.201791,0.62079,0.351653
28,1.14883,-1.11085,-0.0841292,0.205461,0.620481,0.35019
29,1.08629,-0.936876,-0.0731136,0.208933,0.620229,0.348913
30,1.02728,-0.787124,-0.0635369,0.212217,0.620026,0.347798
31,0.971593,-0.658357,-0.0552112,0.215324,0.619863,0.346824
32,0.919021,-0.54776,-0.0479732,0.218264,0.619736,0.345974
33,0.869378,-0.452892,-0.041681,0.221046,0.619639,0.345231
34,0.822492,-0.371634,-0.0362111,0.223678,0.619567,0.344582
35,0.778199,-0.302146,-0.0314563,0.226169,0.619517,0.344014
36,0.736347,-0.242831,-0.0273231,0.228527,0.619484,0.343517
37,0.696795,-0.192303,-0.0237305,0.230758,0.619467,0.343082
38,0.65941,-0.149362,-0.0206078,0.232871,0.619461,0.342701
