Time,y_stack,y_A,y_B
13.1,0.71894,0.873546,0.452438
13.2,0.721941,0.8767,0.45811
13.3,0.724903,0.879776,0.463723
13.4,0.727826,0.882775,0.469278
13.5,0.73071,0.885699,0.474775
13.6,0.733556,0.88855,0.480216
13.7,0.736366,0.89133,0.4856
13.8,0.739139,0.894041,0.490928
13.9,0.741877,0.896684,0.496202
14,0.74458,0.899261,0.501421
14.1,0.747249,0.901774,0.506586
14.2,0.749886,0.904224,0.511697
14.3,0.752491,0.906613,0.516756
14.4,0.755064,0.908943,0.521762
14.5,0.757607,0.911214,0.526717
14.6,0.760121,0.913429,0.53162
14.7,0.762606,0.915588,0.536473
14.8,0.765063,0.917694,0.541275
14.9,0.767493,0.919747,0.546028
15,0.769896,0.921749,0.550731
15.1,0.772274,0.923701,0.555386
15.2,0.774625,0.925604,0.559993
15.3,0.776952,0.92746,0.564552
15.4,0.779255,0.929269,0.569063
15.5,0.781533,0.931034,0.573528
15.6,0.783788,0.932754,0.577947
15.7,0.78602,0.934431,0.58232
15.8,0.788229,0.936067,0.586648
15.9,0.790415,0.937662,0.590931
16,0.79258,0.939217,0.595169
16.1,0.794722,0.940733,0.599364
16.2,0.796843,0.942211,0.603515
16.3,0.798942,0.943653,0.607623
16.4,0.80102,0.945058,0.611689
16.5,0.803077,0.946429,0.615712
16.6,0.805114,0.947765,0.619694
16.7,0.80713,0.949068,0.623635
16.8,0.809125,0.950338,0.627534
16.9,0.8111,0.951577,0.631394
17,0.813056,0.952785,0.635213
17.1,0.814991,0.953963,0.638993
17.2,0.816907,0.955111,0.642733
17.3,0.818803,0.956231,0.646435
17.4,0.82068,0.957323,0.650098
17.5,0.822537,0.958387,0.653724
17.6,0.824376,0.959425,0.657311
17.7,0.826196,0.960437,0.660862
17.8,0.827997,0.961424,0.664376
17.9,0.829779,0.962387,0.667853
18,0.831543,0.963325,0.671295
18.1,0.833289,0.96424,0.674701
18.2,0.835017,0.965132,0.678071
18.3,0.836727,0.966001,0.681407
18.4,0.838419,0.966849,0.684708
18.5,0.840094,0.967676,0.687975
18.6,0.841751,0.968483,0.691207
18.7,0.843392,0.969269,0.694407
18.8,0.845015,0.970035,0.697573
18.9,0.846621,0.970783,0.700707
19,0.848211,0.971512,0.703808
19.1,0.849784,0.972222,0.706877
19.2,0.851341,0.972915,0.709914
19.3,0.852881,0.973591,0.712919
19.4,0.854406,0.97425,0.715894
19.5,0.855915,0.974892,0.718837
19.6,0.857408,0.975518,0.721751
19.7,0.858886,0.976129,0.724634
19.8,0.860348,0.976724,0.727487
19.9,0.861795,0.977305,0.73031
20,0.863227,0.977871,0.733105
20.1,0.864645,0.978423,0.73587
20.2,0.866047,0.978961,0.738607
20.3,0.867435,0.979486,0.741315
20.4,0.868809,0.979998,0.743995
20.5,0.870168,0.980497,0.746648
20.6,0.871513,0.980983,0.749273
20.7,0.872844,0.981458,0.751871
20.8,0.874162,0.98192,0.754441
20.9,0.875466,0.982371,0.756986
21,0.876756,0.982811,0.759504
21.1,0.878033,0.98324,0.761995
21.2,0.879297,0.983658,0.764461
21.3,0.880547,0.984065,0.766902
21.4,0.881785,0.984463,0.769317
21.5,0.88301,0.98485,0.771707
21.6,0.884222,0.985228,0.774073
21.7,0.885421,0.985597,0.776413
21.8,0.886608,0.985956,0.77873
21.9,0.887783,0.986306,0.781023
22,0.888946,0.986648,0.783292
22.1,0.890097,0.986981,0.785537
22.2,0.891235,0.987306,0.787759
22.3,0.892362,0.987622,0.789958
22.4,0.893477,0.987931,0.792134
22.5,0.894581,0.988232,0.794288
22.6,0.895673,0.988526,0.796419
22.7,0.896754,0.988812,0.798529
22.8,0.897824,0.989091,0.800616
22.9,0.898883,0.989363,0.802682
23,0.89993,0.989628,0.804727
23.1,0.900967,0.989887,0.80675
23.2,0.901993,0.990139,0.808752
23.3,0.903009,0.990385,0.810734
23.4,0.904014,0.990625,0.812695
23.5,0.905008,0.990859,0.814635
23.6,0.905992,0.991087,0.816556
23.7,0.906966,0.991309,0.818457
23.8,0.90793,0.991526,0.820338
23.9,0.908884,0.991738,0.822199
24,0.909828,0.991944,0.824041
24.1,0.910763,0.992145,0.825865
24.2,0.911687,0.992341,0.827669
24.3,0.912602,0.992532,0.829454
24.4,0.913508,0.992718,0.831221
24.5,0.914404,0.9929,0.83297
24.6,0.915291,0.993077,0.834701
24.7,0.916169,0.993249,0.836413
24.8,0.917037,0.993418,0.838108
24.9,0.917897,0.993582,0.839786
25,0.918747,0.993742,0.841446
25.1,0.919589,0.993898,0.843089
25.2,0.920422,0.99405,0.844714
25.3,0.921247,0.994199,0.846323
25.4,0.922063,0.994343,0.847916
25.5,0.92287,0.994485,0.849491
25.6,0.92367,0.994622,0.851051
25.7,0.92446,0.994756,0.852594
25.8,0.925243,0.994887,0.854121
25.9,0.926018,0.995015,0.855633
26,0.926784,0.995139,0.857129
26.1,0.927543,0.99526,0.858609
26.2,0.928294,0.995378,0.860074
26.3,0.929037,0.995494,0.861524
26.4,0.929772,0.995606,0.862959
26.5,0.930499,0.995716,0.864378
26.6,0.93122,0.995823,0.865784
