Time,y1,y2,y3,u1,u2,u3,du1,du2,du3,dx1_est,dx2_est,dx3_est,u1_ideal,u2_ideal,u3_ideal
66,140.154,128.073,-0.146461,0.587013,0.893124,0.788508,1.65105e-05,-0.000185192,0.000116885,0.154135,0.0692522,-0.00289894,0.587005,0.89378,0.788443
67,140.146,128.059,-0.146675,0.587636,0.89382,0.788391,0.000622928,0.000695944,-0.000116706,0.143726,0.0490474,0.000100646,0.587476,0.893816,0.78843
68,140.138,128.043,-0.146144,0.588927,0.89486,0.788093,0.0012908,0.00104028,-0.000298381,0.121689,0.0344501,0.00567501,0.587922,0.89385,0.788419
69,140.13,128.04,-0.145212,0.589293,0.894332,0.788146,0.00036639,-0.000527918,5.3525e-05,0.114877,0.0513895,0.00343636,0.588345,0.893882,0.788409
70,140.123,128.057,-0.145555,0.588747,0.893085,0.788486,-0.000546336,-0.00124669,0.000339091,0.123779,0.0676183,-0.00343045,0.588745,0.893912,0.788399
71,140.117,128.061,-0.146603,0.588462,0.892701,0.788711,-0.000285089,-0.00038445,0.000225961,0.128751,0.0564414,-0.00670315,0.589124,0.893941,0.788391
72,140.111,128.041,-0.147005,0.589806,0.894592,0.7883,0.00134403,0.00189143,-0.000411153,0.106409,0.015716,0.00250485,0.589482,0.893969,0.788383
73,140.105,128.015,-0.145473,0.590645,0.894775,0.788173,0.000838935,0.000182569,-0.000127614,0.0917274,0.0211364,0.00400049,0.589822,0.893995,0.788377
74,140.099,128.026,-0.145208,0.590371,0.893584,0.788446,-0.000274003,-0.00119054,0.000273764,0.0958217,0.0425489,-0.0021542,0.590144,0.89402,0.78837
75,140.094,128.04,-0.146137,0.591045,0.894398,0.788266,0.000674844,0.000813961,-0.00018096,0.0845164,0.0252127,0.00181302,0.590449,0.894043,0.788365
76,140.089,128.028,-0.145479,0.592233,0.8954,0.787945,0.00118744,0.00100201,-0.000320673,0.0642153,0.0159213,0.00753132,0.590737,0.894065,0.788359
77,140.084,128.033,-0.144564,0.592616,0.894926,0.787956,0.000383139,-0.000474811,1.14441e-05,0.0570941,0.0359828,0.00586067,0.59101,0.894087,0.788355
78,140.08,128.056,-0.144834,0.593798,0.895839,0.787634,0.00118244,0.00091356,-0.00032264,0.0367937,0.0312803,0.0113363,0.591269,0.894107,0.78835
79,140.077,128.067,-0.143966,0.592608,0.893265,0.788241,-0.00119013,-0.00257373,0.000607729,0.0561138,0.0776595,-0.0019051,0.591514,0.894126,0.788346
80,140.074,128.094,-0.146025,0.592372,0.893278,0.788375,-0.000236511,1.29342e-05,0.000133395,0.0604657,0.0596611,-0.00309622,0.591746,0.894144,0.788342
