Time,x1,x2,x3,x1_est,x2_est,x3_est,err1,err2,err3
42,97.7407,50.3318,469.466,97.5976,50.2909,479.562,0.14313,0.0409351,-10.0967
43,97.7145,50.3203,469.497,97.5818,50.3437,479.561,0.132699,-0.0233972,-10.0637
44,97.6889,50.3879,469.493,97.5582,50.3662,479.563,0.130671,0.0216822,-10.0703
45,97.6572,50.4225,469.517,97.5281,50.4264,479.56,0.129119,-0.00390997,-10.0432
46,97.627,50.4824,469.518,97.549,50.4976,479.549,0.0779628,-0.0151883,-10.0309
47,97.6096,50.5409,469.503,97.5351,50.5056,479.549,0.0744552,0.0353249,-10.046
48,97.5899,50.5479,469.509,97.5261,50.5233,479.546,0.0638065,0.0245598,-10.0368
49,97.5648,50.5582,469.493,97.5157,50.5027,479.548,0.0491053,0.0555394,-10.0551
50,97.5572,50.5201,469.514,97.4849,50.5216,479.548,0.0722663,-0.001505,-10.0342
51,97.5423,50.5447,469.489,97.4789,50.4923,479.553,0.0633661,0.0524835,-10.0637
52,97.5386,50.5305,469.512,97.4571,50.5094,479.553,0.08157,0.0211134,-10.041
53,97.528,50.5377,469.502,97.4419,50.5027,479.556,0.0860528,0.0349703,-10.054
54,97.5186,50.5386,469.481,97.4,50.4381,479.57,0.118658,0.100486,-10.0886
55,97.5037,50.4911,469.476,97.3863,50.3877,479.581,0.117401,0.103411,-10.1046
56,97.455,50.4522,469.507,97.3717,50.4117,479.582,0.0832695,0.0404807,-10.0749
57,97.4417,50.4745,469.492,97.3685,50.4037,479.585,0.0731989,0.0707835,-10.0928
58,97.4255,50.4675,469.494,97.3603,50.3981,479.589,0.0651882,0.0693606,-10.0944
59,97.3964,50.4675,469.496,97.3352,50.3866,479.595,0.0611648,0.0809551,-10.0989
60,97.4048,50.4743,469.491,97.3146,50.3642,479.605,0.0902298,0.110136,-10.1139
61,97.4029,50.4611,469.501,97.2931,50.3676,479.607,0.109824,0.0934727,-10.1059
62,97.3995,50.4546,469.511,97.2794,50.3942,479.609,0.120047,0.0604117,-10.0981
63,97.389,50.484,469.507,97.2451,50.3931,479.615,0.14393,0.0908538,-10.1083
64,97.3778,50.5015,469.496,97.236,50.3791,479.619,0.141821,0.122403,-10.1229
65,97.3657,50.4761,469.505,97.219,50.3817,479.622,0.146672,0.094363,-10.1176
66,97.3464,50.4677,469.5,97.2058,50.3759,479.628,0.140627,0.0917695,-10.1286
67,97.3324,50.4597,469.519,97.1839,50.4063,479.628,0.148505,0.0534679,-10.1086
68,97.3074,50.4989,469.526,97.177,50.4485,479.623,0.130353,0.0503644,-10.0968
69,97.3035,50.5518,469.523,97.1664,50.4707,479.622,0.13711,0.0810787,-10.0994
