channel,NRMSE_pct,K,tau,theta,Kp,Ki,Kd
y1,0.000000,0.175067,0.315000,0.245000,2.708996,6.191991,0.238933
y2,0.000000,0.175067,0.315000,0.245000,2.708996,6.191991,0.238933
