Time,y_true,y_id,error
0,0,-0.00436388,0.00436388
0.1,-0.00483342,-0.0134164,0.008583
0.2,-0.0186692,-0.0194114,0.000742148
0.3,-0.0405192,-0.0225769,-0.0179424
0.4,-0.069413,-0.0231428,-0.0462702
0.5,-0.104405,-0.0213391,-0.0830664
0.6,-0.144584,-0.0173937,-0.12719
0.7,-0.189072,-0.011531,-0.177541
0.8,-0.237037,-0.00397066,-0.233066
0.9,-0.287692,0.00507434,-0.292767
1,-0.3403,0.0153982,-0.355698
1.1,-0.394174,0.0355314,-0.429705
1.2,-0.439015,0.0659353,-0.50495
1.3,-0.465906,0.0909392,-0.556845
1.4,-0.476299,0.110831,-0.58713
1.5,-0.471667,0.125914,-0.597581
1.6,-0.453482,0.136502,-0.589984
1.7,-0.423207,0.142916,-0.566123
1.8,-0.382281,0.145481,-0.527763
1.9,-0.332107,0.144524,-0.476631
2,-0.274041,0.140371,-0.414412
2.1,-0.209387,0.133341,-0.342728
2.2,-0.139386,0.115024,-0.25441
2.3,-0.0748802,0.0850754,-0.159956
2.4,-0.025309,0.059286,-0.084595
2.5,0.0102772,0.0374855,-0.0272083
2.6,0.0328708,0.0194875,0.0133834
2.7,0.0434936,0.00509209,0.0384015
2.8,0.0431835,-0.00591107,0.0490946
2.9,0.032984,-0.0137404,0.0467244
3,0.0139332,-0.01862,0.0325531
3.1,-0.0129455,-0.0207768,0.00783129
3.2,-0.0466517,-0.0204394,-0.0262122
3.3,-0.086215,-0.00910749,-0.0771075
3.4,-0.121035,0.0136434,-0.134678
3.5,-0.141882,0.0320998,-0.173982
3.6,-0.149888,0.0465023,-0.196391
3.7,-0.146199,0.057102,-0.203301
3.8,-0.131962,0.0641575,-0.19612
3.9,-0.108318,0.0679323,-0.17625
4,-0.0763844,0.0686922,-0.145077
4.1,-0.0372555,0.0667031,-0.103959
4.2,0.00801231,0.0622285,-0.0542162
4.3,0.0584045,0.0555281,0.00287637
4.4,0.112954,0.0381282,0.0748261
4.5,0.16108,0.00962576,0.151455
4.6,0.193587,-0.0142485,0.207835
4.7,0.211651,-0.0337223,0.245373
4.8,0.216475,-0.0490375,0.265512
4.9,0.209273,-0.0604474,0.269721
5,0.191259,-0.0682135,0.259473
5.1,0.163632,-0.0726027,0.236235
5.2,0.12757,-0.0738844,0.201454
5.3,0.0842182,-0.0723287,0.156547
5.4,0.0346829,-0.0682039,0.102887
5.5,-0.0199766,-0.0530464,0.0330698
5.6,-0.0690862,-0.0264658,-0.0426203
5.7,-0.103357,-0.00420629,-0.0991508
5.8,-0.123876,0.013945,-0.137821
5.9,-0.131755,0.0282141,-0.159969
6,-0.128124,0.0388377,-0.166962
6.1,-0.114112,0.0460602,-0.160172
6.2,-0.0908398,0.0501306,-0.14097
6.3,-0.0594102,0.051301,-0.110711
6.4,-0.0208983,0.0498235,-0.0707218
6.5,0.0236557,0.0459486,-0.0222929
6.6,0.0732533,0.0311954,0.0420579
6.7,0.117276,0.00515625,0.11212
6.8,0.146486,-0.0164414,0.162927
6.9,0.162015,-0.0338263,0.195841
7,0.165018,-0.0472402,0.212258
7.1,0.156657,-0.0569345,0.213591
7.2,0.138094,-0.0631677,0.201262
7.3,0.110476,-0.0662021,0.176678
7.4,0.0749279,-0.0663022,0.14123
7.5,0.0325417,-0.0637316,0.0962733
7.6,-0.0156287,-0.0587517,0.043123
7.7,-0.0685749,-0.0428914,-0.0256834
7.8,-0.115672,-0.015752,-0.0999199
7.9,-0.147679,0.0069308,-0.15461
8,-0.165728,0.0253787,-0.191106
8.1,-0.170975,0.0398268,-0.210801
8.2,-0.164588,0.050521,-0.215109
8.3,-0.147736,0.0577149,-0.205451
