Time,y_true,y_id,error
8.4,-0.121575,0.0616667,-0.183242
8.5,-0.0872391,0.0626375,-0.149877
8.6,-0.0458327,0.0608883,-0.106721
8.7,0.00157742,0.0566783,-0.0551008
8.8,0.0539692,0.0415349,0.0124343
8.9,0.100704,0.0150586,0.085645
9,0.132525,-0.00701543,0.13954
9.1,0.150549,-0.0249087,0.175458
9.2,0.155919,-0.038856,0.194775
9.3,0.149787,-0.0491023,0.198889
9.4,0.133305,-0.0558998,0.189205
9.5,0.107617,-0.0595055,0.167122
9.6,0.0738408,-0.0601785,0.134019
9.7,0.0330688,-0.0581779,0.0912467
9.8,-0.013646,-0.0537607,0.0401147
9.9,-0.0652938,-0.038452,-0.0268418
10,-0.111247,-0.0118498,-0.0993976
10.1,-0.142262,0.0103133,-0.152575
10.2,-0.159464,0.0282614,-0.187725
10.3,-0.164004,0.0422319,-0.206236
10.4,-0.157045,0.0524725,-0.209517
10.5,-0.139746,0.0592381,-0.198984
10.6,-0.113257,0.0627882,-0.176045
10.7,-0.0787027,0.0633845,-0.142087
10.8,-0.0371803,0.0612887,-0.098469
10.9,0.0102526,0.0567601,-0.0465075
11,0.0625825,0.0413263,0.0212561
11.1,0.109179,0.0145874,0.0945916
11.2,0.140795,-0.00772184,0.148517
11.3,0.158555,-0.0258235,0.184378
11.4,0.163609,-0.0399531,0.203562
11.5,0.157118,-0.0503565,0.207475
11.6,0.140243,-0.0572871,0.19753
11.7,0.114131,-0.0610028,0.175134
11.8,0.0799113,-0.061764,0.141675
11.9,0.0386795,-0.0598311,0.0985106
12,-0.0085046,-0.0554623,0.0469577
12.1,-0.060626,-0.0401841,-0.0204419
12.2,-0.107052,-0.0135959,-0.0934566
12.3,-0.138535,0.00856832,-0.147103
12.4,-0.156195,0.0265313,-0.182727
12.5,-0.161182,0.0405292,-0.201711
12.6,-0.154653,0.0508081,-0.205461
12.7,-0.137767,0.0576218,-0.195388
12.8,-0.111669,0.0612286,-0.172897
12.9,-0.0774846,0.0618888,-0.139373
13,-0.0363083,0.0598631,-0.0961714
13.1,0.0108031,0.0554095,-0.0446064
13.2,0.0628369,0.0400548,0.0227821
13.3,0.109163,0.0133978,0.0957652
13.4,0.140534,-0.00882735,0.149362
13.5,0.158076,-0.0268437,0.18492
13.6,0.162937,-0.0408877,0.203824
13.7,0.156277,-0.0512057,0.207483
13.8,0.139257,-0.0580518,0.197309
13.9,0.113024,-0.0616846,0.174709
14,0.0787051,-0.062365,0.14107
14.1,0.037395,-0.0603537,0.0977487
14.2,-0.00984787,-0.0559095,0.0460616
14.3,-0.0620097,-0.0405592,-0.0214505
14.4,-0.108459,-0.0139023,-0.0945571
14.5,-0.139949,0.00832678,-0.148276
14.6,-0.157604,0.0263507,-0.183954
14.7,-0.162571,0.0404055,-0.202977
14.8,-0.156012,0.0507372,-0.206749
14.9,-0.139085,0.0575994,-0.196684
15,-0.112938,0.0612505,-0.174188
15.1,-0.0786967,0.061951,-0.140648
15.2,-0.0374576,0.0599613,-0.0974189
15.3,0.00972156,0.0555398,-0.0458183
15.4,0.0618269,0.0402131,0.0216138
15.5,0.108227,0.0135805,0.0946469
15.6,0.139675,-0.00862397,0.148299
15.7,0.157293,-0.0266232,0.183917
15.8,0.162231,-0.0406532,0.202885
15.9,0.155649,-0.0509605,0.206609
16,0.138704,-0.0577987,0.196503
16.1,0.112544,-0.0614264,0.173971
16.2,0.0782961,-0.0621042,0.1404
16.3,0.037054,-0.0600926,0.0971466
16.4,-0.010124,-0.0556501,0.0455261
16.5,-0.0622245,-0.0403035,-0.021921
16.6,-0.108617,-0.0136521,-0.0949648
16.7,-0.140053,0.00857018,-0.148623
16.8,-0.157658,0.0265859,-0.184244
16.9,-0.16258,0.0406313,-0.203212
17,-0.15598,0.0509528,-0.206932
17.1,-0.139016,0.0578039,-0.19682
17.2,-0.112836,0.0614433,-0.17428
17.3,-0.0785668,0.0621316,-0.140698
17.4,-0.0373031,0.0601294,-0.0974325
17.5,0.00989692,0.0556952,-0.0457983
17.6,0.0620194,0.0403557,0.0216637
17.7,0.108434,0.0137103,0.0947234
17.8,0.139892,-0.00850685,0.148398
17.9,0.157518,-0.0265185,0.184036
18,0.16246,-0.0405607,0.203021
18.1,0.155879,-0.0508798,0.206759
18.2,0.138934,-0.0577294,0.196663
18.3,0.112772,-0.061368,0.17414
18.4,0.0785191,-0.0620561,0.140575
18.5,0.0372709,-0.0600544,0.0973252
18.6,-0.00991481,-0.0556212,0.0457064
18.7,-0.0620242,-0.0402832,-0.021741
18.8,-0.108427,-0.0136398,-0.0947868
18.9,-0.139874,0.00857506,-0.148449
19,-0.15749,0.026584,-0.184074
19.1,-0.162424,0.0406233,-0.203048
19.2,-0.155836,0.0509392,-0.206775
19.3,-0.138885,0.0577855,-0.19667
19.4,-0.112718,0.0614205,-0.174138
19.5,-0.0784609,0.0621051,-0.140566
19.6,-0.0372095,0.0600996,-0.0973091
19.7,0.00997843,0.0556627,-0.0456843
19.8,0.0620893,0.0403211,0.0217682
19.9,0.108492,0.013674,0.0948183
