Time,dx1,dx2,dx3,u1,u2,u3
82,0.0996913,0.0279429,-4.88343e-05,0.113546,0.380537,0.122731
83,0.0944217,0.0265396,-4.23718e-05,0.113848,0.380542,0.122725
84,0.0894308,0.0252009,-3.67519e-05,0.114134,0.380546,0.122719
85,0.0847038,0.0239248,-3.18652e-05,0.114405,0.380551,0.122713
86,0.0802267,0.0227089,-2.76168e-05,0.114662,0.380555,0.122708
87,0.0759862,0.021551,-2.39239e-05,0.114905,0.380559,0.122703
88,0.07197,0.0204489,-2.07145e-05,0.115135,0.380562,0.122698
89,0.0681661,0.0194002,-1.79256e-05,0.115353,0.380566,0.122694
90,0.0645632,0.0184029,-1.55028e-05,0.115559,0.380569,0.12269
91,0.0611508,0.0174546,-1.33985e-05,0.115755,0.380572,0.122686
92,0.0579189,0.0165534,-1.15713e-05,0.11594,0.380575,0.122683
93,0.0548577,0.015697,-9.985e-06,0.116116,0.380578,0.122679
94,0.0519584,0.0148835,-8.60838e-06,0.116282,0.380581,0.122676
95,0.0492123,0.0141109,-7.41407e-06,0.116439,0.380583,0.122673
96,0.0466113,0.0133774,-6.37831e-06,0.116588,0.380586,0.12267
97,0.0441479,0.012681,-5.48039e-06,0.116729,0.380588,0.122667
98,0.0418146,0.0120201,-4.70231e-06,0.116863,0.38059,0.122665
99,0.0396047,0.0113929,-4.02839e-06,0.11699,0.380592,0.122662
100,0.0375116,0.0107978,-3.445e-06,0.11711,0.380594,0.12266
101,0.0355291,0.0102333,-2.94025e-06,0.117223,0.380596,0.122658
102,0.0336514,0.00969778,-2.50382e-06,0.117331,0.380598,0.122656
103,0.0318729,0.0091899,-2.12673e-06,0.117433,0.3806,0.122654
104,0.0301884,0.00870827,-1.80116e-06,0.11753,0.380601,0.122652
105,0.028593,0.00825157,-1.5203e-06,0.117621,0.380603,0.12265
106,0.0270819,0.00781855,-1.27826e-06,0.117708,0.380604,0.122649
107,0.0256506,0.00740802,-1.06987e-06,0.11779,0.380605,0.122647
108,0.024295,0.00701884,-8.90674e-07,0.117867,0.380607,0.122646
109,0.0230111,0.00664993,-7.36777e-07,0.117941,0.380608,0.122644
110,0.0217949,0.00630026,-6.04801e-07,0.118011,0.380609,0.122643
111,0.0206431,0.00596884,-4.91808e-07,0.118077,0.38061,0.122642
112,0.0195521,0.00565473,-3.95244e-07,0.118139,0.380611,0.122641
113,0.0185188,0.00535705,-3.12891e-07,0.118198,0.380612,0.12264
114,0.0175402,0.00507496,-2.42824e-07,0.118255,0.380613,0.122639
115,0.0166132,0.00480764,-1.83368e-07,0.118308,0.380614,0.122638
116,0.0157352,0.00455434,-1.33072e-07,0.118358,0.380615,0.122637
117,0.0149036,0.00431432,-9.06743e-08,0.118406,0.380616,0.122636
118,0.014116,0.0040869,-5.50817e-08,0.118451,0.380616,0.122635
119,0.01337,0.00387142,-2.53453e-08,0.118494,0.380617,0.122634
120,0.0126634,0.00366727,-6.42553e-10,0.118534,0.380618,0.122633
121,0.0119942,0.00347385,1.97394e-08,0.118572,0.380618,0.122633
