Time,y1,y2,y3,u1,u2,u3,du3,theta
0,75.6,15.3,-0.10961,0.11926,0.38063,0.000420044,-0.1222,-0.000206622
1,75.6,15.3,-0.107903,0.11926,0.38063,0.000437985,1.79414e-05,-0.000805464
2,75.6183,15.3,-0.109035,0.11926,0.38063,0,-0.000437985,-0.00197492
3,75.6366,15.3005,-0.110162,0.11926,0.38063,0,0,-0.00387797
4,75.655,15.3013,-0.111299,0.11926,0.38063,0,0,-0.00665996
5,75.6733,15.3025,-0.112436,0.11926,0.38063,0,0,-0.0104465
6,75.6916,15.3039,-0.113572,0.11926,0.38063,0,0,-0.0153418
7,75.7099,15.3057,-0.114709,0.11926,0.38063,0,0,-0.0214272
8,75.7281,15.3076,-0.115846,0.11926,0.38063,0,0,-0.0287599
9,75.7463,15.3098,-0.116983,0.11926,0.38063,0,0,-0.0373728
10,75.7645,15.3122,-0.118121,0.11926,0.38063,0,0,-0.0472737
11,75.7827,15.3148,-0.119258,0.11926,0.38063,0,0,-0.0584459
12,75.8008,15.3175,-0.120396,0.11926,0.38063,0,0,-0.0708482
13,75.819,15.3204,-0.121533,0.11926,0.38063,0,0,-0.0844159
14,75.8371,15.3234,-0.122671,0.11926,0.38063,0,0,-0.0990622
15,75.8551,15.3265,-0.123809,0.11926,0.38063,0,0,-0.11468
16,75.8732,15.3297,-0.124947,0.11926,0.38063,0,0,-0.131142
17,75.8912,15.333,-0.126085,0.11926,0.38063,0,0,-0.148306
18,75.9092,15.3363,-0.127223,0.11926,0.38063,0,0,-0.166015
19,75.9272,15.3398,-0.128361,0.11926,0.38063,0,0,-0.184099
20,75.9452,15.3433,-0.129499,0.11926,0.38063,0,0,-0.202382
21,75.9631,15.3469,-0.130637,0.11926,0.38063,0,0,-0.22068
22,75.981,15.3505,-0.131776,0.11926,0.38063,0,0,-0.238806
23,75.9989,15.3542,-0.132914,0.11926,0.38063,0,0,-0.256574
24,76.0168,15.3579,-0.134053,0.11926,0.38063,0,0,-0.273801
25,76.0346,15.3616,-0.135192,0.11926,0.38063,0,0,-0.290309
26,76.0524,15.3654,-0.13633,0.11926,0.38063,0,0,-0.305931
27,76.0702,15.3692,-0.137469,0.11926,0.38063,0,0,-0.320511
28,76.088,15.373,-0.138609,0.11926,0.38063,0,0,-0.333905
29,76.1057,15.3769,-0.139748,0.11926,0.38063,0,0,-0.345988
30,76.1234,15.3808,-0.140887,0.11926,0.38063,0,0,-0.356652
31,76.1411,15.3846,-0.142026,0.11926,0.38063,0,0,-0.365811
32,76.1588,15.3885,-0.143165,0.11926,0.38063,0,0,-0.373399
33,76.1765,15.3925,-0.144305,0.11926,0.38063,0,0,-0.379372
34,76.1941,15.3964,-0.145444,0.11926,0.38063,0,0,-0.383711
35,76.2117,15.4003,-0.146584,0.11926,0.38063,0,0,-0.38642
36,76.2293,15.4043,-0.147724,0.11926,0.38063,0,0,-0.387526
37,76.2468,15.4082,-0.148863,0.11926,0.38063,0,0,-0.387079
38,76.2644,15.4122,-0.150003,0.11926,0.38063,0,0,-0.385153
39,76.2819,15.4161,-0.151143,0.11926,0.38063,0,0,-0.381842
40,76.2994,15.4201,-0.152283,0.11926,0.38063,0,0,-0.37726
41,76.3168,15.4241,-0.153423,0.11926,0.38063,0,0,-0.371539
42,76.3343,15.428,-0.154564,0.11926,0.38063,0,0,-0.364825
43,76.3517,15.432,-0.155704,0.11926,0.38063,0,0,-0.357282
44,76.3691,15.436,-0.156844,0.11926,0.38063,0,0,-0.349081
45,76.3865,15.4399,-0.157985,0.11926,0.38063,0,0,-0.340403
46,76.4038,15.4439,-0.159125,0.11926,0.38063,0,0,-0.331434
47,76.4211,15.4479,-0.160265,0.11926,0.38063,0,0,-0.322365
48,76.4384,15.4518,-0.161406,0.11926,0.38063,0,0,-0.313383
49,76.4557,15.4558,-0.162547,0.11926,0.38063,0,0,-0.304675
50,76.473,15.4597,-0.163688,0.11926,0.38063,0,0,-0.29642
51,76.4902,15.4637,-0.164829,0.11926,0.38063,0,0,-0.28879
52,76.5074,15.4677,-0.165969,0.11926,0.38063,0,0,-0.281943
53,76.5246,15.4716,-0.167111,0.11926,0.38063,0,0,-0.276026
54,76.5418,15.4756,-0.168252,0.11926,0.38063,0,0,-0.271167
55,76.5589,15.4795,-0.169393,0.11926,0.38063,0,0,-0.267479
56,76.576,15.4834,-0.170535,0.11926,0.38063,0,0,-0.265053
57,76.5931,15.4874,-0.171675,0.11926,0.38063,0,0,-0.26396
58,76.6102,15.4913,-0.172817,0.11926,0.38063,0,0,-0.264248
59,76.6273,15.4952,-0.173959,0.11926,0.38063,0,0,-0.265942
60,76.6443,15.4992,-0.1751,0.11926,0.38063,0,0,-0.269045
61,76.6613,15.5031,-0.176242,0.11926,0.38063,0,0,-0.273537
62,76.6783,15.507,-0.177383,0.11926,0.38063,0,0,-0.279373
63,76.6952,15.5109,-0.178525,0.11926,0.38063,0,0,-0.286488
64,76.7122,15.5148,-0.179667,0.11926,0.38063,0,0,-0.294795
65,76.7291,15.5187,-0.180809,0.11926,0.38063,0,0,-0.30419
66,76.746,15.5226,-0.181951,0.11926,0.38063,0,0,-0.314547
