t,y,error,u
1.260000,-2.439056,3.413724,-6.000000
1.270000,-2.464338,3.439056,-6.000000
1.280000,-2.489568,3.464338,-6.000000
1.290000,-2.514744,3.489568,-6.000000
1.300000,-2.539864,3.514744,-6.000000
1.310000,-2.564925,3.539864,-6.000000
1.320000,-2.589927,3.564925,-6.000000
1.330000,-2.614866,3.589927,-6.000000
1.340000,-2.639742,3.614866,-6.000000
1.350000,-2.664552,3.639742,-6.000000
1.360000,-2.689295,3.664552,-6.000000
1.370000,-2.713969,3.689295,-6.000000
1.380000,-2.738572,3.713969,-6.000000
1.390000,-2.763103,3.738572,-6.000000
1.400000,-2.787560,3.763103,-6.000000
1.410000,-2.811941,3.787560,-6.000000
1.420000,-2.836245,3.811941,-6.000000
1.430000,-2.860470,3.836245,-6.000000
1.440000,-2.884615,3.860470,-6.000000
1.450000,-2.908679,3.884615,-6.000000
1.460000,-2.932659,3.908679,-6.000000
1.470000,-2.956555,3.932659,-6.000000
1.480000,-2.980365,3.956555,-6.000000
1.490000,-3.004087,3.980365,-6.000000
1.500000,-3.027721,4.004087,-6.000000
1.510000,-3.051266,4.027721,-6.000000
1.520000,-3.074719,4.051266,-6.000000
1.530000,-3.098079,4.074719,-6.000000
1.540000,-3.121347,4.098079,-6.000000
1.550000,-3.144519,4.121347,-6.000000
1.560000,-3.167595,4.144519,-6.000000
1.570000,-3.190575,4.167595,-6.000000
1.580000,-3.213456,4.190575,-6.000000
1.590000,-3.236239,4.213456,-6.000000
1.600000,-3.258921,4.236239,-6.000000
1.610000,-3.281502,4.258921,-6.000000
1.620000,-3.303980,4.281502,-6.000000
1.630000,-3.326356,4.303980,-6.000000
1.640000,-3.348627,4.326356,-6.000000
1.650000,-3.370793,4.348627,-6.000000
1.660000,-3.392854,4.370793,-6.000000
1.670000,-3.414808,4.392854,-6.000000
1.680000,-3.436654,4.414808,-6.000000
1.690000,-3.458391,4.436654,-6.000000
1.700000,-3.480020,4.458391,-6.000000
1.710000,-3.501538,4.480020,-6.000000
1.720000,-3.522946,4.501538,-6.000000
1.730000,-3.544242,4.522946,-6.000000
1.740000,-3.565426,4.544242,-6.000000
1.750000,-3.586498,4.565426,-6.000000
1.760000,-3.607456,4.586498,-6.000000
1.770000,-3.628300,4.607456,-6.000000
1.780000,-3.649029,4.628300,-6.000000
1.790000,-3.669643,4.649029,-6.000000
1.800000,-3.690141,4.669643,-6.000000
1.810000,-3.710523,4.690141,-6.000000
1.820000,-3.730787,4.710523,-6.000000
1.830000,-3.750935,4.730787,-6.000000
1.840000,-3.770964,4.750935,-6.000000
1.850000,-3.790875,4.770964,-6.000000
1.860000,-3.810668,4.790875,-6.000000
1.870000,-3.830341,4.810668,-6.000000
1.880000,-3.849895,4.830341,-6.000000
1.890000,-3.869328,4.849895,-6.000000
1.900000,-3.888641,4.869328,-6.000000
1.910000,-3.907834,4.888641,-6.000000
1.920000,-3.926905,4.907834,-6.000000
1.930000,-3.945856,4.926905,-6.000000
1.940000,-3.964684,4.945856,-6.000000
1.950000,-3.983391,4.964684,-6.000000
1.960000,-4.001975,4.983391,-6.000000
1.970000,-4.020437,5.001975,-6.000000
1.980000,-4.038777,5.020437,-6.000000
1.990000,-4.056994,5.038777,-6.000000
2.000000,-4.075087,5.056994,-6.000000
2.010000,-4.093058,5.075087,-6.000000
2.020000,-4.110905,5.093058,-6.000000
2.030000,-4.128628,5.110905,-6.000000
2.040000,-4.146228,5.128628,-6.000000
2.050000,-4.163705,5.146228,-6.000000
2.060000,-4.181057,5.163705,-6.000000
2.070000,-4.198286,5.181057,-6.000000
2.080000,-4.215391,5.198286,-6.000000
2.090000,-4.232371,5.215391,-6.000000
2.100000,-4.249228,5.232371,-6.000000
2.110000,-4.265960,5.249228,-6.000000
2.120000,-4.282569,5.265960,-6.000000
2.130000,-4.299053,5.282569,-6.000000
2.140000,-4.315414,5.299053,-6.000000
2.150000,-4.331650,5.315414,-6.000000
2.160000,-4.347763,5.331650,-6.000000
2.170000,-4.363751,5.347763,-6.000000
2.180000,-4.379616,5.363751,-6.000000
2.190000,-4.395357,5.379616,-6.000000
2.200000,-4.410974,5.395357,-6.000000
2.210000,-4.426468,5.410974,-6.000000
2.220000,-4.441839,5.426468,-6.000000
2.230000,-4.457086,5.441839,-6.000000
2.240000,-4.472210,5.457086,-6.000000
2.250000,-4.487211,5.472210,-6.000000
2.260000,-4.502089,5.487211,-6.000000
2.270000,-4.516845,5.502089,-6.000000
2.280000,-4.531478,5.516845,-6.000000
2.290000,-4.545989,5.531478,-6.000000
2.300000,-4.560378,5.545989,-6.000000
2.310000,-4.574645,5.560378,-6.000000
2.320000,-4.588790,5.574645,-6.000000
2.330000,-4.602814,5.588790,-6.000000
2.340000,-4.616718,5.602814,-6.000000
2.350000,-4.630500,5.616718,-6.000000
2.360000,-4.644161,5.630500,-6.000000
2.370000,-4.657703,5.644161,-6.000000
2.380000,-4.671124,5.657703,-6.000000
2.390000,-4.684426,5.671124,-6.000000
2.400000,-4.697608,5.684426,-6.000000
2.410000,-4.710672,5.697608,-6.000000
2.420000,-4.723616,5.710672,-6.000000
2.430000,-4.736442,5.723616,-6.000000
2.440000,-4.749150,5.736442,-6.000000
2.450000,-4.761741,5.749150,-6.000000
2.460000,-4.774214,5.761741,-6.000000
2.470000,-4.786570,5.774214,-6.000000
2.480000,-4.798809,5.786570,-6.000000
2.490000,-4.810932,5.798809,-6.000000
2.500000,-4.822939,5.810932,-6.000000
2.510000,-4.834831,5.822939,-6.000000
2.520000,-4.846607,5.834831,-6.000000
2.530000,-4.858269,5.846607,-6.000000
2.540000,-4.869817,5.858269,-6.000000
2.550000,-4.881250,5.869817,-6.000000
2.560000,-4.892571,5.881250,-6.000000
2.570000,-4.903778,5.892571,-6.000000
2.580000,-4.914873,5.903778,-6.000000
2.590000,-4.925855,5.914873,-6.000000
2.600000,-4.936726,5.925855,-6.000000
2.610000,-4.947486,5.936726,-6.000000
2.620000,-4.958135,5.947486,-6.000000
2.630000,-4.968674,5.958135,-6.000000
2.640000,-4.979103,5.968674,-6.000000
2.650000,-4.989422,5.979103,-6.000000
2.660000,-4.999633,5.989422,-6.000000
2.670000,-5.009735,5.999633,-6.000000
2.680000,-5.019730,6.009735,-6.000000
