Time,dx1,dx2,dx3,u1,u2,u3
74,4.5318e-07,3.19359e-07,-0.0276643,0.271326,0.62082,0.344809
75,3.18773e-07,3.36282e-07,-0.0193382,0.271232,0.62082,0.344241
76,1.9948e-07,3.4606e-07,-0.0119541,0.271141,0.62082,0.343694
77,9.47631e-08,3.49597e-07,-0.00547769,0.271054,0.62082,0.343172
78,3.96023e-09,3.47751e-07,0.000132846,0.270971,0.62082,0.342679
79,-7.36883e-08,3.41331e-07,0.00492534,0.270894,0.62082,0.342217
80,-1.39015e-07,3.31091e-07,0.00895207,0.270823,0.62082,0.341789
81,-1.92902e-07,3.17731e-07,0.0122683,0.270758,0.62082,0.341395
82,-2.36264e-07,3.0189e-07,0.0149314,0.270698,0.62082,0.341036
83,-2.70028e-07,2.8415e-07,0.016999,0.270644,0.62082,0.340712
84,-2.9512e-07,2.65033e-07,0.0185292,0.270595,0.62082,0.340423
85,-3.12452e-07,2.45007e-07,0.0195788,0.270553,0.62082,0.340166
86,-3.22911e-07,2.24482e-07,0.020203,0.270515,0.62082,0.339942
87,-3.27353e-07,2.03817e-07,0.0204551,0.270483,0.62082,0.339748
88,-3.2659e-07,1.8332e-07,0.0203856,0.270456,0.62082,0.339583
89,-3.2139e-07,1.63252e-07,0.0200424,0.270432,0.62082,0.339445
90,-3.12471e-07,1.4383e-07,0.01947,0.270414,0.62082,0.339332
91,-3.00498e-07,1.25231e-07,0.0187098,0.270399,0.62082,0.339241
92,-2.86082e-07,1.07593e-07,0.0177996,0.270387,0.62082,0.339172
93,-2.6978e-07,9.10234e-08,0.016774,0.270378,0.62082,0.339121
94,-2.52093e-07,7.55964e-08,0.015664,0.270373,0.62082,0.339087
95,-2.33468e-07,6.13609e-08,0.0144973,0.27037,0.62082,0.339067
96,-2.14301e-07,4.83419e-08,0.0132985,0.270368,0.62082,0.339061
97,-1.94939e-07,3.65436e-08,0.0120889,0.270369,0.62082,0.339065
98,-1.75678e-07,2.59528e-08,0.0108869,0.270372,0.62082,0.339079
99,-1.56774e-07,1.65413e-08,0.00970817,0.270375,0.62082,0.339101
100,-1.38436e-07,8.26854e-09,0.00856573,0.27038,0.62082,0.33913
101,-1.20838e-07,1.08414e-09,0.0074702,0.270385,0.62082,0.339163
102,-1.04118e-07,-5.07021e-09,0.00643002,0.270392,0.62082,0.3392
103,-8.83796e-08,-1.02587e-08,0.00545162,0.270398,0.62082,0.33924
104,-7.37004e-08,-1.45495e-08,0.00453963,0.270405,0.62082,0.339282
105,-6.01303e-08,-1.80135e-08,0.0036971,0.270412,0.62082,0.339325
106,-4.7697e-08,-2.07227e-08,0.00292566,0.27042,0.62082,0.339368
107,-3.64083e-08,-2.27492e-08,0.0022257,0.270427,0.62082,0.339411
108,-2.62547e-08,-2.41642e-08,0.00159657,0.270434,0.62082,0.339452
109,-1.72127e-08,-2.50368e-08,0.00103673,0.27044,0.62082,0.339493
