t_s,G_Wm2,T_amb_C,phi_amb,v_w_ms,m_dot_w_kgs,kr,Tw1_C,Tw2_C,T_ai_C,ma_dot_kgs,Q_cond_kW,W_comp_kW,EER,Me_calc,Me_target,Tc_C,eta_PV,W_PV_W,vi_ms,Q_op_ls,W_pump_W,eta_pump,EER_grid,W_net_kW,ref_Tw1_C,error_Tw1_C
180.000000,920.000000,35.600000,0.350000,3.028000,0.032618,0.850000,40.191154,7.000000,-134140.837796,0.000001,4.531897,0.731897,5.191986,-0.013314,0.024128,-77920.204227,54.001547,99362.846627,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-98.099006,40.000000,-0.191154
190.000000,920.000000,35.600000,0.350000,3.028000,0.033266,0.850000,39.578682,7.000000,-122324.201902,0.000001,4.536646,0.736646,5.158514,-0.013745,0.023974,-71050.589364,49.256017,90631.071525,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-89.362482,40.000000,0.421318
200.000000,920.000000,35.600000,0.350000,3.028000,0.032729,0.850000,40.084463,7.000000,-132183.541775,0.000001,4.532752,0.732752,5.185928,-0.013388,0.024101,-76782.327935,53.215502,97916.523933,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-96.651829,40.000000,-0.084463
210.000000,920.000000,35.600000,0.350000,3.028000,0.033174,0.850000,39.664300,7.000000,-124062.652250,0.000001,4.536006,0.736006,5.163003,-0.013684,0.023995,-72061.239473,49.954174,91915.680580,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-90.647732,40.000000,0.335700
220.000000,920.000000,35.600000,0.350000,3.028000,0.032806,0.850000,40.011776,7.000000,-130826.214105,0.000001,4.533328,0.733328,5.181856,-0.013438,0.024083,-75993.243934,52.670403,96913.541353,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-95.648270,40.000000,-0.011776
230.000000,920.000000,35.600000,0.350000,3.028000,0.033111,0.850000,39.723503,7.000000,-125247.846363,0.000001,4.535558,0.735558,5.166144,-0.013641,0.024010,-72750.253433,50.430145,92791.466932,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-91.523965,40.000000,0.276497
240.000000,920.000000,35.600000,0.350000,3.028000,0.032858,0.850000,39.962199,7.000000,-129889.233490,0.000001,4.533718,0.733718,5.179104,-0.013473,0.024070,-75448.529176,52.294114,96221.169677,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-94.955509,40.000000,0.037801
250.000000,920.000000,35.600000,0.350000,3.028000,0.033067,0.850000,39.764404,7.000000,-126058.666375,0.000001,4.535247,0.735247,5.168330,-0.013612,0.024021,-73221.624580,50.755768,93390.613598,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-92.123423,40.000000,0.235596
260.000000,920.000000,35.600000,0.350000,3.028000,0.032894,0.850000,39.928374,7.000000,-129244.664947,0.000001,4.533982,0.733982,5.177238,-0.013496,0.024062,-75073.808512,52.035257,95744.872733,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-94.478947,40.000000,0.071626
270.000000,920.000000,35.600000,0.350000,3.028000,0.033037,0.850000,39.792659,7.000000,-126615.020524,0.000001,4.535031,0.735031,5.169849,-0.013592,0.024028,-73545.061704,50.979199,93801.725470,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-92.534751,40.000000,0.207341
280.000000,920.000000,35.600000,0.350000,3.028000,0.032918,0.850000,39.905305,7.000000,-128802.606804,0.000001,4.534162,0.734162,5.175971,-0.013512,0.024056,-74816.817502,51.857728,95418.218657,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-94.152114,40.000000,0.094695
290.000000,920.000000,35.600000,0.350000,3.028000,0.033017,0.850000,39.812195,7.000000,-126997.872922,0.000001,4.534881,0.734881,5.170903,-0.013578,0.024033,-73767.633385,51.132951,94084.630102,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-92.817806,40.000000,0.187805
300.000000,920.000000,35.600000,0.350000,3.028000,0.032934,0.850000,39.889593,7.000000,-128500.385500,0.000001,4.534284,0.734284,5.175111,-0.013523,0.024052,-74641.120800,51.736356,95194.895498,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-93.928668,40.000000,0.110407
310.000000,920.000000,35.600000,0.350000,3.028000,0.033002,0.850000,39.825724,7.000000,-127262.172867,0.000001,4.534777,0.734777,5.171635,-0.013568,0.024036,-73921.284462,51.239093,94279.931684,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-93.013211,40.000000,0.174276
320.000000,920.000000,35.600000,0.350000,3.028000,0.032946,0.850000,39.878920,7.000000,-128294.537252,0.000001,4.534367,0.734367,5.174528,-0.013531,0.024049,-74521.450685,51.653688,95042.786165,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-93.776476,40.000000,0.121080
330.000000,920.000000,35.600000,0.350000,3.028000,0.032992,0.850000,39.835122,7.000000,-127445.345976,0.000001,4.534705,0.734705,5.172144,-0.013562,0.024038,-74027.772360,51.312655,94415.285469,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-93.148637,40.000000,0.164878
340.000000,920.000000,35.600000,0.350000,3.028000,0.032953,0.850000,39.871698,7.000000,-128155.021585,0.000001,4.534422,0.734422,5.174133,-0.013536,0.024048,-74440.343091,51.597659,94939.692574,0.000000,0.521552,531.943278,0.244171,1000000000.000000,-93.673327,40.000000,0.128302
