t_s,G_Wm2,T_amb_C,phi_amb,v_w_ms,m_dot_w_kgs,kr,Tw1_C,Tw2_C,T_ai_C,ma_dot_kgs,Q_cond_kW,W_comp_kW,EER,Me_calc,Me_target,Tc_C,eta_PV,W_PV_W,vi_ms,Q_op_ls,W_pump_W,eta_pump,EER_grid,W_net_kW,ref_Tw1_C,error_Tw1_C
0.000000,250.000000,30.000000,0.500000,5.000000,0.151267,0.850000,13.910847,7.000000,9.447471,0.122055,4.375961,0.575961,6.597673,2.578476,0.662024,26.664304,0.155850,77.925149,3.158876,0.521552,1533.919004,0.084675,1.870121,2.031954,40.000000,26.089153
10.000000,252.777778,30.000000,0.500000,5.000000,0.220000,0.850000,11.717633,7.000000,9.174026,0.118913,4.344562,0.544562,6.978080,1.657730,0.581102,27.241595,0.155452,78.589373,2.540630,0.521552,1533.919004,0.084675,1.900103,1.999892,40.000000,28.282367
20.000000,255.555556,30.000000,0.500000,5.000000,0.220000,0.850000,11.717633,7.000000,9.174026,0.118913,4.344562,0.544562,6.978080,1.657730,0.581102,27.347234,0.155379,79.415693,2.540630,0.521552,1533.919004,0.084675,1.900888,1.999066,40.000000,28.282367
30.000000,258.333333,30.000000,0.500000,5.000000,0.220000,0.850000,11.717633,7.000000,9.174026,0.118913,4.344562,0.544562,6.978080,1.657730,0.581102,27.452894,0.155306,80.241196,2.540630,0.521552,1533.919004,0.084675,1.901673,1.998240,40.000000,28.282367
40.000000,261.111111,30.000000,0.500000,5.000000,0.220000,0.850000,11.717633,7.000000,9.174026,0.118913,4.344562,0.544562,6.978080,1.657730,0.581102,27.558574,0.155233,81.065880,2.540630,0.521552,1533.919004,0.084675,1.902458,1.997416,40.000000,28.282367
50.000000,263.888889,30.000000,0.500000,5.000000,0.220000,0.850000,11.717633,7.000000,9.174026,0.118913,4.344562,0.544562,6.978080,1.657730,0.581102,27.664275,0.155160,81.889746,2.540630,0.521552,1533.919004,0.084675,1.903243,1.996592,40.000000,28.282367
60.000000,266.666667,30.000000,0.500000,5.000000,0.220000,0.850000,11.717633,7.000000,9.174026,0.118913,4.344562,0.544562,6.978080,1.657730,0.581102,27.769997,0.155086,82.712792,2.540630,0.521552,1533.919004,0.084675,1.904028,1.995769,40.000000,28.282367
70.000000,269.444444,30.000000,0.500000,5.000000,0.220000,0.850000,11.717633,7.000000,9.174026,0.118913,4.344562,0.544562,6.978080,1.657730,0.581102,27.875740,0.155013,83.535020,2.540630,0.521552,1533.919004,0.084675,1.904813,1.994946,40.000000,28.282367
80.000000,272.222222,30.000000,0.500000,5.000000,0.220000,0.850000,11.717633,7.000000,9.174026,0.118913,4.344562,0.544562,6.978080,1.657730,0.581102,27.981504,0.154940,84.356428,2.540630,0.521552,1533.919004,0.084675,1.905598,1.994125,40.000000,28.282367
90.000000,275.000000,30.000000,0.500000,5.000000,0.220000,0.850000,11.717633,7.000000,9.174026,0.118913,4.344562,0.544562,6.978080,1.657730,0.581102,28.087288,0.154867,85.177016,2.540630,0.521552,1533.919004,0.084675,1.906382,1.993304,40.000000,28.282367
100.000000,277.777778,30.000000,0.500000,5.000000,0.220000,0.850000,11.717633,7.000000,9.174026,0.118913,4.344562,0.544562,6.978080,1.657730,0.581102,28.193093,0.154794,85.996784,2.540630,0.521552,1533.919004,0.084675,1.907167,1.992485,40.000000,28.282367
110.000000,280.555556,30.000000,0.500000,5.000000,0.220000,0.850000,11.717633,7.000000,9.174026,0.118913,4.344562,0.544562,6.978080,1.657730,0.581102,28.298918,0.154721,86.815732,2.540630,0.521552,1533.919004,0.084675,1.907951,1.991666,40.000000,28.282367
120.000000,283.333333,30.000000,0.500000,5.000000,0.220000,0.850000,11.717633,7.000000,9.174026,0.118913,4.344562,0.544562,6.978080,1.657730,0.581102,28.404765,0.154648,87.633860,2.540630,0.521552,1533.919004,0.084675,1.908735,1.990848,40.000000,28.282367
130.000000,286.111111,30.000000,0.500000,5.000000,0.220000,0.850000,11.717633,7.000000,9.174026,0.118913,4.344562,0.544562,6.978080,1.657730,0.581102,28.510632,0.154575,88.451167,2.540630,0.521552,1533.919004,0.084675,1.909519,1.990030,40.000000,28.282367
140.000000,288.888889,30.000000,0.500000,5.000000,0.220000,0.850000,11.717633,7.000000,9.174026,0.118913,4.344562,0.544562,6.978080,1.657730,0.581102,28.616520,0.154502,89.267654,2.540630,0.521552,1533.919004,0.084675,1.910302,1.989214,40.000000,28.282367
150.000000,291.666667,30.000000,0.500000,5.000000,0.220000,0.850000,11.717633,7.000000,9.174026,0.118913,4.344562,0.544562,6.978080,1.657730,0.581102,28.722429,0.154429,90.083319,2.540630,0.521552,1533.919004,0.084675,1.911086,1.988398,40.000000,28.282367
160.000000,294.444444,30.000000,0.500000,5.000000,0.220000,0.850000,11.717633,7.000000,9.174026,0.118913,4.344562,0.544562,6.978080,1.657730,0.581102,28.828358,0.154355,90.898162,2.540630,0.521552,1533.919004,0.084675,1.911870,1.987583,40.000000,28.282367
170.000000,297.222222,30.000000,0.500000,5.000000,0.220000,0.850000,11.717633,7.000000,9.174026,0.118913,4.344562,0.544562,6.978080,1.657730,0.581102,28.934309,0.154282,91.712185,2.540630,0.521552,1533.919004,0.084675,1.912653,1.986769,40.000000,28.282367
180.000000,300.000000,30.000000,0.500000,5.000000,0.220000,0.850000,11.717633,7.000000,9.174026,0.118913,4.344562,0.544562,6.978080,1.657730,0.581102,29.040280,0.154209,92.525385,2.540630,0.521552,1533.919004,0.084675,1.913436,1.985956,40.000000,28.282367
190.000000,302.777778,30.000000,0.500000,5.000000,0.220000,0.850000,11.717633,7.000000,9.174026,0.118913,4.344562,0.544562,6.978080,1.657730,0.581102,29.146272,0.154136,93.337763,2.540630,0.521552,1533.919004,0.084675,1.914219,1.985144,40.000000,28.282367
200.000000,305.555556,30.000000,0.500000,5.000000,0.220000,0.850000,11.717633,7.000000,9.174026,0.118913,4.344562,0.544562,6.978080,1.657730,0.581102,29.252284,0.154063,94.149319,2.540630,0.521552,1533.919004,0.084675,1.915002,1.984332,40.000000,28.282367
210.000000,308.333333,30.000000,0.500000,5.000000,0.220000,0.850000,11.717633,7.000000,9.174026,0.118913,4.344562,0.544562,6.978080,1.657730,0.581102,29.358318,0.153989,94.960052,2.540630,0.521552,1533.919004,0.084675,1.915785,1.983521,40.000000,28.282367
220.000000,311.111111,30.000000,0.500000,5.000000,0.220000,0.850000,11.717633,7.000000,9.174026,0.118913,4.344562,0.544562,6.978080,1.657730,0.581102,29.464372,0.153916,95.769963,2.540630,0.521552,1533.919004,0.084675,1.916567,1.982711,40.000000,28.282367
230.000000,313.888889,30.000000,0.500000,5.000000,0.220000,0.850000,11.717633,7.000000,9.174026,0.118913,4.344562,0.544562,6.978080,1.657730,0.581102,29.570448,0.153843,96.579050,2.540630,0.521552,1533.919004,0.084675,1.917350,1.981902,40.000000,28.282367
240.000000,316.666667,30.000000,0.500000,5.000000,0.220000,0.850000,11.717633,7.000000,9.174026,0.118913,4.344562,0.544562,6.978080,1.657730,0.581102,29.676544,0.153769,97.387314,2.540630,0.521552,1533.919004,0.084675,1.918132,1.981094,40.000000,28.282367
250.000000,319.444444,30.000000,0.500000,5.000000,0.220000,0.850000,11.717633,7.000000,9.174026,0.118913,4.344562,0.544562,6.978080,1.657730,0.581102,29.782661,0.153696,98.194755,2.540630,0.521552,1533.919004,0.084675,1.918914,1.980287,40.000000,28.282367
260.000000,322.222222,30.000000,0.500000,5.000000,0.220000,0.850000,11.717633,7.000000,9.174026,0.118913,4.344562,0.544562,6.978080,1.657730,0.581102,29.888798,0.153623,99.001372,2.540630,0.521552,1533.919004,0.084675,1.919696,1.979480,40.000000,28.282367
270.000000,325.000000,30.000000,0.500000,5.000000,0.220000,0.850000,11.717633,7.000000,9.174026,0.118913,4.344562,0.544562,6.978080,1.657730,0.581102,29.994957,0.153549,99.807164,2.540630,0.521552,1533.919004,0.084675,1.920478,1.978674,40.000000,28.282367
280.000000,327.777778,30.000000,0.500000,5.000000,0.220000,0.850000,11.717633,7.000000,9.174026,0.118913,4.344562,0.544562,6.978080,1.657730,0.581102,30.101137,0.153476,100.612133,2.540630,0.521552,1533.919004,0.084675,1.921259,1.977869,40.000000,28.282367
