time,omega_ref,omega_b,phi,omega_t,error,iae_cumulative
0.000,0.0000,0.0000,0.0000,0.4168,0.0000,0.0000
0.100,0.0000,0.5504,-0.0037,-4.9945,-0.5504,0.0550
0.200,0.0000,0.3600,-0.5085,-4.5064,-0.3600,0.0910
0.300,0.0000,-0.0204,-0.9349,1.8917,0.0204,0.0931
0.400,0.0000,-0.4611,-0.7498,7.2404,0.4611,0.1392
0.500,0.0000,-0.3347,-0.0263,2.4786,0.3347,0.1727
0.600,0.0000,-0.1680,0.2048,2.4182,0.1680,0.1895
0.700,0.0000,0.1252,0.4058,0.0017,-0.1252,0.2020
0.800,0.0000,0.0800,0.4394,-2.7521,-0.0800,0.2100
0.900,0.0000,-0.0486,0.2043,-0.6271,0.0486,0.2148
1.000,0.0000,-0.0052,0.1063,0.6816,0.0052,0.2154
1.100,0.0000,-0.4918,0.1786,3.3424,0.4918,0.2645
1.200,0.0000,-0.3013,0.5116,0.7686,0.3013,0.2947
1.300,0.0000,-0.0535,0.5639,-1.0076,0.0535,0.3000
1.400,0.0000,0.0945,0.4220,-2.6203,-0.0945,0.3095
1.500,0.0000,-0.0497,0.2002,-2.3192,0.0497,0.3144
1.600,0.0000,-0.0730,-0.0642,-1.6478,0.0730,0.3217
1.700,0.0000,-0.0472,-0.2650,-0.5549,0.0472,0.3265
1.800,0.0000,-0.1325,-0.3493,0.4168,0.1325,0.3397
1.900,0.0000,-0.0559,-0.3418,0.4650,0.0559,0.3453
2.000,0.0000,-0.0697,-0.3284,1.2457,0.0697,0.3523
2.100,0.0000,0.0022,-0.2415,1.0518,-0.0022,0.3525
2.200,0.0000,0.5114,-0.1426,-3.8268,-0.5114,0.4036
2.300,0.0000,0.3180,-0.5261,-2.7655,-0.3180,0.4354
2.400,0.0000,-0.0108,-0.7762,0.4874,0.0108,0.4365
2.500,0.0000,-0.6402,-0.7187,3.7691,0.6402,0.5005
2.600,0.0000,-0.7338,-0.3136,6.5790,0.7338,0.5739
2.700,0.0000,-0.6390,0.3737,3.7180,0.6390,0.6378
2.800,0.0000,-0.4433,0.7595,3.1454,0.4433,0.6821
2.900,0.0000,-0.0896,1.0597,-1.3309,0.0896,0.6911
3.000,0.0000,0.2651,0.8750,-4.9346,-0.2651,0.7176
3.100,0.0000,0.1847,0.4010,-2.2507,-0.1847,0.7361
3.200,0.0000,0.0611,0.2067,-2.8334,-0.0611,0.7422
3.300,0.0000,-0.0827,-0.0360,1.7516,0.0827,0.7505
3.400,0.0000,0.1119,0.0957,0.4792,-0.1119,0.7616
